text,cluster
IS,0
Paris,0
Évisa,0
Lison,0
Crisange,0
buis,0
Lise,0
Lisan,0
bois bruni,0
Dis,0
Marquis,0
Suisse,0
halées,1
gônflée,1
changée,1
mélée,1
Haït,1
Enchaînée,1
Lés,1
l’,2
Ïl,2
R,2
L’,2
Leperthuis,3
HU,3
vert-de-gris,3
maison,4
aimais,4
maiS,4
Laisse-,4
m'’aimer,4
Tai,4
"Tue
oo Mais ta mère n’",4
AImait-,4
alaise,4
Encaissée,4
naie,4
Ganache,5
Sachez,5
cognac,5
Gao,5
la manche,5
nanoir,5
-de-Ganache,5
e Havre,6
du Havre,6
phare de Fécamp,6
au Havre,6
rue du Havre,6
le Havre,6
1 Havre,6
collège du Havre,6
Demain-,7
quem devoret,7
demAin-,7
Lemaire,7
D|,7
dain,7
Reminil,7
hümains,7
"Co |

Dè rares",8
j’,8
Dè,8
GO Gp,8
pays de Caux,9
"pays de
L tout parsemée",9
pays qu’,9
rome,10
Lomme,10
éotnme,10
Ro-,10
yme,10
Hommes,10
Romäines,10
Pyrame,10
RRO A,10
Î,11
olle,11
j-,11
Hollande,11
Folle,11
Bassolle,11
Rollebosc,11
"col
fl",11
amollis,11
élle,11
"J 
   
 
 
 
 
 AH",12
"J 
 AH 
 X",12
AH,12
"J 
   
   
   
 AH 
 
 X",12
"AH 
 
 J 
 
 
 
 
 
 AH 
 
 
 
 
 
 X",12
"AH 
 
 
 
 
 
 J 
     
 
 
 
 J 
 
 
 J 
   
 
 

 

47",12
"sur-

 
 
 
 
 AH 
   
 X",12
"AH 
 
 J 
   
   
   
 X",12
"UNE VOIX267

   
 AH 
 
 
 
 
 
 
 J 
 
 
 
 
 
 
 J 

../: Qu'est-ce que je deviendrai",12
"AH 
 X 
 
 J 
 
 X 
 
 J 
 X 
 
 
 
 
 
 J",12
"X 
 
 
 
 AH 
 X",12
"AH 
 X",12
"X 
 
 AH 
 X",12
"AH 

 

 

 

VII

 
 
 
 
 
 AH 
 X",12
"AH 
   
 AH 
 
 X 
 
 J 
 X 
 
 J 
 
 
 X 
 
 J",12
"J 
 AH 
 AH",12
"X 
 
 
 AH 
 
 J 
 X",12
"X 
 
 
 AH 
 X 
 
 AH 
 AH 
 
 X",12
"AH 
 
 
 J 
   
   
 X",12
"AH 
 AH",12
"AH 
 
 X",12
"AH 
     
 
 J 
 
 
 
 
 
 
 
 
 
 
 
 AH 
 
 
 
 
 
 
 

UNE VOIX179",12
"AH 
   
 AH 
 
 
     
   
 
 
 
 
 
 X 
 
 J 
 

UNE VOIX155",12
"AH 
 X 
 
 
 J 
 
 J 
 AH 
 
 X",12
"AH 
 AH 
 
 J 
 X 
 
 
 J 
 X 
 
 
 AH 
 
 
 
 
 

UNE VOIX67",12
LÀ-haut,13
à-,13
d2,13
"| |

Hauts",13
LÀ,13
Bourse,14
jura,14
Four,14
surfabeno,14
fort rouge,14
Coursil,14
Four-,14
Livourne,14
el hourrue,14
Dour,14
ournée,14
Pourriez-,14
Méditerranée,15
la-Méditerranée,15
fa-,15
EH,16
ajones,16
es,16
Ù,16
.$eS,16
ES,16
Jambes,16
Athènes,16
Barbes,16
es’,16
sernaiñes,16
pothes,16
pides,16
ôrmes,16
Londres,16
Sèvres,16
Es,16
rue du Sauvage,17
"rue
Sauvage",17
vallon sauvage d'Ota,17
golfe de Sagone,17
toujoürs,18
poür,18
Toüt,18
alle,19
caleçon,19
Allemagne,19
Flle,19
alluma,19
Allait-Royal,19
Allez-,19
E,19
émus,20
"Écu-
meuse",20
meuse,20
