cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31
0,Nagcao,alteragcao,Relagcao,desafinagcao,justificagao,imaginagcao,administragcao,ragca s6,,,,,,,,,,,,,,,,,,,,,,,,
1,D0 PA,D0,UU0 N1,zo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"CRIME DO
PADRE AMARO",padrce Amaro,ci do senhor padre Amaro,"CRIME DO
PADRE AARO
I",cRIE DOPDRE,padre Amaro,Pobre de Cristol- diizia Amaro.-,"pedra do
pao",,,,,,,,,,,,,,,,,,,,,,,,
3,consolagcoes,Coragces,revelagcoes,tentagcoes,convulsoes,ambicoes,bergco,M,plantagcoes,,,,,,,,,,,,,,,,,,,,,,,
4,Ponte,Ponho,Charonte,Defronte,Ponte Nova,tonturas,Contemplal,PolLeLinterno,monte Olimpol,fontel,Nantes,PonRT6,,,,,,,,,,,,,,,,,,,,
5,pe,"PE.e2
g",Pensei,Pede-os,Pelos,Pego,pe Vai-te,Persia,peru,Expe-,Pega,,,,,,,,,,,,,,,,,,,,,
6,scu,sc,Escute,"scu
cnteiro",Escusa,Cu,Desculpe,Sc,,,,,,,,,,,,,,,,,,,,,,,,
7,do Norte,tereno plano,"homom
39
o oRI pO n",Norte,rua do Norte,DORTI,taio fortes,rnor,,,,,,,,,,,,,,,,,,,,,,,,
8,Ruca,Rucal,Nuca,baiuca,Rugca,agucar,Joio Ruco,Crucificadol,,,,,,,,,,,,,,,,,,,,,,,,
9,"A4U
1I",L2,A::C,a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RIME,alecrim,PrimO,Ourim,cRIME oO,Crimel,Vimeiro,IME,"RO
DoIme",,,,,,,,,,,,,,,,,,,,,,,
11,Inimigo,Digo,Inimigol,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fci,Ciu,Ciumes,Iu,lcite,merciuio,ciume.-,,,,,,,,,,,,,,,,,,,,,,,,,
13,S. Jeronimo,RO,Roda,roxO,Eu u2ro0 ve,Rossio,"Outu-
bro",Apro-,Juro,"sinei-
ros",rorbida,Coroa,rouba,burrol,provotu,,,,,,,,,,,,,,,,,
14,furta,Mortal,"portao
fechalo",Morta,hortalica,Morenal,Moral,Taborda,,,,,,,,,,,,,,,,,,,,,,,,
15,Queres,Quereis,esuerda,Quere-me,Marques,"bom
Marques",Buenos-Aires,Vasques,,,,,,,,,,,,,,,,,,,,,,,,
16,portao de Amaro,palmas de martires,Porta de Ouro,Lisboa de Amaro Vieira,portao verde,Entao Amaro,contrigao de amor,A8,,,,,,,,,,,,,,,,,,,,,,,,
17,Belo homem,Bem,bebedo,Belem,Tambem,Bebedast,Naol Bem,i beber1,,,,,,,,,,,,,,,,,,,,,,,,
18,Tem,temi,Iembra-te,"luval Tem
pilheria",la vait Tem sade,qte,Temo-la,gute,teho,Setembro,,,,,,,,,,,,,,,,,,,,,,
19,longel,Ionge,PF,Iongos,ge,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,exageracOes,exageracoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,cre,Cre,Creio,Creio la nisso',vcr,acre,acre ca,,,,,,,,,,,,,,,,,,,,,,,,,
22,Im,dim,imovel,dir-lim,Enfim,Vim,Berlim,Sim,Ultima-,A6,,,,,,,,,,,,,,,,,,,,,,
23,Tulherias,Queria,Queria-a,queiaa,Quereria,riacho ue,Maleriadol,Quero,,,,,,,,,,,,,,,,,,,,,,,,
24,Tudo,Tudol Tio,sObrCtudo,sobrctudo,Secudo,tudol,Laudo,,,,,,,,,,,,,,,,,,,,,,,,,
25,entisicando,tisica,prostituicao,"cg
isi","muisica clas-
sica",Politica,botica,Fisica,,,,,,,,,,,,,,,,,,,,,,,,
26,Riam,Riram,gria,lamuria,Iam,glria,Abria,planeariam,IY,Lciria,"S. Crisologo
S. Cipriano",,,,,,,,,,,,,,,,,,,,,
27,Uoa,"boa
fe",Boa,Boas-noites,boa dicta,oa,ncvoa,boa acgcaio,,,,,,,,,,,,,,,,,,,,,,,,
28,Una,Nuncn,umna,Ossuna,Una paloma,tinuou sotuna,,,,,,,,,,,,,,,,,,,,,,,,,,
29,decncia,"Arvore da Cien-
cia",impaciencia,Pacienclal,impaciencia.-,Consciencia,impenitencia,Simpatia,impudencia con-,"Pa-
recia",,,,,,,,,,,,,,,,,,,,,,
30,Dias,dizia.-,Tlpoias,Asia,BIbDi,Podia,Judia,Diasl,incndio das Tulherias,Adian-,balburdia,perfidia,Jodia,tndiasl,uem diabo,,,,,,,,,,,,,,,,,
31,Padre-Mestre,Parece-me,Esereve-me,padre-mestrel-,Padre-Mestrel-,Lembre-me,,,,,,,,,,,,,,,,,,,,,,,,,,
32,S. Joa-,S. Joaneira,"S. Joaneiral
Grande",S. Joanelra,Janeiro,Joaneira,S. Joaneilra,,,,,,,,,,,,,,,,,,,,,,,,,
33,Caia-me,Caia,Iaia,Maia,baia,Chiado,iA,.'GIAE,Eugenia,AIARO,Aiaro,Ia,Wia,OIa,Baia,copia,,,,,,,,,,,,,,,,
34,Recados,adre,Madrid,Padre-Nossos de direitol,Deus-Padre,Padre,Dregado,Madre-Abadessa,Dregao,,,,,,,,,,,,,,,,,,,,,,,
35,Qe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bispo,Pois,Bois,depoisl,Dois,Poiais,Pis,Polis,Dcpois,Dois M-,Potis,Deois,Apoiado,Poials,Coisa,,,,,,,,,,,,,,,,,
37,Assungaio,Nlgas,Assungcao,Assungao,4O,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Voce,eroce,Vou,Voces,Vossemece,Voc,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Breviario,Brevlario,Breviariol,Breviirio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Anda-me,scgunda,Anda,anda,Quanda,Sacke-hands,Andava,Iegenda,Outra-Banda,Suspenda,Grande,ajudanda,Mande,,,,,,,,,,,,,,,,,,,
41,--- Obrigado,Obrigada,gadlo,Obrigado,Brigida,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,suicas,Ricocal,Rica,Benfica,"Ricoea
a91",Iirico,replica,Republica,perfeicao1,caricias,viccao,Ricogea,Benedicat,Ricas,Sacrificaria,Ricogca,"Ricocal
E",ficl,,,,,,,,,,,,,,
43,"Poli-
tica e da Historia",MIA RU,"rua da Miseri-
c6rdia",rua da Misericordia,"rua da Miseri-
cordia",morera dum aneurisma,cova da enxerga,"rua da
Miseric6rdia",rua da,Taa YlonJa ise,rua da Miseric6rdia,sos da Misericbrdia,"rua da
Misericordia",rua da Miseri-,Comecos da Primavera,,,,,,,,,,,,,,,,,
44,Correia,rua do Correio,Correu,Concorre,sorri,Brito Correia,,,,,,,,,,,,,,,,,,,,,,,,,,
45,satisfagao,Salomao,Sao,Sua Csa,Sao baptizados,ctsa,sao ca,Sao coisas ue,supressao,Sao cineo,,,,,,,,,,,,,,,,,,,,,,
46,invcjando baixo,Ndo,"exclamou
Gustavo.-Quando","apa-
nhando",Iazendo,boceiando,Iendo,Ievando,Nundo,DO,"pas-
seando",Dois Mundos,,,,,,,,,,,,,,,,,,,,
47,Joao Eduardu,Joao Eduardo,Jodo Eduardo,braco de Joio Eduardo,Joio Eduardo,L,Joao Eduardo:-- Trunfo,Joao Eduardol,Joaol,"Arco
Joao Eduardo",,,,,,,,,,,,,,,,,,,,,,
48,rua das Sousas,souhe,T9Sou,Sousas,rua dos Sousas,los Sousas,"rua das
Sousas",Sousas...,Sousa,"rua dos
Sousas",,,,,,,,,,,,,,,,,,,,,,
49,suiei,Aquie,Aqul,Quieta,Raquitico,desinquietava,Aquilo,xAqui,,,,,,,,,,,,,,,,,,,,,,,,
50,Tlberio,Iaboriosa,Calvirio,Diirio Popular,Os6rio,Rio,lavatorio,Osorio,serio,rio,Ofertorio,Calvario,Purgatorio,Feirio,,,,,,,,,,,,,,,,,,
51,naio,Nagaioi,taio,Saio,Naio tenho zaide,Naio,,,,,,,,,,,,,,,,,,,,,,,,,,
52,vastidao do peito,tcdo partido,"Libaninho de luvas pretas
cravo ao peito",Sd,vastidao azul,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Ndio,reprcendia,indiferenga,Indicava,India,brandia,pondia,invadia,Indigis,preendia,din,,,,,,,,,,,,,,,,,,,,,
54,Conheci,"Reco-
nheceu S. Sebastiao",Conhecia-a,"cahecinha
redonda",,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Gosta,Gostas,Gostava,Gustavo,Repastava,Costurava,Instava,Costumava,Citava,,,,,,,,,,,,,,,,,,,,,,,
56,secamente.--- Fecha,gente.-,sentimentol,vivamentc,Iante,"RU
Intengao",Mentel-,Mente,mexe-te,"Pimen-
tel de",menter,uorcaente:,Perfeitamente,Realmente,maiestosamente,Tenho cinuenta,Positivamente,"pie-
dosamente",prazentea,momenlo,legalmentc,Lltimamente,intengiio,Certamente,,,,,,,,
57,Alcantaral Famosa,Santa Apolonia,Levantaremos,Santarm,Santa,santa cruz,"Santa Joana
de Aveiro",Santa Cecilia,Satanas,Santa Ana,Janota,"Santa-
rem",Santa Catarina,cipe encantado,,,,,,,,,,,,,,,,,,
58,Soberba,Sobe,sobrc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Salve-Ralnha,Salve-Rainhas,Salve-Rainha,Rainhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,visoes,es,caes,Nunes,saudaces,ES,tes:-,Lethes,Vezes,Camoes,Ses,Es,kes,,,,,,,,,,,,,,,,,,,
61,"ponta dc
guarda-chuva",Conto,Contar,Con-,controvrsia,Arco;c,Arco,contarl,contaeto,Montara,,,,,,,,,,,,,,,,,,,,,,
62,Amaro:-,"Optimol
Amaro","Amaro
compIetara",Amarol Tragc,Amaro jantara,"MA BU
Amaro",Amaro?1,Amaro:--,S6 Amaro,Ribamar,so6 Amaro,Amaro,Sou Amaro,Ceu-A Amaro,sreformar,Mataram-me,s6 Amaro,Calmaram-na,"Amaro:- Ouea
voce",Quando Amaro,Oh Amaro,E Amaro,"coroal
Amaro",Amarol,"Amaro
aot",real.- Amaro,dc Amaro,"palre
Amaro","Amaro paessou
o terpo",Amaro-e,I. Amaro,camara
63,Puderal,Pudera,"mantelete.-
Pudera",saude,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bonito,Bonita,Multo bonito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
