cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
0,satisfagao,irritagao,"s6
sensagao",satisfacaio,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nagcao,alteragcao,Rugca,Relagcao,desafinagcao,administragcao,redacgcao,,,,,,,,,,,,,,,,,,,,,,,
2,Case,casehre,Z.1,Case-me,Iougcas,,,,,,,,,,,,,,,,,,,,,,,,,
3,"CRIME DO
PADRE AMARO",ci do senhor padre Amaro,"CRIME DO
PADRE AARO
I",padre Amaro,FAnDRE A I,"pedra do
pao",,,,,,,,,,,,,,,,,,,,,,,,
4,Ponte,Iante,Ponho,Charonte,Defronte,Ponte Nova,Contemplal,monte Olimpol,fontel,PonRT6,,,,,,,,,,,,,,,,,,,,
5,pe,peco.-,"PE.e2
g",Pensei,Pede-os,Pedroso,Pelos,Pego,pe Vai-te,peru,perfidia,3L,Expe-,Lausperee,Pega,,,,,,,,,,,,,,,
6,do Norte,"homom
39
o oRI pO n",UU0 N1,Norte,rua do Norte,DORTI,taio fortes,rnor,,,,,,,,,,,,,,,,,,,,,,
7,Ruca,Rucal,Nuca,baiuca,agucar,Joio Ruco,,,,,,,,,,,,,,,,,,,,,,,,
8,"A4U
1I",a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,RIME,alecrim,PrimO,Ourim,cRIME oO,Crimel,IME,"RO
DoIme",,,,,,,,,,,,,,,,,,,,,,
10,Tulherias,Mulher,"luval Tem
pilheria",incndio das Tulherias,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Debalde,Baldeschi,aldeia,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fci,Ciu,4O,Ciumes,Iu,merciuio,ciume.-,,,,,,,,,,,,,,,,,,,,,,,
