cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0,Tenho,Naio tenho zaide,Tenkio,Venho,tenhal Agora,tenhal,secura:-- Tenho,Tenho cinuenta,Tfve,,,,,,,,,,,
1,Praga,Io,praga,VY,PF,gragas,,,,,,,,,,,,,,
2,anda,Sacke-hands,Andava,Anda,Outra-Banda,Quanda,Anda-me,scgunda,ajudanda,,,,,,,,,,,
3,alegre,"louea iuzidia da Vista-
-Alegre",Iojas,tao alegre,Vou,Iarguesa de Alegros,Alegros,Egr,,,,,,,,,,,,
4,Nantes,It0,Elefantel,Iante,tes:-,,,,,,,,,,,,,,,
5,Gethse-,AI,Se-,Disse-mo,,,,,,,,,,,,,,,,
6,Fe-lhe,Hei-de-lhe,Perguntava-lhe,Meteu-lhe,Ia-lhe,Arrahnja-se-lhe,Fale-lhe,Pode-lhe,Bufa-lhe,,,,,,,,,,,
7,Comecara,Caramba,l,ggrgypAA,Comecava,Ha,tm,Tropecara,ZI%,,,,,,,,,,,
8,carvao,Carvalhosa,orva,qte,,,,,,,,,,,,,,,,
9,Legiao,Egipto,Legiao de Honra destruido.l,Ouf,.'GIAE,regiao,,,,,,,,,,,,,,
10,imaginav,imaginagcao,Imaginei,Imagine,imaginaco da rapariga,Imaginava,Imaginara,Imaginas,Imaginem,,,,,,,,,,,
11,Una,tinuou sotuna,Z.1,Ossuna,,,,,,,,,,,,,,,,
12,Bonito,Ii,viha,Bonita,Multo bonito,,,,,,,,,,,,,,,
13,Crimel,RIME,W,PrimO,cRIME oO,alecrim,,,,,,,,,,,,,,
14,Trago,Pago,tra,Tragou,saragoca,,,,,,,,,,,,,,,
15,Pois,Dcpois,depoisl,Coisa,Bois,Deois,,,,,,,,,,,,,,
16,exageracOes,ambicoes,consideraco5es,exageracoes,difamacoes,elc,,,,,,,,,,,,,,
17,Lis,I1E,zas,Lis-,Eliseus,,,,,,,,,,,,,,,
18,Igreia,Igreja-,igreia,igreija,"pilar
da Igreia",lIgrela,,,,,,,,,,,,,,
19,"Ccul
Bela","procissao da bela varanda do
tabeliao",plebelJesus,Ccul,,,,,,,,,,,,,,,,
20,criad6,crianga,criatural,RU,criadat,,,,,,,,,,,,,,,
21,Pre,pre,,,,,,,,,,,,,,,,,,
22,Oh Amaro,real.- Amaro,Sou Amaro,Quando Amaro,dc Amaro,E Amaro,"Se?-perguntou Amaro
ORIIE D P D IIE",padrce Amaro,so6 Amaro,portao de Amaro,S6 Amaro,Entao Amaro,s6 Amaro,casarao amarelo,Ceu-A Amaro,I. Amaro,,,,
23,erna,Ge-,banco da taberna,"taberna do
tio Serafim",tabherna,XI,taberna do Gego,consternaeao,"Eterna
Dor",,,,,,,,,,,
24,Ceia,braceiava,boceiando,acei,,,,,,,,,,,,,,,,
25,"CRIME DO
PADRE AMARO",padre Amaro,pe,es,ci do senhor padre Amaro,"A4U
1I",ho6s-,"CRIME DO
PADRE AARO
I",FAnDRE A I,"pedra do
pao",,,,,,,,,,
26,Amelias,Amelial,Amelia,"pe de
Amelia",Amelia s6,"Tot6l
Amelia",Aimelia,Amelia-,Infamel,Santa Amelia-,,,,,,,,,,
