cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Pierrotte,"BABAROTTES 17

LS","PIERROTTE 145

oo","Pierrotte…
Est",Mie Pierrotte,"Pierrotte!

Pierrotte",Pierrotte s’,Mile Pierrotte,,,
1,LS,"Ù
Ê",lui!.,"RÊVE 229

D",,,,,,,
2,m'’inspiraient,n'’irai,m'’introduire,Sitôt,m'’invitait,m'’écrivaient,AE,,,,
3,Souwaroff,Chauve-Souris,soufHe,Soubeyrol,,,,,,,
4,A,Géniès,VI,Jugez,,,,,,,
5,L’,Cévenol,Cévenol l’,Cévennes,Cévenole,,,,,,
6,MIle,ILE,,,,,,,,,
7,Quelque,Quelquefois,Ménalque,Quels,Laquelle,,,,,,
8,Rendez,cendis,Comprends-tu cela,Evêché,Vénus,uma,Inde,RÊVE,Vendredi,,
9,Prés,Précédé,,,,,,,,,
10,Çudra,Barbette,Barbette!.,Barbette… Allons!,,,,,,,
11,Palais-Mazarin,Palais-Royal,Ê,,,,,,,,
12,Travaille,mitra,As-tu bien travaillé,wagon,Foin,Bravo,Raspail,,,,
13,Araignée,Daçaratha,Scarabées,Bhagiratha,,,,,,,
14,Saint-Cloud,Saint-,Saint-Pierre,Saint-Nizier,église Saint-Pierre,rue Saint-Benoît,Saint-Emilion,Saint-Pétesbourg,Saint-Esprit,Saint-Théophile,ER
15,terre,Nanterre,"place des
Terreaux",D TER,Angleterre,,,,,,
16,Pardon,Parthénon,Chardon,DER,Regardez,,,,,,
17,"Château-
Neuf-des-Papes",gardes-du-corps,Viçva-,Neuf-des-Papes,Château-,Æ,Cap,,,,
18,Prairie,Turc,la Prairie,D,Voudrait-,,,,,,
19,Poussé,Nous vivions,Lx,Consterna-,Bonsoir,Religion,,,,,
20,rue des Dames,rue de Lille,Rue des Dames,Jardin des Plantes,d’hippopotames,,,,,,
21,poète!.,Voyez,recopiât,«Ce,honte!.,,,,,,
22,l'Italie,Italiens,salie!.,Italien,lilas,Hospitalier,Italie,,,,
23,Marseille,Ë,Vieille,Fer,soleil,Cuba,Conseille,,,,
24,Quartier-,Odéon,Quartier Latin,"Quartier
Latin",Madagas-,P,Eu,Latin,"Quartier
Latin!",Quartier-Latin,
25,Vallée,Allez,Mlle,,,,,,,,
26,Midi,pyramide d'Egypte,le Midi,rs,,,,,,,
27,qu’,jusqu’,Or,,,,,,,,
28,"CHOSE

Tr

 

 

 

tot",Chose,Petit Chose,Rà,"CHOSE

RSS RER E SR R",,,,,,
29,"mer

 

 

 

 

LE ROMAN","mer

 

 

 

 

LE ROMAN DE",J',,,,,,,,
30,l’,le Rhône,Enr,Daniel,Rhône,Le Rhône,,,,,
31,songeuse,Magasins,Robinson,Sonne,bte,,,,,,
32,Holà,VIOT,Nice,,,,,,,,
33,mois!.,-je,"-

Moi",kss!.,,,,,,,
34,"Limoux
Seulement",Confusément,Dsnemeete- Di,Limoux,"ENLÈVEMENT 217

w / ae SI LL Sd",,,,,,
35,Polichinelle,Chinois,Grenelle,Chili,Chine,tonnelle,,,,,
36,A TRUE,"RUE
— J'ai",TS,F,rue Lanterne,,,,,,
37,Sd,Fougeroux,Pme,Pérou,,,,,,,
38,Vive,Ser-,Pier-,Mlle Pier-,Pie,lit n’,,,,,
39,"rue
Saint-Guillaume",rue Saint-Guillaume,Saint-Guillaume,,,,,,,,
40,Bach’,Pacheco,Perrache,,,,,,,,
41,Comédie-Française,m'’effraya,Pise,Comédie,,,,,,,
42,guipure,Figurez,,,,,,,,,
43,Vieux-Collège,collège de,"collège de
Sarlande",collège cèlèbre,collège de Lyon,collège n’,,,,,
44,Nizier,Cahier,Grossiers,Moustier,,,,,,,
45,Trouves-tu mon Muguet,Muguets,Muguet,SRE,,,,,,,
46,la Bretagne,Cassagne,sagne,d’Espagne,Bretagne,pagna,,,,,
47,m'’appelait,m'’allait,Te rappelles-tu,m'’appelais,,,,,,,
48,gros Serrières,Serrières,BE,serrure,Sèvres,,,,,,
49,Attention,Î,Éttenez,Attends,Venez,Comprenez,,,,,
50,Lamartine d’Elvire,Coquine,Colombine,Philistine,Mathurine,,,,,,
51,LT LS,Rosellen,Danielo,Le Rosellen,Mademoiselle,Rose,,,,,
52,Cunocépa,sabré,Voilà,Vois,Sois,,,,,,
53,Marsala,Kalatçala,,,,,,,,,
54,Rome,Providence,lapromenade,Men,Promettez,Cadet,,,,,
55,Combien,Vienne,m’,Alsacien,Annou,Algérien,Tiens,,,,
56,Arrêtez,Prêtez,Écoutez,,,,,,,,
57,Pruneaux,bordeaux,Sceaux,Beaux,,,,,,,
58,C’,LL LPS,kakatoès,bah,LL LL Sd,,,,,,
59,"CRISTAUX
Ancienne Maison Lalouette

|
|
|",Fouette,Lalouette,È,Ebloui,"vieux
Lalouette",,,,,
60,Fe,Mont-,Montmartre,Montélimart,mont-de-piété,Montez,,,,,
61,ronfla,Roberte,porte Zéperons,Zéperons,Emporte,,,,,,
62,noble n’,Lo,Impossible,oo ot oo todo,miséra-a-ble!,,,,,,
63,Sarlandais,Sar-,Sarlande,,,,,,,,
64,Chenilles,fillesen,Hacqueville,Les Chenilles,cette Bastille,,,,,,
65,À,I,,,,,,,,,
66,Aïmez,Frinc,principal n’,principal,Palerme,Port-au-Prince,,,,,
67,vages,Courage,Agen,Crusoé,,,,,,,
68,trompe-la-mort,Alfort,Infortunes,École d’Alfort,,,,,,,
69,Dame,victoria de la dame,du Nord,DAME,,,,,,,
70,Anastagille,mastoïdes,Anastasie,Gymnase,Rana-Valo,,,,,,
71,faubourg Saint-Germain,"fe me cn -

 

 

X
IRMA",Saint-Germain-des-,Saint-Germain-des-Prés,Saint-Germain,clocher de Saint-Germain,Prés-Saint-Gervais,,,,
72,Luxembourg,Lyon,Amour,bourrée,Tribou,—- Bonjour,,,,,
73,Brave,Avez,Savez,Caveau,AT,,,,,,
74,Champenoise,sur-le-champ,champagne,,,,,,,,
75,"Bibliothèque nationale de France

4 LE PETIT CHOSE

ro

 

PE

 

 

 

US

Je dois dire",Petit-Cercle,160 LE PETIT,80 LE,,,,,,,
76,PA fesse RD,buis,suisse,Réfléchissez,,,,,,,
77,Egypte,beurrées,Seigneur,Notre-Seigneur,Guigne,Signez,,,,,
78,Grand-Cercle,Grand-Orient,victoria,,,,,,,,
79,m'’entraînant,Entrerai-je,s’entr’,S,,,,,,,
80,Vois-tu!,"Es-tu
retourné",Crois-tu,croisée,Sais-tu qu’,,,,,,
81,Se dd,Toto do do dd,Faust,"FER 97

Sd dd dd",,,,,,,
82,romains,Touraine,Maintenant,Maine,Porcelaines,Vatel,,,,,
83,ner là-bas,trouverez là-bas des amis,Bas,irons /à-bas,Ià-bas,,,,,,
84,Fanfan-la-Tulipe,Eux,veux-tu,,,,,,,,
85,Tes,Amalécites,Escargots,Carmélites,Éliacin,,,,,,
86,théâtre Montparnasse,Montparnasse,boulevard Montparnasse,,,,,,,,
87,les Angélus,îles Marquises,Naples,LES,,,,,,,
88,Lakçamana,la manche,ben,mans,,,,,,,
89,Bernerette,Musette,goutte,Eyssette,Mne Evyssette,,,,,,
90,TU,"Tes

l’air",LS L,A l’aube,"TES

Sd",tueras là-haut,,,,,
91,baie de Naples,théâtre de Paris Quant,Théâtre-Français,titis de l’,théâtre de Paris,t’,,,,,
92,Coucou-Blanc!.,Coucou-,Micou,Is,Coucou-Blanc,COUCOU-BLANC,Blanc,Mile Coucou-Blanc,Coucou,"Coucou-
Blanc",Boucoyran
93,Rogé,tolocototignan,"Toloco-
totignan",Tolocototignan,Toloco-,,,,,,
94,Alsace,Lovelaces,Place!,,,,,,,,
95,m'’asseoir,Embrasse,fort Loyasse,Loyasse,,,,,,,
96,"PAPILLON

Je crois bien!",cimetière des Papillons,Papillon,guide-ballon n’,"PAPILLON
Chut","PAPILLON

Est","PAPILLON S
Ah!",Grillon,PAPILLON,"PAPILLON

C’",
97,Pilouitt!.,Bohême,Pilois,Pilois!.,,,,,,,
98,ST St,Rime,estimez,,,,,,,,
99,RSR R RER,"CAOUTCHOUCS III

rs",s’,dr rs,,,,,,,
100,Angélus,EE,bésigue,d’,Languedoc,Langlumeau,,,,,
101,RCE S ON,Po,RCE,,,,,,,,
102,Lombards,Bamban!.,Bandit,Bamban,,,,,,,
103,Batignolles,"Bati-
gnolles",Récollets,,,,,,,,
104,SAUMON 175,Rio,SAUMON,Saumon,,,,,,,
105,du cher,Cher,Mon cher,Université,Chers,,,,,,
106,Malheureuse-,Malheu-,Malheureu-,,,,,,,,
107,voyais,J'aimais,sais,Pouah,aimais,O,niais,initiais,,,
108,Paris,Parisiens,Charivaris,Parisien,,,,,,,
109,EPS,Afrique,Bouzanquet,TE,Perroquet,l'Afrique,Jacques,Jusque,,,
110,LA BÊTE À BON DIEU,"LA BÊTE A BON DIEU

Quoi donc ?

LE PAPILLON",j’,"FETE

AE","Ps

A ii

D",LA BÊTE A BON,LA BÊTE A BON DIEU,,,,
111,Désir-de-plaire,RER,Beaucaire,Observatoire,TIRER,,,,,,
112,Cristaux,Nécro-,Océan,critérium!.,Écris,,,,,,
