cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Bamban,Cuba,Bamban!.,Bach’,Bandit,bah,Lombards,Lakçamana,,,,,,
1,sagne,champagne,Cassagne,pagna,la Bretagne,Bretagne,d’Espagne,,,,,,,
2,ILE,80 LE,Anastagille,Travaille,MIle,Marseille,Hacqueville,lilas,Vieille,Conseille,soleil,A,,
3,Grand-Cercle,RCE,RCE S ON,Place!,Petit-Cercle,Turc,Porcelaines,Nice,«Ce,,,,,
4,Sonne,Bonsoir,songeuse,Lyon,Crusoé,Vienne,tonnelle,wagon,Odéon,,,,,
5,LS L,tueras là-haut,D,LS,LT LS,,,,,,,,,
6,jusqu’,Jusque,qu’,Vénus,,,,,,,,,,
7,principal,principal n’,Port-au-Prince,Frinc,,,,,,,,,,
8,P,Montparnasse,Gymnase,théâtre Montparnasse,boulevard Montparnasse,,,,,,,,,
9,Océan,tolocototignan,Tolocototignan,F,"Toloco-
totignan",Toloco-,j’,,,,,,,
10,LA BÊTE A BON DIEU,LA BÊTE À BON DIEU,LA BÊTE A BON,"LA BÊTE A BON DIEU

Quoi donc ?

LE PAPILLON",,,,,,,,,,
11,baie de Naples,"Bibliothèque nationale de France

4 LE PETIT CHOSE

ro

 

PE

 

 

 

US

Je dois dire",rue de Lille,théâtre de Paris Quant,"RÊVE 229

D",Se dd,noble n’,théâtre de Paris,-je,"fe me cn -

 

 

X
IRMA",160 LE PETIT,titis de l’,PA fesse RD,
12,Pier-,Ser-,Nizier,Pie,Mlle Pier-,Cahier,,,,,,,,
13,fort Loyasse,m'’asseoir,Loyasse,Embrasse,Lo,,,,,,,,,
14,Is,Pise,niais,buis,Vois,Champenoise,cendis,suisse,initiais,miséra-a-ble!,Sois,,,
15,Rome,Rogé,Promettez,"mer

 

 

 

 

LE ROMAN","mer

 

 

 

 

LE ROMAN DE",trompe-la-mort,lapromenade,,,,,,,
16,Pruneaux,Beaux,Beaucaire,BE,bordeaux,Sceaux,,,,,,,,
17,Quartier Latin,Quartier-,Moustier,"Quartier
Latin!","Quartier
Latin",Quartier-Latin,Lamartine d’Elvire,Latin,,,,,,
18,Grenelle,Rosellen,Mademoiselle,Rose,Le Rosellen,,,,,,,,,
19,Éttenez,Inde,Rendez,Comprends-tu cela,Comprenez,Cadet,Figurez,Regardez,Vendredi,,,,,
20,Sarlandais,Sarlande,Marsala,Fanfan-la-Tulipe,Sar-,,,,,,,,,
21,"CRISTAUX
Ancienne Maison Lalouette

|
|
|",Chauve-Souris,Cristaux,critérium!.,Écris,ST St,Faust,È,,,,,,
22,le Midi,Midi,Æ,,,,,,,,,,,
23,Maintenant,Saint-Emilion,rue Saint-Benoît,Saint-Esprit,Saint-,Saint-Nizier,église Saint-Pierre,Saint-Cloud,Saint-Pierre,Saint-Pétesbourg,Saint-Théophile,,,
24,Zéperons,Robinson,porte Zéperons,ronfla,Consterna-,,,,,,,,,
25,mont-de-piété,"-

Moi",Mont-,honte!.,Montez,Montmartre,Montélimart,,,,,,,
26,Précédé,Prés,sabré,Ê,,,,,,,,,,
27,mans,Anastasie,Madagas-,Magasins,mastoïdes,,,,,,,,,
28,"Bati-
gnolles",Batignolles,,,,,,,,,,,,
29,Musette,Eyssette,Mne Evyssette,,,,,,,,,,,
30,Université,Fer,Religion,Entrerai-je,recopiât,RER,Sèvres,guipure,TIRER,Observatoire,DER,SRE,ER,Bernerette
31,m'’écrivaient,m'’inspiraient,m'’introduire,Tiens,n'’irai,Raspail,m'’effraya,,,,,,,
32,"vieux
Lalouette",Kalatçala,Lalouette,Fouette,goutte,,,,,,,,,
33,Î,Ià-bas,irons /à-bas,Bas,ner là-bas,,,,,,,,,
34,îles Marquises,sur-le-champ,Naples,Chenilles,Les Chenilles,LES,fillesen,,,,,,,
35,Caveau,Savez,Avez,RÊVE,Venez,Brave,Voyez,,,,,,,
36,lui!.,Langlumeau,Angélus,Géniès,O,Languedoc,les Angélus,,,,,,,
37,TS,Muguet,Trouves-tu mon Muguet,Muguets,bésigue,,,,,,,,,
38,clocher de Saint-Germain,Saint-Germain-des-,Saint-Germain,faubourg Saint-Germain,Maine,Saint-Germain-des-Prés,Prés-Saint-Gervais,romains,,,,,,
39,Araignée,Scarabées,Escargots,,,,,,,,,,,
40,"Ù
Ê",d’,,,,,,,,,,,,
41,Désir-de-plaire,la Prairie,Grand-Orient,Prairie,As-tu bien travaillé,,,,,,,,,
42,"FETE

AE",Fe,AE,,,,,,,,,,,
43,"PAPILLON

Je crois bien!","PAPILLON
Chut","PAPILLON S
Ah!",Grillon,Papillon,cimetière des Papillons,PAPILLON,Cap,"PAPILLON

C’","PAPILLON

Est",guide-ballon n’,,,
44,Saumon,SAUMON 175,SAUMON,uma,,,,,,,,,,
45,Perrache,Evêché,Chers,Mon cher,Cher,du cher,Pacheco,la manche,,,,,,
46,m'’appelait,m'’invitait,m'’allait,m'’appelais,,,,,,,,,,
47,du Nord,S,Pardon,Parthénon,Chardon,,,,,,,,,
48,Jugez,Pérou,I,Souwaroff,Fougeroux,Limoux,Soubeyrol,soufHe,,,,,,
49,Annou,Coucou-Blanc!.,Blanc,"Coucou-
Blanc",Micou,COUCOU-BLANC,Écoutez,Courage,Coucou,Boucoyran,Coucou-Blanc,Coucou-,Ebloui,Mile Coucou-Blanc
50,Saint-Guillaume,rue Saint-Guillaume,"rue
Saint-Guillaume",rue Lanterne,,,,,,,,,,
51,t’,Cunocépa,Cévenol,C’,Cévennes,Cévenole,Cévenol l’,,,,,,,
52,Vatel,kakatoès,Bhagiratha,AT,Attends,Attention,Mathurine,Daçaratha,,,,,,
53,DAME,Dame,,,,,,,,,,,,
54,oo ot oo todo,"FER 97

Sd dd dd",Toto do do dd,,,,,,,,,,,
55,Combien,Algérien,Alsace,Alsacien,Éliacin,,,,,,,,,
56,Comédie,Théâtre-Français,Comédie-Française,,,,,,,,,,,
57,Barbette!.,"BABAROTTES 17

LS",cette Bastille,Barbette,Barbette… Allons!,,,,,,,,,
58,mitra,Bravo,Çudra,Voudrait-,Touraine,,,,,,,,,
59,estimez,trouverez là-bas des amis,pyramide d'Egypte,victoria de la dame,rue des Dames,Rue des Dames,,,,,,,,
60,École d’Alfort,Alfort,Or,Infortunes,,,,,,,,,,
61,Amour,—- Bonjour,beurrées,bourrée,Luxembourg,Tribou,,,,,,,,
62,"CHOSE

Tr

 

 

 

tot",Chose,Holà,Petit Chose,,,,,,,,,,
63,Lovelaces,Daniel,Rana-Valo,Danielo,,,,,,,,,,
64,veux-tu,"Es-tu
retourné",Vois-tu!,croisée,Palais-Royal,TU,Sais-tu qu’,Crois-tu,Nécro-,Ë,,,,
65,Pierrotte s’,"Pierrotte!

Pierrotte","Pierrotte…
Est",Roberte,Lx,Grossiers,Pierrotte,Mile Pierrotte,"PIERROTTE 145

oo",Mie Pierrotte,,,,
66,Eu,Malheu-,Eux,Malheureu-,Malheureuse-,,,,,,,,,
67,Nous vivions,VIOT,Vive,Viçva-,VI,victoria,Providence,,,,,,,
68,"CHOSE

RSS RER E SR R",rs,RSR R RER,dr rs,,,,,,,,,,
69,"collège de
Sarlande",Vieux-Collège,Récollets,collège de Lyon,collège cèlèbre,collège de,collège n’,,,,,,,
70,gros Serrières,D TER,Serrières,Arrêtez,Angleterre,Nanterre,"place des
Terreaux",terre,serrure,,,,,
71,EE,Dsnemeete- Di,,,,,,,,,,,,
72,Laquelle,Jacques,Bouzanquet,Perroquet,Afrique,A TRUE,Ménalque,Quelquefois,Quels,Quelque,l'Afrique,,,
73,m'’entraînant,s’,s’entr’,,,,,,,,,,,
74,Agen,Enr,Rime,Pme,"Limoux
Seulement",Aïmez,Confusément,Men,Bohême,ben,,,,
75,Vallée,Mlle,Palerme,Allez,m’,,,,,,,,,
76,EPS,"CAOUTCHOUCS III

rs","Ps

A ii

D",,,,,,,,,,,
77,Rà,mois!.,kss!.,Voilà,Pilouitt!.,Pilois,Pilois!.,,,,,,,
78,lit n’,Hospitalier,Italiens,Italien,Sitôt,l'Italie,salie!.,Italie,,,,,,
79,l’,A l’aube,L’,,,,,,,,,,,
80,poète!.,Impossible,Emporte,Pouah,d’hippopotames,Po,Poussé,,,,,,,
81,bte,Egypte,"TES

Sd",vages,Amalécites,TE,Carmélites,"Tes

l’air",Jardin des Plantes,Te rappelles-tu,Prêtez,Tes,,
82,Guigne,Signez,Notre-Seigneur,Seigneur,,,,,,,,,,
83,Foin,Polichinelle,Coquine,Chinois,Réfléchissez,Philistine,Chili,Colombine,Chine,,,,,
84,Charivaris,Palais-Mazarin,Parisien,Parisiens,Rio,Paris,,,,,,,,
85,À,voyais,aimais,"RUE
— J'ai",sais,J',J'aimais,,,,,,,
86,Château-,Neuf-des-Papes,gardes-du-corps,"Château-
Neuf-des-Papes",,,,,,,,,,
87,le Rhône,Rhône,Le Rhône,,,,,,,,,,,
88,"ENLÈVEMENT 217

w / ae SI LL Sd",Sd,LL LPS,LL LL Sd,,,,,,,,,,
