cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0.0,Çudra,Voudrait-,,,,,,,,
1.0,Pierrotte,"BABAROTTES 17

LS","PIERROTTE 145

oo","Pierrotte…
Est",Mie Pierrotte,"Pierrotte!

Pierrotte",Pierrotte s’,Mile Pierrotte,,
2.0,m'’inspiraient,n'’irai,m'’introduire,m'’invitait,m'’écrivaient,,,,,
3.0,Cévenol,Cévenol l’,Cévennes,Cévenole,,,,,,
4.0,"CHOSE

Tr

 

 

 

tot",A TRUE,Chose,Petit Chose,oo ot oo todo,"CHOSE

RSS RER E SR R",,,,
5.0,MIle,ILE,,,,,,,,
6.0,voyais,Voyez,sais,,,,,,,
7.0,Prés,Précédé,,,,,,,,
8.0,Barbette,Barbette!.,Barbette… Allons!,,,,,,,
9.0,Magasins,Madagas-,,,,,,,,
10.0,Poussé,Pouah,,,,,,,,
11.0,Travaille,As-tu bien travaillé,Raspail,,,,,,,
12.0,Daçaratha,Bhagiratha,,,,,,,,
13.0,Saint-Cloud,Saint-,Saint-Pierre,Saint-Nizier,église Saint-Pierre,rue Saint-Benoît,Saint-Emilion,Saint-Pétesbourg,Saint-Esprit,Saint-Théophile
14.0,terre,Nanterre,Consterna-,D TER,Angleterre,,,,,
15.0,Pardon,Parthénon,Chardon,,,,,,,
16.0,"Château-
Neuf-des-Papes",Neuf-des-Papes,Château-,,,,,,,
17.0,Nous vivions,VIOT,Annou,Religion,,,,,,
18.0,l'Italie,Italiens,salie!.,Italien,Hospitalier,Italie,,,,
19.0,Marseille,Vieille,Marsala,soleil,Conseille,,,,,
20.0,Vallée,Allez,Mlle,,,,,,,
21.0,Fanfan-la-Tulipe,trompe-la-mort,,,,,,,,
22.0,le Rhône,Rhône,Le Rhône,,,,,,,
23.0,Océan,Cunocépa,,,,,,,,
24.0,songeuse,Robinson,Roberte,Bonsoir,,,,,,
25.0,Egypte,pyramide d'Egypte,,,,,,,,
26.0,J'aimais,"RUE
— J'ai",-je,aimais,,,,,,
27.0,gardes-du-corps,Regardez,,,,,,,,
28.0,"Limoux
Seulement",Confusément,Dsnemeete- Di,Limoux,,,,,,
29.0,"mer

 

 

 

 

LE ROMAN","mer

 

 

 

 

LE ROMAN DE",,,,,,,,
30.0,Quelque,Quelquefois,Ménalque,Quels,Foin,Laquelle,,,,
31.0,rue de Lille,lilas,titis de l’,rue Lanterne,,,,,,
32.0,Bouzanquet,Perroquet,Tribou,,,,,,,
33.0,les Angélus,Angélus,,,,,,,,
34.0,ben,Fougeroux,Pérou,Jugez,,,,,,
35.0,Bamban!.,Bamban,,,,,,,,
36.0,Ser-,Pier-,Nizier,Mlle Pier-,Cahier,Pie,,,,
37.0,qu’,jusqu’,Jusque,,,,,,,
38.0,Rendez,cendis,Bandit,Vendredi,,,,,,
39.0,baie de Naples,Naples,,,,,,,,
40.0,Bach’,Pacheco,recopiât,Perrache,,,,,,
41.0,théâtre de Paris Quant,théâtre de Paris,,,,,,,,
42.0,Comédie-Française,Théâtre-Français,Pise,Comédie,,,,,,
43.0,Cassagne,sagne,,,,,,,,
