cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107
-1,elliptiquie,N0ivLLLE,Marseillaise,essouffles,- tu vois,Seville,A8,viellles,NOYELLE ESEnRANCB,ILA NOELLIE,accabl6e,lesarbres,"massif de myosotis etoufle
de feuilles",treizieme annee,endure,ampe,liitlle seit,Joubliais,Versailles,A55,molistache,Elle ajauta,oi,empecher,toisie,"chambre
deshabituee",velle,colere,1-- Jerme,tibede,caillox,luiILA NOUyELLE,Grenade,blessee,Fon,Bengale,Mont-Valerien,N0UVELLE BSPEnANCE,IUn,e1SeS,madare,",,",vanit6 seche,vis-a-vis d'elle,N0UVELLE ESPfR ANCE,graduellementa,VELL ESPRANC1,N0UVELLlL ESPERANCB,ntit,entraiten,Rozee,retrouvee,lunes bleues,Tabieh Mauri,Parme,z.,"N0UELLE E9PRANCB
Elle dit:
.--",ayaht,zt,Saint-Cloud,",- Nou",desarroi,Seulemenlt,inventee,soiree,cIT',amusee,-  Maintenant,N0IUYELLB,Philosopige,"N0UVELLB ESPRANCE
mere",E,penetra,N0UVELILE,Sincere,ESPEnRANCE,beatoup,reponse,ESPEnANCB,y-,troublejusqu',N0UVBLLB ESPERANCE,"pas,,.elle",Touraine,Allemagne,Pour-,empoisonnee,Anzin,Bibliotheque,"LLL

L

I


LI",Nancy,N0tUVELLE EsSPEnRANCE,Messine,J',bonte,ie-ereniossitadeeetel,nfgrmit asoinoNee,fleole,A,Ioutes,LA N0OUYELL,Indes,emouvoir,forceLA N0UVBLL,Narie,acharnee,a7,Wurtemberg
0,A07,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,A9,A92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,I,T3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,vieI Voyez,Voyez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sutr,beuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Aow,mer d'Aow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A Henri,lenri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rouen,Corinthe,souenir,Cordoue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Lambur,hafr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Lhiver,Alhert Drer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
