cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Laisse,Suisse,Anglais,laissel,Marseillaise,,,,,,,,,
1,ble,fleole,le230,"la
Seine bleue",troublejusqu',v6nerable,blessee,,,,,,,
2,N0UYELLE,LLA N0UyELLE,N0IUYELLB,LA N0OUYELL,N0UYELLB,N0UYELLE BSP RANCL,,,,,,,,
3,G-.--,.--.310,L---,,,,,,,,,,,
4,ILA,la252,Philosopige,IILA,Lambur,OhIl,i-.LA,Il1,Latin,,,,,
5,Rouen,Iyrol,Cordoue,souenir,I,A6,,,,,,,,
6,manche,chanud,vanit6 seche,la manche,A07,lche,,,,,,,,
7,Curieuse,creuse,delicieuses.7,amusee,Tabieh Mauri,,,,,,,,,
8,quittat,Etat,tqui,Quittez,,,,,,,,,,
9,uand,G:;auan,Iandis,Hollande,,,,,,,,,,
10,VELL ESPRANC1,N0UVELLE EsPERANCE,N0UVELLE ESPfR ANCE,N0UVELILE ESPERANCE,"N0UVELLB ESPRANCE
mere",LA NoUVELLE ESPERANCIE,wo  boi.28 LA N0UVEILLE ESPfEnRANCE,N0UVELLE ESPiRANCE 87,N0tUVELLE EsSPEnRANCE,N0UVELLE BSPEnANCE,N0UVELLlL ESPERANCB,ESPEnANCB,N0UVBLLB ESPERANCE,
11,LA N0UYBLLE,N0UYBLLE,LA N0UYLLE,ILA N0UYBLLE,,,,,,,,,,
12,fievre,Sevres,resumee,reponse,Gravures,,,,,,,,,
13,ocuiivre,Louvre,du Louvre,emouvoir,Saint-Cloud,retrouvee,,,,,,,,
14,Vienne,comedienne,mediocre,rue de l'Ancienne-Comedie,,,,,,,,,,
15,N0UVBLLE,N0UVBLLB,N0UVIILLE,NoUvBLLE,Blle,forceLA N0UVBLL,,,,,,,,
16,"II
H
I","II
I",J',"E
I",II,Phiiippe,"II
I
LA",,,,,,,
17,molistache,Moliere,colere,Singulierement,ecoliers,,,,,,,,,
18,v0US,eperdus,Ous,Nb6us,ous,Rbus,Mossoul,zt,,,,,,
19,lenri,A Henri,",,","cri,-",,,,,,,,,,
20,le dranger,loranger,a7,Alhert Drer,,,,,,,,,,
21,"rue Jean-
Bart",Brtles de s6if,tle de Jean-Jaeques,aequies-,Jaeques,"massif de myosotis etoufle
de feuilles",de Saxe,,,,,,,
22,Eile,Lucile,N0UYEILILE,soleil,T3,,,,,,,,,
23,Bovary,Paris,Narie,attrist6e,Parme,ar-,Passy,A Paris,,,,,,
24,bois dechire,dechiffres,Bois de Boulogne,bois de hoyer,,,,,,,,,,
25,Tournon,detour,Pour-,beatoup,rue de ournon,,,,,,,,,
26,Geneve,penetra,Genes,Suresnes,Rgent,Elseneur,,,,,,,,
27,I0UIELLE ESPfEnRANCE,N0UYELLE ESPERANCB,N0UYELLE ESPRANCB,N0UYELLE EsPRANCE 57,N0UYELLE ESPERANCE,N0UYELLE ESPERANCE 11,N0UYELLE ESPERANcCE,N0UYILLE BSPfnRANC 69,NOYELLE ESEnRANCB,,,,,
28,- Montez,bonte,Amont,monta,montee,Mont-Valerien,inventee,Pomone,,,,,,
29,N0UELLB,"N0UELLE E9PRANCB
Elle dit:
.--",suelle,N0UELLE,graduellementa,N0,,,,,,,,
30,tourmentait170,Agrigente,sentimentale,Comment,entraiten,Bengale,Attentive,Seulemenlt,,,,,,
31,A1,Italie,LI,d'Italie,lItalie,Clichy,,,,,,,,
32,Grenade,Grece,piece,z.,,,,,,,,,,
33,nettete,tete courbee,tete collee,tetu,bete,saintete,tete,htel,hebetee,Ioutes,,,,
