cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156,elem_157,elem_158,elem_159,elem_160,elem_161,elem_162,elem_163,elem_164,elem_165,elem_166,elem_167,elem_168,elem_169,elem_170,elem_171,elem_172,elem_173,elem_174,elem_175,elem_176,elem_177,elem_178,elem_179,elem_180,elem_181,elem_182,elem_183,elem_184,elem_185,elem_186,elem_187,elem_188
-1,lesarbres,endure,- Montez,Comite,glle,Assise,barcarolle,N0ELLE,fremir,meles,nfgrmit asoinoNee,Rozee,I0UIELLE ESPfEnRANCE,H,liitlle seit,A1,"N0UELLE E9PRANCB
Elle dit:
.--",fleole,zcc::x,N0iELLE,nobiliaire.6,Lhiver,reprenez-la,Touraine,ocuiivre,bonte,VELL ESPRANC1,eg,molistache,ampe,"chambre
deshabituee",Elle ajauta,Philosopige,mediocre,amiti6,moitie,acharnee,ayaht,desarroi,- tu vois,Bois,LI,N0UVELLE ESPfR ANCE,LLA N0UyELLE,Bibliotheque,penetra,oi,viellles,J',a7,IUn,chemnins,beuf,"LLL

L

I


LI",boules-de-neige,"N0UVELLB ESPRANCE
mere",N0ivLLLE,Leurs-,N0UVELILE,Seville,"E
I",vanit6 seche,Narie,N0IUYELLB,Allemagne,montee,Etonnante,Sincere,Iyrol,colombes,ESPEnRANCE,empoisonnee,Grenade,A07,Mont-Valerien,LA N0OUYELL,inventee,dechiffres,empecher,accabl6e,ca,lunes bleues,Pomone,madare,reponse,detour,clematites,Rbus,aequies-,entraiten,Joubliais,wo  boi.28 LA N0UVEILLE ESPfEnRANCE,Pour-,Lambur,Dauphine,OhIl,Nancy,Clichy,Blle,y-,amusee,maine,precis,dlire,Apaisee,Versailles,Noel,1-- Jerme,hafr,gargon,i-.LA,"massif de myosotis etoufle
de feuilles",N0UVELLE ESPiRANCE 87,Bengale,cIT',NoUvILLB,essouffles,Mossoul,Elseneur,musie,J6-,soiree,Messine,colere,Fon,zt,emouvoir,sutr,Attentive,A55,z.,A8,treizieme annee,attrist6e,-  Maintenant,Lausanne,Tabieh Mauri,Anzin,beatoup,N0UVELLI,devolr,E,troublejusqu',Wurtemberg,graduellementa,e1SeS,gauchement,canape,N0tUVELLE EsSPEnRANCE,Parme,Michelet,N0UVELLE BSPEnANCE,I,Indes,Marseillaise,N0UVELLlL ESPERANCB,volupte,Berlin,amnie,Ioutes,blessee,A6,toisie,",- Nou",ESPEnANCB,vis-a-vis d'elle,forceLA N0UVBLL,tibede,N0UVBLLB ESPERANCE,N0,Bourgogne,elliptiquie,"pas,,.elle",",,",N0UVEILLE,Saint-Cloud,A,NOYELLE ESEnRANCB,Passy,retrouvee,Alhert Drer,ILA NOELLIE,caillox,ntit,luiILA NOUyELLE,telegruphie,Seulemenlt,T3,ie-ereniossitadeeetel
0,Laisse,Suisse,Anglais,laissel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aimais,- Nais,Etat,jais,etais,Jamais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,tourmentait170,C'6tait,gtait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sentimentale,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,rohe,Boheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N0UELLB,suelle,N0UELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,velle,N0VELLE,N0VELLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,M0UVELLE,N0UVELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,N0UvELLBE,N0UVELLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
