cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,resumee,lesarbres,Suresnes,reseda,chteau,Gravures,Sevres,dechiffres,,,,,
1,bois de hoyer,ar-,Bois,bois dechire,Rozee,de Saxe,Ous,Bois de Boulogne,Brtles de s6if,,,,
2,Ia2,malemoiselle,moitie,Mossoul,Bengale,lune,,,,,,,
3,Geneve,Genes,eg,penetra,,,,,,,,,
4,Seville,"massif de myosotis etoufle
de feuilles",Versailles,zcc::x,caillox,N0UVIILLE,N0UYILLE BSPfnRANC 69,,,,,,
5,gne,l'Espagne,Pologne,Lhiver,rohe,Espagne,Allemagne,,,,,,
6,devolr,Amont,Mont-Valerien,Pomone,montee,monta,- Montez,A3,,,,,
7,Marseillaise,Marsan,Lausanne,Eugene Marsan,,,,,,,,,
8,- D6cide,chanud,,,,,,,,,,,
9,poele,Noel,ele,,,,,,,,,,
10,.--.310,vecu,le230,G-.--,,,,,,,,,
11,lItalie,A55,d'Italie,Il1,Italie,,,,,,,,
12,Cest,piece,A38,Est,est-tce,,,,,,,,
13,gtait,C'6tait,stt,tourmentait170,hafr,avaitvecu,,,,,,,
14,Fonteray,deFontenay,port6,Fon,Etat,tenay,-  Maintenant,Fontenay,Anzin,bonte,,,
15,nobiliaire.6,eclairee,tibede,dlire,clair6,"desir
opulaire",,,,,,,
16,"rue madame
Forbier","rue Jean-
Bart",madare,Clichy,Tabieh Mauri,cIT',y-,,,,,,
17,jais,Joubliais,Jamais,Apaisee,- Nais,aimais,etais,Ioutes,,,,,
18,creuse,delicieuses.7,reuni,Curieuse,,,,,,,,,
19,NoUvBLLE,N0UVBLLE,L---,N0UVBLLB,J',forceLA N0UVBLL,,,,,,,
20,A Henri,A9,reponse,Berlin,lenri,,,,,,,,
21,grace,glacee,A1,au-,enacee,Alsace,,,,,,,
22,Chaoun,A8,Ferney,morne,canape,du morne,acharnee,,,,,,
23,Jaeques,tle de Jean-Jaeques,aequies-,Bibliotheque,,,,,,,,,
24,musie,- tu vois,toisie,empoisonnee,Sois,,,,,,,,
25,LA NoUVELLE ESPERANCIE,N0UVELILE ESPERANCE,N0UVELLE EsPERANCE,N0UVELLE ESPfR ANCE,VELL ESPRANC1,N0UVELLlL ESPERANCB,wo  boi.28 LA N0UVEILLE ESPfEnRANCE,N0UVELLE ESPiRANCE 87,"N0UVELLB ESPRANCE
mere",N0UVBLLB ESPERANCE,N0tUVELLE EsSPEnRANCE,,
26,I,LA N0UYBLLE,ILA N0UYBLLE,LA N0UYLLE,vde,A6,a7,N0UYBLLE,,,,,
27,fbine,Ine,Subine,Sahine,inegal,Dauphine,maine,Messine,Soie,,,,
28,essouffles,Naples,Les20,meles,lese,soif1,Sales,"LLL

L

I


LI",boules-de-neige,,,,
29,colombes,oi,colere,lez,Sincere,A07,fleole,,,,,,
30,"II
I","II
I
LA","II
H
I",,,,,,,,,,
31,IILA,ILA,Rbus,,,,,,,,,,
32,Grenade,reprenez-la,ie-ereniossitadeeetel,Florence,,,,,,,,,
33,v0US,collee,allee,allees,allegee,,,,,,,,
34,inteni-LA NOUVELLE,NoUvILLB,ILA NOELLIE,la252,NoUVELLE,luiILA NOUyELLE,LA NOUvELLE,I.A NOUvELLE,retrouvee,leLA NOUVELLE EsPfERANCE,",- Nou",ESPRANCRLA NOUVELLE,LA NO0VELLE
35,N0ivLLLE,liitlle seit,.Rlle,Blle,Nulle,Rlle,glle,barcarolle,Flles,tulle,,,
36,sreeor,N0,soiree,serree,,,,,,,,,
37,la Seine,Seine,"la
Seine bleue",Iyrol,,,,,,,,,
38,Aow,H,ayaht,,,,,,,,,,
39,Partez,IUn,partce,Parme,sondepart,,,,,,,,
40,fratche,Grece,molistache,A30,vanit6 seche,lche,Michelet,,,,,,
41,OhIl,"ESPRANG
Madame de Fontenay",",,",adame de Fontenay,rue de ournon,Ialemoiselle de Fontenay,"A madame
de Fontenay",,,,,,
42,posees,blessee,rosee tiede,amusee,,,,,,,,,
43,luhne,manche,Manuscrits,la manche,,,,,,,,,
44,ESPfiRANCL,sutr,Ia France,ESPIiRANCE,ESPEnRANCE,de France,France,Franec,,,,,
45,eperdus,perse,"E
I",,,,,,,,,,
46,Vosges,Louvre,Bovary,du Louvre,fievre,ocuiivre,emouvoir,,,,,,
47,Comment,graduellementa,Boheme,gauchement,Seulemenlt,Singulierement,,,,,,,
48,Alhert Drer,gptt,Agrigente,Rgent,zt,inventee,,,,,,,
49,Passy,Lucile,Eile,soleil,,,,,,,,,
50,elliptiquie,Quittez,quittat,tqui,Lambur,ca,,,,,,,
51,Suisse,Anglais,"cri,-",Laisse,laissel,,,,,,,,
52,decidee,ecourtees,decouragee,,,,,,,,,,
53,Heloise,II,Oise,Assise,l'Oise,mer d'Aow,,,,,,,
54,Rome,1-- Jerme,Ierome,Jerome,Jerbome,,,,,,,,
55,I0UIELLE ESPfEnRANCE,NOYELLE ESEnRANCB,N0UYELLE ESPERANCB,N0UYELLE ESPERANCE,N0UYELLE ESPERANCE 11,N0UYELLE ESPERANcCE,N0UYELLE EsPRANCE 57,N0UYELLE ESPRANCB,,,,,
56,Flore,le dranger,loranger,,,,,,,,,,
57,ous,Apre,Apres,apre,precis,A92,,,,,,,
58,saintete,Corinthe,Saint-Cloud,,,,,,,,,,
59,mediocre,Vienne,comedienne,rue de l'Ancienne-Comedie,,,,,,,,,
60,jardin des Vosges,"chambre
deshabituee",desarroi,Indes,,,,,,,,,
61,v6nerable,lunes bleues,ble,troublejusqu',,,,,,,,,
62,chateau des Bruyeres,accabl6e,bruni,Th6erese,Bruyeres,,,,,,,,
63,N0UVLLE,N0UVELLI,M0UVELLE,N0UVEILLE,soil,N0UVELLE BSPEnANCE,N0UVELLB,N0UVELLE,N0UVELILE,N0VELLB,N0UvELLBE,,
64,Rouen,souenir,Cordoue,,,,,,,,,,
65,ntit,entraiten,Attentive,sentimentale,,,,,,,,,
66,attrist6e,A Paris,Narie,Paris,,,,,,,,,
67,h Ier0me,Ier0me,Jr0me,J6r0me,Ir0me,,,,,,,,
68,Nb6us,Wagon,e1SeS,z.,lagonie,wagon,gargon,,,,,,
69,E,,,,,,,,,,,,
70,Bourgogne,feuillage du Luxembourg,Luxembourg,LI,Wurtemberg,,,,,,,,
71,Elseneur,endure,Asie Mineure,Asie Mineure  Rien,Leurs-,eesie triete,,,,,,,
72,tete collee,nettete,tete courbee,tete,bete,tetu,,,,,,,
73,ecoliers,Moliere,J6-,Ierbme,Forbier,Pierre,,,,,,,
74,Hollande,Iandis,uand,,,,,,,,,,
75,amiti6,beuf,nfgrmit asoinoNee,Comite,,,,,,,,,
76,suelle,viellles,Elle ajauta,velle,N0VELLE,NO0VELLE,N0iELLE,N0ELLE,vis-a-vis d'elle,"pas,,.elle",,,
77,chemnins,cheminee,cheminee chaude,,,,,,,,,,
78,i-.LA,beatoup,Touraine,detour,Pour-,Tournon,,,,,,,
79,N0UYELLB,N0UYELLE BSP RANCL,LLA N0UyELLE,N0UYEILILE,amnie,N0IUYELLB,N0UYELLE,LA N0OUYELL,,,,,
80,Dominique,G:;auan,Quelquefois,Quelque,,,,,,,,,
81,clematites,Nationsle,Latin,A335,,,,,,,,,
82,Phiiippe,htel,Philosopige,telegruphie,,,,,,,,,
83,Etonnante,elan,ESPEnANCB,Nancy,,,,,,,,,
84,N0UELLB,"N0UELLE E9PRANCB
Elle dit:
.--",N0UELLE,,,,,,,,,,
85,vieI Voyez,Voyez,,,,,,,,,,,
86,Egypte,Lgypte,A,volupte,,,,,,,,,
87,agitee,T3,hebetee,inusitee,,,,,,,,,
88,treizieme annee,ampe,empecher,meltre,fremir,remportee,extreme,eorps,trempee,,,,
