cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
0,Aow,mer d'Aow,a7,,,,,,,,,,,,,,,,,,,,,,,,,,
1,musie,Nb6us,ous,Chaoun,Mossoul,v0US,eperdus,Rbus,Ous,troublejusqu',,,,,,,,,,,,,,,,,,,
2,Marsan,Lausanne,madare,Eugene Marsan,desarroi,,,,,,,,,,,,,,,,,,,,,,,,
3,chateau des Bruyeres,jardin des Vosges,"chambre
deshabituee",Bruyeres,au-,dechiffres,,,,,,,,,,,,,,,,,,,,,,,
4,Egypte,Lgypte,A1,gptt,eg,A,,,,,,,,,,,,,,,,,,,,,,,
5,ecoliers,Moliere,molistache,colere,dlire,Singulierement,Berlin,,,,,,,,,,,,,,,,,,,,,,
6,elliptiquie,lItalie,liitlle seit,d'Italie,Clichy,LI,Italie,,,,,,,,,,,,,,,,,,,,,,
7,Cest,stt,H,Est,est-tce,,,,,,,,,,,,,,,,,,,,,,,,
8,jais,Joubliais,Jamais,- Nais,aimais,etais,,,,,,,,,,,,,,,,,,,,,,,
9,Grece,grace,glacee,Gravures,enacee,Alsace,,,,,,,,,,,,,,,,,,,,,,,
10,Vosges,Geneve,Elseneur,Genes,Suresnes,Rgent,penetra,boules-de-neige,,,,,,,,,,,,,,,,,,,,,
11,nobiliaire.6,eclairee,clair6,"desir
opulaire",,,,,,,,,,,,,,,,,,,,,,,,,
12,Rouen,rohe,souenir,Cordoue,Iyrol,,,,,,,,,,,,,,,,,,,,,,,,
13,port6,Ferney,morne,Pomone,du morne,eorps,,,,,,,,,,,,,,,,,,,,,,,
14,I0UIELLE ESPfEnRANCE,NOYELLE ESEnRANCB,LA NoUVELLE ESPERANCIE,N0UVELILE ESPERANCE,Versailles,N0UVELLE EsPERANCE,N0UYELLE BSP RANCL,N0UVELLE BSPEnANCE,le dranger,N0UVELLE ESPfR ANCE,VELL ESPRANC1,N0UVELLlL ESPERANCB,N0UYELLE ESPERANCB,"N0UELLE E9PRANCB
Elle dit:
.--",N0UYELLE ESPERANCE,N0UYELLE ESPERANCE 11,leLA NOUVELLE EsPfERANCE,zt,wo  boi.28 LA N0UVEILLE ESPfEnRANCE,N0UYELLE ESPERANcCE,N0UVELLE ESPiRANCE 87,"N0UVELLB ESPRANCE
mere",N0UYELLE EsPRANCE 57,N0UYELLE ESPRANCB,ESPEnANCB,y-,N0UVBLLB ESPERANCE,N0UYILLE BSPfnRANC 69,N0tUVELLE EsSPEnRANCE
15,Lhiver,vecu,piece,avaitvecu,,,,,,,,,,,,,,,,,,,,,,,,,
16,Phiiippe,II,"II
I","II
I
LA","II
H
I","E
I",,,,,,,,,,,,,,,,,,,,,,,
17,N0UYELLB,LA N0UYBLLE,LLA N0UyELLE,ILA N0UYBLLE,LA N0UYLLE,N0IUYELLB,N0UYELLE,LA N0OUYELL,forceLA N0UVBLL,,,,,,,,,,,,,,,,,,,,
18,luhne,la Seine,fbine,Ine,Subine,T3,Seine,Sahine,"la
Seine bleue",inegal,lune,Dauphine,maine,Touraine,Anzin,Latin,Messine,,,,,,,,,,,,
19,devolr,- D6cide,tibede,decidee,rosee tiede,de Saxe,decouragee,vde,Indes,,,,,,,,,,,,,,,,,,,,
20,N0ivLLLE,NoUvBLLE,Seville,viellles,.Rlle,zcc::x,Blle,Nulle,Rlle,v6nerable,glle,barcarolle,ble,"LLL

L

I


LI",tulle,N0UYBLLE,,,,,,,,,,,,,
21,collee,allee,Bengale,Rozee,allees,Allemagne,allegee,,,,,,,,,,,,,,,,,,,,,,
22,Apre,Apres,apre,precis,reprenez-la,,,,,,,,,,,,,,,,,,,,,,,,
23,"massif de myosotis etoufle
de feuilles",Jaeques,"rue Jean-
Bart",tle de Jean-Jaeques,aequies-,E,Brtles de s6if,,,,,,,,,,,,,,,,,,,,,,
24,creuse,bruni,reuni,IUn,amnie,beuf,,,,,,,,,,,,,,,,,,,,,,,
25,inteni-LA NOUVELLE,NoUvILLB,ILA NOELLIE,NoUVELLE,luiILA NOUyELLE,LA NOUvELLE,NO0VELLE,I.A NOUvELLE,",- Nou",ESPRANCRLA NOUVELLE,LA NO0VELLE,,,,,,,,,,,,,,,,,,
26,A9,A92,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,la252,OhIl,IILA,i-.LA,ILA,z.,Lambur,Philosopige,elan,Il1,,,,,,,,,,,,,,,,,,,
28,moitie,ntit,cIT',Attentive,amiti6,sentimentale,,,,,,,,,,,,,,,,,,,,,,,
29,"rue madame
Forbier",Grenade,"ESPRANG
Madame de Fontenay",adame de Fontenay,Ialemoiselle de Fontenay,"A madame
de Fontenay",,,,,,,,,,,,,,,,,,,,,,,
30,fratche,chanud,",,",vanit6 seche,lche,manche,Manuscrits,la manche,Nancy,,,,,,,,,,,,,,,,,,,,
31,Ia2,h Ier0me,Ier0me,Ierbme,Forbier,Jr0me,J6r0me,Ir0me,,,,,,,,,,,,,,,,,,,,,
32,gtait,C'6tait,Etat,Quittez,quittat,tqui,,,,,,,,,,,,,,,,,,,,,,,
33,Louvre,retrouvee,du Louvre,Saint-Cloud,fievre,ocuiivre,emouvoir,,,,,,,,,,,,,,,,,,,,,,
34,I,Lucile,Eile,N0UYEILILE,A07,soleil,,,,,,,,,,,,,,,,,,,,,,,
35,Marseillaise,Suisse,Anglais,Apaisee,Assise,Laisse,laissel,,,,,,,,,,,,,,,,,,,,,,
36,Rome,1-- Jerme,Ierome,Jerome,Jerbome,,,,,,,,,,,,,,,,,,,,,,,,
37,gne,l'Espagne,A8,Espagne,,,,,,,,,,,,,,,,,,,,,,,,,
38,colombes,mediocre,Comment,Vienne,comedienne,rue de l'Ancienne-Comedie,,,,,,,,,,,,,,,,,,,,,,,
39,.--.310,L---,G-.--,,,,,,,,,,,,,,,,,,,,,,,,,,
40,N0UVLLE,N0UVELLI,M0UVELLE,N0UVBLLE,N0UVEILLE,velle,N0VELLE,N0UELLB,N0iELLE,N0,N0ELLE,N0UVELLB,N0UVBLLB,N0UVIILLE,N0UVELLE,N0UVELILE,N0VELLB,N0UELLE,N0UvELLBE,,,,,,,,,,
41,Amont,agitee,inventee,montee,A6,monta,- Montez,bonte,,,,,,,,,,,,,,,,,,,,,
42,essouffles,lesarbres,reseda,posees,Naples,blessee,delicieuses.7,e1SeS,clematites,lunes bleues,Les20,Seulemenlt,Sevres,Flles,lese,Sales,,,,,,,,,,,,,
43,Fonteray,deFontenay,Fon,tenay,entraiten,Agrigente,ayaht,Nationsle,-  Maintenant,Fontenay,Etonnante,,,,,,,,,,,,,,,,,,
44,Wagon,lagonie,wagon,gargon,,,,,,,,,,,,,,,,,,,,,,,,,
45,feuillage du Luxembourg,Luxembourg,Wurtemberg,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Asie Mineure,Curieuse,Tabieh Mauri,Asie Mineure  Rien,eesie triete,,,,,,,,,,,,,,,,,,,,,,,,
47,accabl6e,canape,caillox,ca,,,,,,,,,,,,,,,,,,,,,,,,,
48,tete collee,nettete,saintete,tete courbee,ecourtees,hebetee,htel,chteau,tete,Ioutes,volupte,bete,tetu,inusitee,Comite,,,,,,,,,,,,,,
