cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,got,Solango,Solange,Solngo,d6sola,oola,Solungo aost li-bas,,,,,,,,,,,,,,,,,,
1,Gatharine,L-,Catharine,Ctharino,gaf,egarde,Ilordinarie,,,,,,,,,,,,,,,,,,
2,gne,eprgnee,gns,Gnl,soignerai,ne170,oampagne,,,,,,,,,,,,,,,,,,
3,mattresss,maltresse,Mattresse,sssvie,demandus  la maitress,dress6,bless6,mss,qn',wss,,,,,,,,,,,,,,,
4,Nunnetta,Nunnette,Nunnatta,tta,"charit6 da
lua mbre Nunnetta",Nunnetto,,,,,,,,,,,,,,,,,,,
5,Lon,c::BCONDB,ihlo,impossiblo,bont6,t80,lon,''L,"volonta da
Disu",gargon,Lo,,,,,,,,,,,,,,
6,Colis,Is,buis,Grise,leglise,Iixisr,diset east,lisie,Paris,uu bisn lurl,bris6,Jappris,misbre,"Is
I",prisr,ruissau,,,,,,,,,
7,B,ge,ly,gea,jugez-en l Jai,gene,rige,voyagek,gehns,Agel,Gei-e-e,,,,,,,,,,,,,,
8,hl6,Hlal,bl6,,,,,,,,,,,,,,,,,,,,,,
9,frthos,fr,oolfre,la France,,,,,,,,,,,,,,,,,,,,,
10,toil,LZ nnoi,oi,moil,eoiffa,Voilh,foid,armoie,voil,oflloiar,coIme,,,,,,,,,,,,,,
11,Louisl,Louiso,Issouimn,Issoudun,ruison,ruisonnublo,Louisjouissait,soupof,Louial,grdantlLouis,louede,Louist,Iouis,,,,,,,,,,,,
12,"IIl -
II","II

L
- E",Oii,"IIG

r",II,PRBMIIRRE,pee  l sliit,Tiier an,fiivre asi,LiI,iiaa,TUlsIkMk 1ANII,ktii,ii,"LHIII

II
 Sil
III",PAIII,,,,,,,,,
13,PATI,PANTIk,bAtir,paruatt,PAHYTIk,Patito,,,,,,,,,,,,,,,,,,,
14,Io,Ioshine,Ionis,Iort,bioen,Dumiont,io,Iouii,i]1,anvio,,,,,,,,,,,,,,,
15,etj',SZR,J',,,,,,,,,,,,,,,,,,,,,,
16,Hautes-kloches,cupes,lespsi,oes,aoes,nest-oe,nuudes,Haues-loehes,ees ides,,,,,,,,,,,,,,,,
17,Cstte,"ontta puillo uu vot
uatte",tte,quittee,Cs,Cost,,,,,,,,,,,,,,,,,,,
18,plaes,IJae,place,ani-plaae,plaft,ellae,maes,,,,,,,,,,,,,,,,,,
19,rs-,trs-fort,-F,,,,,,,,,,,,,,,,,,,,,,
20,naftra,d6pana da ux,Nai,nayor,Na,Poonnae,vona,nankin,Narie,,,,,,,,,,,,,,,,
21,Pierres-,Saint-Pierre,-:t:=,truver Pierre,MIERR,"Pierres-
Folles",,,,,,,,,,,,,,,,,,,
