cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,loanno,LZ nnoi,lunno,Mannotte,leanno,ann6es,nuho,Nannottat,,,,,,,,,
1,grund,ihlo,uund,Grund-il,,,,,,,,,,,,,
2,Fuuche,huche,Ilt,rige,gns,got,Touches,,,,,,,,,,
3,Amne,aumne,IJae,cumphre,lh,,,,,,,,,,,,
4,oola,Vars,Ls,Cn,d6sola,SZR,oolfre,,,,,,,,,,
5,Ioshine,Jasphino,chin,Josiphine,,,,,,,,,,,,,
6,"IIl -
II","LHIII

II
 Sil
III",lir,"ii

I
I

II
E
E",paou,,,,,,,,,,,,
7,voyes-ee,Voyez,soyes,z Voyes,joyeu,,,,,,,,,,,,
8,Iu,caeher,Maehere,Cs,Is,ceher,Aehetez,hereher,etle poreher,gaeho,Haues-loehes,,,,,,
9,Aprbs,Laprks-midi,aprbes,Aprbes,Laprks,Aprs,,,,,,,,,,,
10,Muarguerito,Mlurguerito,uerita,lorgueil,Margue-,frthos,,,,,,,,,,,
11,Iois,sois,Vois,sora,"IIG

r",Sois,IL,Crois,- Vois,,,,,,,,
12,Voilh,voil,or6-,toil,moil,el,,,,,,,,,,,
13,Heinl,veines,peino,lapeine,m6deein,y10,,,,,,,,,,,
14,qul,llas,oi,Na,tlllas,ellae,,,,,,,,,,,
15,te0ors,Iaine,foire proehaine,iaiis,maine,jolio,,,,,,,,,,,
16,Ilordinarie,Narie,daecord,jardin mpour,lordinuaire,,,,,,,,,,,,
17,Iu eompagnio,payetra eomptant,yeu eomma,ommana,Commae,,,,,,,,,,,,
18,"N
 I","Grand-
Bail",Grand-Bail,Dail-,t80,Io,Durand,rand-ail,rand-Bail,Grand-,Oii,,,,,,
19,Tlens,parlens,Gei-e-e,paros,se106,,,,,,,,,,,,
20,pau y aompter,aoomnpter,oompte,-,,,,,,,,,,,,,
21,foree,G,A foree,PAIII,,,,,,,,,,,,,
22,eNviee,sssvie,anvio,,,,,,,,,,,,,,
23,Maia,maiaon,"oette
maiaon",maieo,,,,,,,,,,,,,
24,MIar-1h,matiar-lh,oflloiar,ar-,,,,,,,,,,,,,
25,qn',ne170,,,,,,,,,,,,,,,
26,I',"Saint-
Jean",Saint-lean,Saint-Jean,Saint-Iean,,,,,,,,,,,,
27,lean Jusserand,lean,buas,Jusserand,,,,,,,,,,,,,
28,herg,nayor,bouher uno pibdeoe de,Kn,hergra,,,,,,,,,,,,
29,valt,travalil,avaeo,Muitra,naftra,val,,,,,,,,,,,
30,Jane,tane6,Aidez,sane uger,Bluanehe,,,,,,,,,,,,
31,gne,eprgnee,oampagne,,,,,,,,,,,,,,
32,seule.3RANN RN SEVI6GR,coffhe,serviee,RN sERVICE,RN SEVI6GR,RANNE BN SERVIGR,RERVICR,RN sRVICR,SERVICE,,,,,,,,
33,Diaeu,Diau,aeur  Ia,,,,,,,,,,,,,,
34,Yatan,VWatan,Outanir,iiaa,,,,,,,,,,,,,
35,r6ehauff,cehargea,gea,,,,,,,,,,,,,,
36,terse pei,"pei e
olle",quolle lo put,vollh,,,,,,,,,,,,,
37,t8te,auri,aur6,l'6curie,Isaure,,,,,,,,,,,,
38,Pierres-,truver Pierre,MIERR,id6o,"Pierres-
Folles",Saint-Pierre,,,,,,,,,,,
39,Comment dane,Comment,la somme,wss,Combin,,,,,,,,,,,,
40,ruisonnublo,ruison,ILo,,,,,,,,,,,,,,
41,io,Ia,,,,,,,,,,,,,,,
42,foiro,foid,mss,,,,,,,,,,,,,,
43,Vons,Gnl,vona,puvont pus,,,,,,,,,,,,,
44,porto,port6,So-,Ilsporta,Iort,ILaA,Mn,,,,,,,,,,
45,w,fiivre asi,vee A,pee  l sliit,mdecin,,,,,,,,,,,,
46,llle,fmllleg,Llle,,,,,,,,,,,,,,
47,hoir,choirs,bhoire,at,,,,,,,,,,,,,
48,Paris,prisr,Jappris,bris6,,,,,,,,,,,,,
49,rs-,rs-y adeee,trs-fort,,,,,,,,,,,,,,
50,Patito,PATI,bAtir,ar-0UAYTRIH PATIR,Ir,eoiffa,,,,,,,,,,,
51,Hautes-kloches,Tes,htes,jy,,,,,,,,,,,,,
52,-:t:=,aratt,P,paruatt,trouvara,farae do,oatt,ca,,,,,,,,,
53,iaes,maes,aesoueil,plaes,,,,,,,,,,,,,
54,vindre,approndre,repondre,east h prandre,c::BCONDB,,,,,,,,,,,,
55,uand,demand6,demandus  la maitress,uhe,,,,,,,,,,,,,
56,misbre,LL E,pribre,chbnevibre,,,,,,,,,,,,,
57,lembarras,tarrang,lomhnrras,Piarra,tarras,,,,,,,,,,,,
58,Solango,Solange,Sainte-Solange,sainte-Solange,Sainte-So-,,,,,,,,,,,,
59,noee,Prvt,"ge
noeux",troeuva,,,,,,,,,,,,,
60,Jos6-,pau,st Paul,suupauda,F,Aps,,,,,,,,,,,
61,present]110,v8pres,Apres,orue,,,,,,,,,,,,,
62,mdemoisells,diset east,mademoiselle,Mesdemoiselles,malemoiselle,,,,,,,,,,,,
63,therine,bl6,KEt Catherine,Ctherine,Catherina,pthers,eerivit,autherino garto,Cun-,,,,,,,,
64,Penduant,rendtt,aendurantae,d6fendu,entendro,,,,,,,,,,,,
65,honnos,bhonn,Poonnae,Etionnel,,,,,,,,,,,,,
66,sart,nePMIR PARTIR,Hautes-SEG0NDR PARTIB,TR0islM PARTIR,ATRIMIR PARTIR,nit do parlsr,srtir,,,,,,,,,,
67,"st tu prlers fisu
aveus",Save,lo truaversin,aveo,Aven,,,,,,,,,,,,
68,Jounne,Jeunne,launne,Junne,i unn,leunne,LiI,Iesnne,,,,,,,,,
69,Noug,noux,Nousla,er,cupes,,,,,,,,,,,,
70,.'Geeseeeeee,psgnsee,eonsere,,,,,,,,,,,,,,
71,miliau,humili6,tra humili6,,,,,,,,,,,,,,
72,vienne,Jennne,Etienne,mre Nnnnatto,lennneet,,,,,,,,,,,,
73,vutra,Notre Pere,Nutre,lautrl,maftre,,,,,,,,,,,,
74,Etianne,lann6e,lanne,Iaanne,champ de lanne,,,,,,,,,,,,
75,B,Lon,lon,,,,,,,,,,,,,,
76,19S,,,,,,,,,,,,,,,,
77,"I

L.

E","II

L
- E",mndme,mets-tei lh,cur,,,,,,,,,,,,
78,ohoso,ssir,quoiquil,uoiqu',,,,,,,,,,,,,
79,IUH,oes,aoes,auprh,,,,,,,,,,,,,
80,Nunnette,mre Nunnette,mbr Nunnette,mbre Nunnette,Nunnetto,"charit6 da
lua mbre Nunnetta",Nunnetta,Nunnatta,,,,,,,,,
81,ohigrin,ohagrin quon,ahagrin,Grind-Hail,ehagrin,ohagrin,hagrin,rin,,,,,,,,,
82,suita,quittee,eonluit avau une bgutte,linquitulo,tqui,,,,,,,,,,,,
83,evelui-lhf,luil,ehevet da,tmps-lh,,,,,,,,,,,,,
84,hourg,"bourg
- Elle",marhal du hourg,ourg,lez,Bourges,A,bourgt,labourenrs,,,,,,,,
85,lepre Iixiar,Iixisr,Tixiar,Iixiar,prte,matra Tixiar,,,,,,,,,,,
86,quelguo,quelquo,quelqe,Quelquofois,A quelqus temps,,,,,,,,,,,,
87,suf-JEANNR EPOLB EP MInE.,Jeanno,s3EANN,Jeanne.]ENANCI D JEANNH,Jeann,lJeanuet,betes3EANNR REN,Jeannel,JEANINR,,,,,,,,
88,plaft,TUlsIkMk 1ANII,ani-plaae,place,,,,,,,,,,,,,
89,je.ne,rn,faisais,jaurais,aisn,maisen,venais do,- Mtais,Iaisse,Vais,horuais,maisan,,,,,
90,travaillaer,"ontta puillo uu vot
uatte",d6barbouillait,surveillanee,Guillauma,Lo,milla,Guilluume,puillasse at une oouverture,,,,,,,,
91,eonnaissanee,meissan,nessa so puso,ruissau,lDieu,,,,,,,,,,,,
92,soignerai,oen voudraias pus,etablirai,rai,,,,,,,,,,,,,
93,BANNR,mhmeIBANKR VYtVE,Gerband,,,,,,,,,,,,,,
94,pltre,maltresse,maltre,,,,,,,,,,,,,,
95,Rt,bergbre,hargbr,bergbr,,,,,,,,,,,,,
96,leain pritun bton,Sylvain,Aini,ain,,,,,,,,,,,,,
97,Las-tu,cus,aid6,- Veux-tu,As-tu pens6,as-Rr,,,,,,,,,,,
98,Hlal,Grand-hlail,Grand-Hlail,OUB,Grand-Hal,N,Gruand-llail,,,,,,,,,,
99,h Diu,at sois bion,aie-noeus bion,bioen,Ionis,,,,,,,,,,,,
100,pas8e,f,Jo,ku pasaunt,- Pas,nest-oe pas,,,,,,,,,,,
101,allar,alle,alluma,fallt,,,,,,,,,,,,,
102,Vians,depurt,ost bian,IANNk,Eh bian,uu bisn lurl,,,,,,,,,,,
103,Agel,Nme,voyagek,envoy6,,,,,,,,,,,,,
104,Cost,Solungo aost li-bas,Solngo,,,,,,,,,,,,,,
105,quartier-lh,vtie,slietiee,,,,,,,,,,,,,,
106,veir,chneire,vire,eir,,,,,,,,,,,,,
107,d6rangeAt,vendange,Iange,Mange,iut,elange,,,,,,,,,,,
108,nnl,petitl,titsft,gaf,,,,,,,,,,,,,
109,i]1,N.,hl6,uo,,,,,,,,,,,,,
110,Nannette,Nannettoe,"mra
Nannatte",Nannetto,"mre
Nannette",Nannettel,mbr Nannette,Mannette,Nannettef,"mbre
Nannetto",nankin,Nannetteo,nettoyee,Mannette idsvant dngarensement,mare Mannette,"mbre
Nannette",Nannetts
111,e',maduama,manquAt,Maman,E,maman,II,eorps,,,,,,,,,
112,io m6-,cntimes,-F,coIme,,,,,,,,,,,,,
113,PRBMIIRRE,mari6,ARIIR,fortPRMIIRRE,,,,,,,,,,,,,
114,asast,Isanre,Ans,asans,san,dar asans rion,,,,,,,,,,,
115,"au-
troes",au-,"au-
trefois","au-
tres",fand tres,,,,,,,,,,,,
116,hamps,fumer tes champs.-,"Eh bionl js prendruais un de tss champs on
pnyemnent",Chamnnlhrs,,,,,,,,,,,,,
117,eana,femma da Gerbaud,d6pana da ux,"volonta da
Disu",murut,,,,,,,,,,,,
118,Iols,LI,,,,,,,,,,,,,,,
119,Eatce,Eat-ee,,,,,,,,,,,,,,,
120,puiaque,Phques,queiquo,Afrique,parceeque cest,Quen,,,,,,,,,,,
121,Pourquaoi,our6f,journe,hourse,our,Pourqquoi,bassoe-oourt,ourRIEMIR,,,,,,,,,
122,J',viwreP,,,,,,,,,,,,,,,
123,chbvrfauille,habill6e,Cala,ille anit ikee dei,Iailleurs,puille,Feuillet,ille,Mapuuvrefille,,,,,,,,
124,Madami,etj',"ur6f
- IDamel",madamel,lesameliorer,,,,,,,,,,,,
125,ileiuaseiur,rasenmmoda,ktii,l hraselst,,,,,,,,,,,,,
126,impossiblo,M,I S,,,,,,,,,,,,,,
127,Neunet-sur-,o6t6,Meunet,,,,,,,,,,,,,,
128,jy vasl,ly,de les lyer,bless6,lespsi,,,,,,,,,,,,
129,Mettez,ocette,tte,Mannstte,Cstte,,,,,,,,,,,,
130,"jaimerais mienx tre
leve",lJ,blmer,mero,reluamer,mereie,- Merei,,,,,,,,,,
131,PAHYTIk,Louiso,Louial,grdantlLouis,Louist,buis,louede,Louisjouissait,Iouis,Louisl,,,,,,,
132,Ieau,shAteau,ieau,bheaueoup,,,,,,,,,,,,,
133,nete,kI,tete,tetel,l etegeet,,,,,,,,,,,,
134,runie,meuniere,journie,vnie,airmonie,,,,,,,,,,,,
135,leglise,Colis,lisie,"pltisirquae
iai",djh,TN0IsIMIR,,,,,,,,,,,
136,Ir6chauderiel,"Is
I",u,dshir6,t0t tir6,,,,,,,,,,,,
137,ner  sua,Prinnerie,ner,Ilchu,,,,,,,,,,,,,
138,tta hussa at la,tta hussa,tta,,,,,,,,,,,,,,
139,Dn,uvece,couvertuire,,,,,,,,,,,,,,
140,leeturo de laete,RT MRRR,aa mMre,ort de sa mhro,,,,,,,,,,,,,
141,vaele,"meles don-
nezl",e,grele,cele,tomhee,LiEelE,,,,,,,,,,
142,voeus,beusg,leuseuse,,,,,,,,,,,,,,
143,pus,joeie,ipussoeiee,,,,,,,,,,,,,,
144,pise de terre,In terre,"-,J",Berry,terrOB,torro,,,,,,,,,,,
145,jugez-en l Jai,wtt,,,,,,,,,,,,,,,
146,oulture,st houl,Loule,voulao,voulea,ER,,,,,,,,,,,
147,provins,proat,In,proflt,propes,,,,,,,,,,,,
148,bont6,tto,montee,Dumiont,vinttn,stonttot,,,,,,,,,,,
149,pr6s,Lin nisu,monsisur,Monsisur,,,,,,,,,,,,,
150,Grise,grimuce,Grias,,,,,,,,,,,,,,
151,armoie,moitie,antre moiti6,pitir,moiti6,,,,,,,,,,,,
152,n6tsre Voyons,Mmie,pya-eit,ceu si e v-,,,,,,,,,,,,,
153,nuttre Tixior,Tixisr,"f
- Muattre Tixier",Mre Tixier,pre Iixier,"pre
Tixier",Muitre Tixer,pre ixier,pre Tixier,Tixier,,,,,,,
154,san mari,asyhine a san hrae,san nonrrimson,san ohupeau,raegut,san hrae,san viilage,,,,,,,,,,
155,mre Nanntte,mre Nainnette,mbre Nanaetts,mbre Nannetto,mra Nanntte,mbre Nannatte,mre Nannette,mbre Nannette,mre Nannett,mbre Nannetta,mre Nannette;A6,,,,,,
156,out,biioux,aecoutumee,L-,Iout,iout,Iouii,,,,,,,,,,
157,-C,klle,FLlE--,Klle,lshelle,Rlle,anfhntsl lle,eelle-lh,,,,,,,,,
158,"A

I
II1
I
----l","I

H
I
E","Ki
L
I
I
I
I
I","P
I
A.
N",depuia,,,,,,,,,,,,
159,aimais-tu,Vois-tu,Sais-tu,Crois-tu,,,,,,,,,,,,,
