cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156,elem_157,elem_158,elem_159,elem_160,elem_161,elem_162,elem_163,elem_164,elem_165,elem_166,elem_167,elem_168,elem_169,elem_170,elem_171,elem_172,elem_173,elem_174,elem_175,elem_176,elem_177,elem_178,elem_179,elem_180,elem_181,elem_182,elem_183,elem_184,elem_185,elem_186
-1,qul,lepre Iixiar,"IIl -
II",loanno,leain pritun bton,r6ehauff,"LHIII

II
 Sil
III",asast,exueto,armoie,Iois,uand,coffhe,LZ nnoi,"N
 I",suf-JEANNR EPOLB EP MInE.,payetra eomptant,"jaimerais mienx tre
leve",Louial,soignerai,"st tu prlers fisu
aveus",Ir6chauderiel,yeu eomma,TUlsIkMk 1ANII,oen voudraias pus,leeturo de laete,Cs,"mra
Nannatte",au-,BANNR,"E

E",qn',"ontta puillo uu vot
uatte",ehanvre ataltettohe pat tarre,Nme,ssir,Diau,NFaN B JIEANNR,grdantlLouis,eonnaissanee,touch6 do sa doueeur,pr6s,at sois bion,Cn,leanno,allar,or6-,grimuce,eeui,lean,"f
- Muattre Tixier",mre Nainnette,-F,o6t6,mbre Nanaetts,d6barbouillait,n6tsre Voyons,Iailleurs,bAtir,misbre,So-,jardin mpour,hestiaux,Grind-Hail,jaurais,east h prandre,pee  l sliit,ceher,pltre,foire proehaine,suita,Lin nisu,aharga do asun antratian,ly,iiaa,buas,quittee,evelui-lhf,la somme,eana,Prinnerie,ani-plaae,Tiier an,meissan,etablirai,lo truaversin,mhmeIBANKR VYtVE,aa mMre,rssouree,aie-noeus bion,pthers,biioux,bouher uno pibdeoe de,Solungo aost li-bas,Dn,lJ,Isaure,parceeque cest,eonluit avau une bgutte,san nonrrimson,i]1,de les lyer,mre Nnnnatto,jugez-en l Jai,rai,- Veux-tu,"volonta da
Disu",mbre Nannatte,nettoyee,ruissau,viwreP,nit do parlsr,L-,dtresse de eanne,bioen,linquitulo,uhe,"ii

I
I

II
E
E",vire,Mannette idsvant dngarensement,maisen,gaf,ktii,eourt grand risuo,"meles don-
nezl",sane uger,dshir6,lJeanuet,st houl,empecher,fallt,uvece,venais do,ort de sa mhro,nuho,pitir,lesameliorer,quolle lo put,Aehetez,- Mtais,labourenrs,wtt,chin,vinttn,ehevet da,tmps-lh,Solngo,la France,Grias,eoiffa,Gruand-llail,ceu si e v-,Remantranaes,Ilchu,c::BCONDB,"charit6 da
lua mbre Nunnetta","pltisirquae
iai",fand tres,reluamer,Grand Bil,Iesnne,autherino garto,mare Mannette,Poonnae,soupof,etle poreher,l etegeet,anfhntsl lle,Iaisse,oflloiar,- C,Bluanehe,I S,TN0IsIMIR,champ de lanne,Chasun,san viilage,maresta plush dannaer,du Cher,seeurit6l,uu bisn lurl,d6-,ourRIEMIR,Nunnatta,dangar,Laissons,--La jeunesse
0,G,-,e,N,''L,S,djh,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,f,I',a0,w,-:t:=,-C,e',E,B,19S,P,u,A,"-,J",SZR,F,Kn,M,N.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,etj',J',etJRANR APOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jy vasl,jy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,monsisur,Monsisur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,cumphre,got,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ees ides,nuudes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ambeniwsrez,jumbe,rembedes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ost bian,Cost,Eh bian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
