cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,huche,Fuuche,N.,Touches,,,,,,,,,,,,,,,
1,eana,Jeann,suf-JEANNR EPOLB EP MInE.,BANNR,Jeanno,Jeanne.]ENANCI D JEANNH,Jeannel,leanno,E,nnl,lJeanuet,s3EANN,JEANINR,betes3EANNR REN,,,,,
2,parlens,Cs,Tlens,nit do parlsr,paros,,,,,,,,,,,,,,
3,.'Geeseeeeee,psgnsee,vee A,eeui,rs-y adeee,tomhee,noee,,,,,,,,,,,,
4,Vons,eonsere,vona,n6tsre Voyons,,,,,,,,,,,,,,,
5,voulea,voulao,Loule,st houl,,,,,,,,,,,,,,,
6,Ieau,Mmie,ieau,bheaueoup,shAteau,,,,,,,,,,,,,,
7,Tes,htes,Hautes-kloches,,,,,,,,,,,,,,,,
8,at,Eat-ee,proat,aratt,oatt,Eatce,a0,paruatt,,,,,,,,,,,
9,ii,iiaa,Tiier an,"IIG

r",TUlsIkMk 1ANII,ktii,pee  l sliit,iaiis,Oii,"IIl -
II",II,"II

L
- E",fiivre asi,ARIIR,"ii

I
I

II
E
E",Iixisr,"LHIII

II
 Sil
III",LiI,PAIII
10,RN sERVICE,I S,SERVICE,RN SEVI6GR,RN sRVICR,serviee,RERVICR,RANNE BN SERVIGR,seule.3RANN RN SEVI6GR,,,,,,,,,,
11,Ieannef,Ieanne,Jaeanne,dtresse de eanne,Ieannel,lanne,Jane,Etianne,leanne,Iesnne,NFaN B JIEANNR,Ieanne vellle,Ieanno,Iaanne,avonslEANNE,,,,
12,voeus,aie-noeus bion,beusg,troeuva,leuseuse,t80,,,,,,,,,,,,,
13,Iaine,ain,foire proehaine,Sylvain,maine,mnains,Aini,leain pritun bton,B,,,,,,,,,,
14,Ormaeuux,Ormeuux,Ormenux,Ormaeuux aet san,,,,,,,,,,,,,,,
15,Mn,Kn,mndme,aumne,Chamnnlhrs,Amne,,,,,,,,,,,,,
16,Apres,Prvt,"puuvres
uo",pr6s,rest6e,v8pres,Aprs,present]110,Aps,,,,,,,,,,
17,ehaeun,aueun,Etehaeun,Etchaeun,r6ehauff,I,shaeune,gaeho,Chasun,,,,,,,,,,
18,klle,llle,Llle,Rlle,fmllleg,quolle lo put,FLlE--,Klle,LL E,anfhntsl lle,fallt,"pei e
olle",lshelle,eelle-lh,alluma,alle,,,
19,femma da Gerbaud,Gerband,d6pana da ux,,,,,,,,,,,,,,,,
20,nest-oe pas,nest-oe,,,,,,,,,,,,,,,,,
21,Comment,la somme,Commae,Comment dane,,,,,,,,,,,,,,,
22,vienne,Etienne,Etionnel,petitl,Jennne,lennneet,slietiee,,,,,,,,,,,,
23,milla,Guillauma,surveillanee,d6barbouillait,travaillaer,,,,,,,,,,,,,,
24,misbre,"pltisirquae
iai",Jappris,Is,uu bisn lurl,Colis,bris6,prisr,lisie,leglise,ruissau,"Is
I",buis,Ionis,Paris,diset east,Lin nisu,Grise,
25,propes,proflt,cupes,,,,,,,,,,,,,,,,
26,meissan,san ohupeau,san,san viilage,san mari,Panl,mhmeIBANKR VYtVE,sane uger,Isanre,san nonrrimson,,,,,,,,,
27,granle,east h prandre,rand-ail,Grand Bil,Grand-,"Grand-
Bail",Gruand-llail,Granil,Durand,Grand-Hal,e',rand-Bail,Grand-Hlail,eourt grand risuo,Grand-hlail,grange el,Grand-Bail,,
28,mdemoisells,malemoiselle,mademoiselle,Mesdemoiselles,djh,,,,,,,,,,,,,,
29,hamps,tmps-lh,champ de lanne,fumer tes champs.-,"Eh bionl js prendruais un de tss champs on
pnyemnent",,,,,,,,,,,,,,
30,lh,vollh,evelui-lhf,,,,,,,,,,,,,,,,
31,chbnevibre,pribre,,,,,,,,,,,,,,,,,
32,Muitre Tixer,"f
- Muattre Tixier",pre Tixier,"pre
Tixier",pre Iixier,Tixier,Mre Tixier,nuttre Tixior,pre ixier,N,,,,,,,,,
33,Nannettoe,Nannetts,"mbre
Nannette",Ls,"mra
Nannatte",Nannetteo,Nannette,mare Mannette,Nannettef,Nannetto,Mannette,Mannette idsvant dngarensement,Nannettel,"mre
Nannette","mbre
Nannetto",mbr Nannette,,,
34,pya-eit,suita,VWatan,Yatan,tane6,,,,,,,,,,,,,,
35,hoir,foiro,bhoire,choirs,nuho,,,,,,,,,,,,,,
36,Cn,cntimes,,,,,,,,,,,,,,,,,
37,ann6es,lann6e,,,,,,,,,,,,,,,,,
38,Saint-Jean,Saint-lean,Saint-Iean,"Saint-
Jean",,,,,,,,,,,,,,,
39,MIar-1h,quartier-lh,ar-,matiar-lh,Vars,,,,,,,,,,,,,,
40,Inourables d'Issoudun,Issoudun,Issouimn,psisso,soupof,Laissons,,,,,,,,,,,,,
41,stonttot,tto,tombsr,torro,wtt,exueto,nettoyee,,,,,,,,,,,,
42,du Cher,Cher,chsrcher,s6cher,Blancheo,empecher,19S,,,,,,,,,,,,
43,foree,A foree,eneore,,,,,,,,,,,,,,,,
44,plaes,ani-plaae,S,plaft,place,IJae,iaes,maes,,,,,,,,,,,
45,venais do,Na,Nai,Nai-j ps ma ur,nayor,eonnaissanee,,,,,,,,,,,,,
46,Cost,F,ost bian,Eh bian,Solungo aost li-bas,,,,,,,,,,,,,,
47,moisso,Sois,Iois,sois,- Vois,So-,at sois bion,,,,,,,,,,,,
48,lo truaversin,"st tu prlers fisu
aveus",avaeo,eorps,aveo,Eo0I,Save,Aven,,,,,,,,,,,
49,rembedes,nuudes,jumbe,ambeniwsrez,,,,,,,,,,,,,,,
50,nessa so puso,pus,cus,oen voudraias pus,pus to contraindro,puvont pus,ipussoeiee,,,,,,,,,,,,
51,I',oompte,pau y aompter,payetra eomptant,aoomnpter,,,,,,,,,,,,,,
52,Lo,bont6,"volonta da
Disu",lon,Lon,impossiblo,ihlo,,,,,,,,,,,,
53,l'6curie,Murgurite,aur6,auri,seeurit6l,,,,,,,,,,,,,,
54,voyes-ee,z Voyes,Voyez,soyes,yest,envoy6,,,,,,,,,,,,,
55,tta hussa,tta,qn',tta hussa at la,,,,,,,,,,,,,,,
56,Aprbs,aprbes,Aprbes,,,,,,,,,,,,,,,,
57,depuia,puiaque,depurt,,,,,,,,,,,,,,,,
58,marhal du hourg,f,ourg,"bourg
- Elle",hourg,Bourges,bourgt,,,,,,,,,,,,
59,PANTIk,Patito,PATI,ar-0UAYTRIH PATIR,bAtir,PAHYTIk,,,,,,,,,,,,,
60,asast,dar asans rion,asans,Ans,,,,,,,,,,,,,,,
61,Sainte-Solange,sainte-Solange,Sainte-So-,,,,,,,,,,,,,,,,
62,Ilsporta,port6,porto,o6t6,orue,,,,,,,,,,,,,,
63,"E

E",bouher uno pibdeoe de,terse pei,pise de terre,terrOB,ort de sa mhro,In terre,,,,,,,,,,,,
64,Gnl,eprgnee,gne,oampagne,gns,soignerai,ne170,,,,,,,,,,,,
65,Pourquaoi,cur,rssouree,hourse,labourenrs,journie,OUB,our6f,our,Pourqquoi,touch6 do sa doueeur,ourRIEMIR,journe,jardin mpour,murut,bassoe-oourt,,,
66,frthos,fr,la France,Afrique,oolfre,,,,,,,,,,,,,,
67,"ur6f
- IDamel",madamel,lesameliorer,Madami,,,,,,,,,,,,,,,
68,horuais,- Mtais,Vais,maisen,Iaisse,faisais,aisn,maisan,,,,,,,,,,,
69,Laprks,Laprks-midi,,,,,,,,,,,,,,,,,
70,sora,rai,jaurais,eontraire,etablirai,"jaimerais mienx tre
leve",,,,,,,,,,,,,
71,ohagrin,grimuce,ohagrin quon,ehagrin,hagrin,ahagrin,Grind-Hail,ohigrin,,,,,,,,,,,
72,rn,lJ,corn0s,daecord,,,,,,,,,,,,,,,
73,M,oes,ees ides,aoes,Haues-loehes,,,,,,,,,,,,,,
74,noux,Noug,Nousla,,,,,,,,,,,,,,,,
75,queiquo,Quelquofois,quelguo,parceeque cest,quelqe,Quen,A quelqus temps,qul,quelquo,Phques,SZR,uo,,,,,,,
76,l hraselst,raegut,asyhine a san hrae,san hrae,"N
 I",farae do,,,,,,,,,,,,,
77,grund,Grund-il,uund,,,,,,,,,,,,,,,,
78,rendtt,aendurantae,oinquanta,Penduant,uand,entendro,d6fendu,antndez,,,,,,,,,,,
79,G,humili6,miliau,tra humili6,LI,,,,,,,,,,,,,,
80,antre moiti6,moitie,moiti6,titsft,,,,,,,,,,,,,,,
81,hergra,herg,coffhe,uhe,Bluanehe,ehevet da,etle poreher,caeher,chereher,ceher,hereher,Maehere,,,,,,,
82,matra Tixiar,lepre Iixiar,Tixisr,Tixiar,Iixiar,i]1,,,,,,,,,,,,,
83,de les lyer,ly,"I

L.

E",,,,,,,,,,,,,,,,
84,aecoutumee,Iouii,Iout,out,iout,Outanir,biioux,,,,,,,,,,,,
85,dress6,bless6,lespsi,,,,,,,,,,,,,,,,
86,Poonnae,lunno,honnos,bhonn,ohoso,,,,,,,,,,,,,,
87,quoiquil,tqui,uoiqu',,,,,,,,,,,,,,,,
88,d6-,or6-,m6-,io m6-,,,,,,,,,,,,,,,
89,leunne,i unn,Junne,Jeuan,Jounne,Lejeun oolporteur,Lejeun,Meunet,Neunet-sur-,Jeunne,launne,--La jeunesse,je.ne,,,,,,
90,eerivit,Berry,ner,ner  sua,er,blmer,mero,ER,,,,,,,,,,,
91,mareh6 lo beurro,marehanderai,ehanvre ataltettohe pat tarre,mari6,marehand,chanvsre,maresta plush dannaer,,,,,,,,,,,,
92,aesoueil,ILaA,Ilt,ILo,IL,il6e-la,Ilchu,luil,Dail-,,,,,,,,,,
93,PRBMIIRRE,fortPRMIIRRE,,,,,,,,,,,,,,,,,
94,srtir,TN0IsIMIR,Hautes-SEG0NDR PARTIB,ATRIMIR PARTIR,TR0islM PARTIR,nePMIR PARTIR,,,,,,,,,,,,,
95,jy vasl,jy,,,,,,,,,,,,,,,,,
96,"I

H
I
E","A

I
II1
I
----l","P
I
A.
N","Ki
L
I
I
I
I
I",kI,,,,,,,,,,,,,,
97,Solngo,oola,Iange,Mange,elange,vendange,Solange,d6rangeAt,Solango,d6sola,,,,,,,,,
98,toil,moil,voil,Vois,Voilh,,,,,,,,,,,,,,
99,veines,lapeine,peino,,,,,,,,,,,,,,,,
100,e,-C,,,,,,,,,,,,,,,,,
101,Feuillet,ille anit ikee dei,chbvrfauille,Guilluume,Mapuuvrefille,ille,Iailleurs,habill6e,puille,,,,,,,,,,
102,airmonie,eir,ssir,veir,lir,-,Ir6chauderiel,pitir,dshir6,chneire,Ir,vire,t0t tir6,,,,,,
103,ceu si e v-,ommana,yeu eomma,Iu eompagnio,,,,,,,,,,,,,,,
104,se106,y10,,,,,,,,,,,,,,,,,
105,avunt,aharga do asun antratian,naftra,vutra,Muitra,ountra,Remantranaes,trouvara,llan'y rontrarapus,,,,,,,,,,
106,Nattre,mattresss,mattref A leglise,Mattresse,mattr Tixior,maftre,Mattre,Nutre,Notre Pere,,,,,,,,,,
107,Jos6-,joyeu,joeie,jolio,Jo,,,,,,,,,,,,,,
108,auprh,"-,J",st Paul,suupauda,paou,pau,lautrl,,,,,,,,,,,,
109,prte,Rt,couvertuire,sart,RT MRRR,,,,,,,,,,,,,,
110,mss,eNviee,sssvie,wss,,,,,,,,,,,,,,,
111,Hlal,valt,travalil,val,,,,,,,,,,,,,,,
112,hl6,bl6,,,,,,,,,,,,,,,,,
113,Tene,l etegeet,Aehetez,t8te,te0ors,montee,tete,leeturo de laete,mets-tei lh,nete,tetel,,,,,,,,
114,Isaure,oulture,lDieu,heura,eure,aeur  Ia,,,,,,,,,,,,,
115,mbr Nunnette,mre Nunnette,mbre Nunnette,Nunnetta,Nunnatta,Nunnetto,Nunnette,"charit6 da
lua mbre Nunnetta",,,,,,,,,,,
116,Ctharino,Catharine,Gatharine,,,,,,,,,,,,,,,,
117,got,dangar,gaf,egarde,gargon,,,,,,,,,,,,,,
118,maltresse,pltre,maltre,,,,,,,,,,,,,,,,
119,Narie,Ilordinarie,lordinuaire,L-,,,,,,,,,,,,,,,
120,lean,lean Jusserand,Jusserand,,,,,,,,,,,,,,,,
121,- Merei,Nme,reluamer,mereie,,,,,,,,,,,,,,,
122,Margue-,lorgueil,Mlurguerito,uerita,Muarguerito,,,,,,,,,,,,,,
123,h Diu,iut,ileiuaseiur,IUH,Iu,,,,,,,,,,,,,,
124,cehargea,voyagek,rige,gea,gene,gehns,jugez-en l Jai,"ge
noeux",ge,Agel,Gei-e-e,,,,,,,,
125,rs-,-F,trs-fort,,,,,,,,,,,,,,,,
126,foid,eoiffa,LZ nnoi,w,oi,armoie,coIme,,,,,,,,,,,,
127,Sais-tu,aimais-tu,As-tu pens6,Crois,Vois-tu,Las-tu,- Veux-tu,Crois-tu,,,,,,,,,,,
128,Louist,ruison,ruisonnublo,louede,grdantlLouis,Iouis,Louisjouissait,Louisl,Louial,Louiso,,,,,,,,,
129,''L,etj',etJRANR APOUSE,J',,,,,,,,,,,,,,,
130,grele,el,lez,LiEelE,uvece,"meles don-
nezl",vaele,cele,,,,,,,,,,,
131,Saint-Pierre,"Pierres-
Folles",MIERR,truver Pierre,Pierres-,,,,,,,,,,,,,,
132,Aidez,id6o,aid6,,,,,,,,,,,,,,,,
133,allar,puillasse at une oouverture,P,tlllas,ellae,buas,llas,,,,,,,,,,,,
134,u,Maia,maieo,"oette
maiaon",maiaon,,,,,,,,,,,,,,
135,Nannottat,loanno,Mannotte,Mannstte,,,,,,,,,,,,,,,
136,fand tres,A,au-,"au-
trefois","au-
tres","au-
troes",,,,,,,,,,,,,
137,demand6,maduama,manquAt,demandus  la maitress,Maman,maman,,,,,,,,,,,,,
138,- C,passunt,ku pasaunt,pas8e,- Pas,,,,,,,,,,,,,,
139,mbre Nannetta,mre Nanntte,mre Nannette;A6,mre Nannett,mbre Nanaetts,mbre Nannetto,mre Nainnette,mre Nnnnatto,mbre Nannette,mra Nanntte,mre Nannette,mbre Nannatte,aa mMre,,,,,,
140,vinttn,chin,Combin,Infin,Heinl,nankin,Josiphine,JiniiE:.A,provins,FIN,rin,linquitulo,In,Jasphino,Rnfin,,,,
141,Cun-,meuniere,vnie,runie,,,,,,,,,,,,,,,
142,quittee,"ontta puillo uu vot
uatte",ocette,Cstte,Mettez,eonluit avau une bgutte,tte,,,,,,,,,,,,
143,lomhnrras,rasenmmoda,tarrang,as-Rr,Piarra,tarras,lembarras,,,,,,,,,,,,
144,c::BCONDB,chvre,cumphre,viwreP,svre-le,approndre,repondre,vindre,,,,,,,,,,,
145,Vians,hardia,Diaeu,IA,Grias,Diau,oflloiar,hestiaux,Ia,IANNk,,,,,,,,,
146,pthers,Catherina,Prinnerie,Ctherine,autherino garto,therine,KEt Catherine,,,,,,,,,,,,
147,Cala,Dn,ca,Ca,,,,,,,,,,,,,,,
148,Dien,Iiens,Conviens,vtie,Tiens,,,,,,,,,,,,,,
149,monsisur,Monsisur,,,,,,,,,,,,,,,,,
150,anvio,Dumiont,Iols,io,Iort,Ioshine,bioen,Io,,,,,,,,,,,
151,-:t:=,mdecin,m6decins,m6deein,,,,,,,,,,,,,,,
152,hargbr,bergbre,bergbr,,,,,,,,,,,,,,,,
