cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,Las,Scrofula,Glasgow,las,La la,Lancashire,,,,,,,,,,,,,,,,,,,
1,MARKHAM,Harpy,Flamma,+ Markham,Markharn,Markhar,Mark~,Married Markham,Markhain,"Mark
ham",Marklam,Markham Plios,Murkhau,Markham,Refuge Markham,Leadenhall Market,Rich Markham’s,AMarkbam Place,Rice Markham,Markham Place,,,,,
2,ARLINGTON,Arlington London,Warrington,Remington,Newington,Warringtoa,Wellington,Arlington,Islington,Kensington,Mount Wellington,Aruington,Garlick,,,,,,,,,,,,
3,Lower,"Answer Wild
Clock",Lower Union,know-,elysian bower,Hollow,,,,,,,,,,,,,,,,,,,
4,barat,tara,Maikbatou,Sabbath,Barley,Kilbarn,Barracks,,,,,,,,,,,,,,,,,,
5,Black,"Deep
black",Blackheath,the Black Eagle,the Black Tower,Black Chamber,,,,,,,,,,,,,,,,,,,
6,GOLden,Sweden,Golden,Camden,"Golden
Lane",Golden Lane,,,,,,,,,,,,,,,,,,,
7,Laffeur,M3,Lageur,Laficur,,,,,,,,,,,,,,,,,,,,,
8,Monton,Dalston,Wanton,Wigginton,automaton,Girton,Montague,Edmonton,Beaumont,Jiaizon,Palmerston,Grafton,Tokenhonse,Pomberton,Melton,Pentonville,sont,"the
moon",Bosumont,Tagliont,Buton,Brixton,Maidstone,Armonia,
9,Cambridge,Id.,Cambridgeshire,Judges,Brummagem,Knightsbridge,,,,,,,,,,,,,,,,,,,
10,fort,Beaufort,norway,Effort,’—'For,Torkemdef,Norfolk,Misfortunes,Portsmouth,York,Tilbury Fort,ha'forth,Fort,Frankfort,Oxford,fortin,Port,,,,,,,,
11,Sea,M.P.,Seaton,"the Mediterranean

Sea",South-sea,the Dead Sea,"disease,—which",,,,,,,,,,,,,,,,,,
12,"the Holy Land,§","the Holy
Land",the Holy Land,the Happy Valley,Holland,I|,the Lackey Round,,,,,,,,,,,,,,,,,,
13,Manon,Normandy,Germany,oman,Bazzano,,,,,,,,,,,,,,,,,,,,
14,Havannah,Orphan,Hannah,£va,,,,,,,,,,,,,,,,,,,,,
15,England,langham,England for America,ENGLAND,Old England,Englishinen,Vandclenr,,,,,,,,,,,,,,,,,,
16,Butler,Scuttle,Butts,Bustle,,,,,,,,,,,,,,,,,,,,,
17,Coburg Gotha,Chatham,Hamourgh,Thames,Gotha,Sacha,Hate,Hamlin,,,,,,,,,,,,,,,,,
18,Newgate,New Caledonia,New,"the New
Road",Jew,New York,Newyate,New Itoad,NEW EPOCH,Newgute,,,,,,,,,,,,,,,
19,po,Pocket,post|,appoint~,Sopo,,,,,,,,,,,,,,,,,,,,
20,Harborough,Marlborough,Scarborough,Faugh,Haroorough,Borough,Cecilia Scarborough,Harborough to-day,Harborongh,,,,,,,,,,,,,,,,
21,SSSsSSSeSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,Essex,Masses,Tossed,&c.,Moss,Middlesex,Brussels,"presence,—I",Sussex,,,,,,,,,,,,,,,
22,Fobruary,Febraary,Brazil,Febivary,,,,,,,,,,,,,,,,,,,,,
23,"Kentish
Town",Kentish,Kentish Town,"Kentish

'",Aurentin,"Qavendish
Square",British Isles,,,,,,,,,,,,,,,,,,
