cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,Street,Flower Street,Bow Street,Smart Street,Curzon Street Chapel,"Piumptre
Street",Friar Street,Regent Street,West Street,King Street,Calthorpe Street,Ida Street,Whitecross Street,Jeemetries,"Jersey
Street",Oxford Street,Mecklenburgh Streets,St. John-street,High Street,Whiteoross Street,CATHERINE STREET,"Hamlin
Street",Gracechurch Street,Gerard Street
1,Cambridge,&c.,Knightsbridge,Id.,Judges,Camberwell,Cambridgeshire,,,,,,,,,,,,,,,,,
2,the East Winds,East,"the

 

 

 

   

    

 

 

 

 

  

 

 

 

  
  
 

 

 

   

 

 

Railway east",the East a few weeks ago,the East Indians,Windsor,,,,,,,,,,,,,,,,,,
3,"it,—I","low,—I",loaf:—it,"Pacific,—I","work,—it","it,—when","sir,—I",,,,,,,,,,,,,,,,,
4,Kentish,Aurentin,"Kentish
Town","Kentish

'",Kentish Town,British Isles,,,,,,,,,,,,,,,,,,
5,Us,Tuscany,Cause,US,Aus,Vesuvius,Venus,Gradus,Usiglio,Husband,Morpheus,us,indus,,,,,,,,,,,
6,Castelcicala,Castelicicala,telcicala,Castelricala,Casielcicala,Eustelicala,Calumny,Castel,Jastelcicala,Castolcicala,satiicaly,Custelcicala,Casteicicala,Castolcicalan,S$.,the State of Castelcicala,,,,,,,,
7,"the Old
Barley",the Old Very,Barley,,,,,,,,,,,,,,,,,,,,,
8,Santa-Croce,SANTA,Santa Croce,SANTA CARE,Scrofula,Santa-Croco,,,,,,,,,,,,,,,,,,
9,Villa,Rossville,Villabella,Villabeila,Paris Villages,Maria Villages,VILLA,Pentonville,,,,,,,,,,,,,,,,
10,Holmesiord,the Marquis of Holmesford,Holuesford,Stockholm,,,,,,,,,,,,,,,,,,,,
11,VERNON,Nevernave,Vernon la,Duvernay,Liberty Vernon,Veronezzi,Vernon,Vornon,,,,,,,,,,,,,,,,
12,earth,Earth,mart,Hearth,,,,,,,,,,,,,,,,,,,,
13,yonder corner,Cornwall,yonder grove,Derby,Borne,Corner,Yonder,,,,,,,,,,,,,,,,,
14,Quillotines,Ill,Cornhill,Lille,Snow Hill,Willows,Millbank,dunghills,Piccadilly,Bastille,Ill.,Ludgato Hill,Mill,il,qu’il,,,,,,,,,
15,Rottenborough,I|,Rottenborough Union,Rottenborpugh,Rotteuborough,ground:—to,Rottenbordugh,,,,,,,,,,,,,,,,,
16,Club,Clare Market,Clarke,Leadenhall Market,,,,,,,,,,,,,,,,,,,,
17,Saint James’s Park,Saint James’s,Hercules Passage,St. James’s Park,Saint James's,,,,,,,,,,,,,,,,,,,
18,Stephens,Stephen,Stepbens,phenix,Benstead,,,,,,,,,,,,,,,,,,,
19,Saint Gives's,St. Gives's,St. James's,"St, Gives",St. Gives’s,,,,,,,,,,,,,,,,,,,
20,Adelino,Adelaide,Adeline,Belinda,Madeira,Adolino,,,,,,,,,,,,,,,,,,
21,Aldgate,Ramsgate,ms’am,Margate,Teynbam,,,,,,,,,,,,,,,,,,,
22,asia,Asia,Gipsie,Circassia,Asia Minor,Russia,,,,,,,,,,,,,,,,,,
23,MARKHAM,Markhar,"Mark
ham",Murkhau,Marklam,Markham Place,Rich Markham’s,Markham,Markhain,Married Markham,Rice Markham,Mark~,Markham Plios,AMarkbam Place,Markharn,Refuge Markham,+ Markham,,,,,,,
24,Diana,"Diana,—I",Diab,,,,,,,,,,,,,,,,,,,,,
25,"the New
Road",Bay road,the New Cut,,,,,,,,,,,,,,,,,,,,,
26,barat,Kilbarn,Imperative,Barracks,tara,,,,,,,,,,,,,,,,,,,
27,Englishinen,Vandclenr,England for America,England,ENGLAND,Old England,,,,,,,,,,,,,,,,,,
28,Monton,Armonia,Edmonton,Wanton,M.P.,Bosumont,Maidstone,Richmond,Palmerston,Dalston,Tagliont,Montague,Brixton,Beaumont,sont,Wigginton,Girton,Grafton,,,,,,
29,Saint Theodosia,Saint Theodosla,St. Theodosia,,,,,,,,,,,,,,,,,,,,,
30,"you,—not","you,—if","bed,—not",,,,,,,,,,,,,,,,,,,,,
31,Normandy,Manon,know-,oman,Germany,Bazzano,,,,,,,,,,,,,,,,,,
32,Mr,M3,Mrs,MR,,,,,,,,,,,,,,,,,,,,
33,Arlington London,Arlington,Warrington,Mount Wellington,Garlick,ARLINGTON,Islington,Remington,Jostling,Kensington,Newington,Warringtoa,Wellington,Aruington,,,,,,,,,,
34,Regent,conte,Derwent,Content,Continent,Penitentiary,Central,Lament,Superintendent,Balcony,,,,,,,,,,,,,,
35,Chatham,Hate,Thames,Hamourgh,Sacha,,,,,,,,,,,,,,,,,,,
36,SSSsSSSeSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,Jossica,Moss,Tossed,,,,,,,,,,,,,,,,,,,,
37,St. David’s,St. David's,"Salt
David's",’s,"St, David’s",,,,,,,,,,,,,,,,,,,
38,York,Torkemdef,the Duke of York,New York,,,,,,,,,,,,,,,,,,,,
39,Portsmouth,"mouth,—oh",Glowiouth,New South,Southern Common,South-sea,New South Wales,Truth,South Pole,"New South
Wales",,,,,,,,,,,,,,
40,Frankfort,fort,Misfortunes,Beaufort,Norfolk,Tilbury Fort,ha'forth,Effort,’—'For,Port,fortin,Fort,,,,,,,,,,,,
41,St,St. Luke's,St.,St. Prick,"St.
Petersburg",St. Leger,St. Pancras,,,,,,,,,,,,,,,,,
42,Ieabelle,Jsabella,Tsabelia,Isavella,Isabeila,,,,,,,,,,,,,,,,,,,
43,the Happy Valley,Valley,£va,Talleyrand,,,,,,,,,,,,,,,,,,,,
44,Georgia,Georgian,Organ,,,,,,,,,,,,,,,,,,,,,
45,Madonnas,Babylon,"Lone
don",London,I.S.,Dandolo,LONDON,THE MY6SERIES OF LONDON,Egdon,london,Jiaizon,,,,,,,,,,,,,
46,Cherry,sherry.,"Cherry
Park",,,,,,,,,,,,,,,,,,,,,
47,Harborough,Marlborough,Harborough to-day,Cecilia Scarborough,Borough,Harborongh,No:—through,Scarborough,Haroorough,Faugh,Harpy,,,,,,,,,,,,,
48,Buton,Tommy,automaton,Malklatoun,Maikbatou,,,,,,,,,,,,,,,,,,,
49,Palate,Palace,"the Ball Room of Buckingham
Palace",,,,,,,,,,,,,,,,,,,,,
50,District,Illustrious,Austria,rotrievo,Sesostris,Australia,,,,,,,,,,,,,,,,,,
51,Northern Europe,the North Pole,Europe,norway,Opera,Western Europe,,,,,,,,,,,,,,,,,,
52,huge;piece,Cecilia,Ceciiia,"the

 

 

  

 

 

 

Cecilia","Lady
Cecilia",Cecili,Gecilia,,,,,,,,,,,,,,,,,
53,thou,methodist,Honour,house’—Thereupon,ourée,Soho,Hounslow,,,,,,,,,,,,,,,,,
54,side6,belvidere,Providence,Belvidere,,,,,,,,,,,,,,,,,,,,
55,agruff,Griffin,Coffin,,,,,,,,,,,,,,,,,,,,,
56,XX,XXII,,,,,,,,,,,,,,,,,,,,,,
57,Giltspur,"pursuits,—yes",Gilt-,,,,,,,,,,,,,,,,,,,,,
58,Morocco,Morrow,morocco,Morosino,Morocco Railway,S01,MOROCCO,,,,,,,,,,,,,,,,,
59,Wicks,the thick grove,Thick,his’n,thick-,"Thick Lane,§",,,,,,,,,,,,,,,,,,
60,Castle,Cast,CasrEzcroaza,"Castle
Ghichor",Bustle,,,,,,,,,,,,,,,,,,,
61,Terlizzi,Waterloo,the Waterloo Road,pater=,Waterford,Bayswater,,,,,,,,,,,,,,,,,,
62,Globo Town,Globe Town,Globo,Globe,Glove Town,n0,Yeiglod,,,,,,,,,,,,,,,,,
63,Break,BREAKFAST,Breakfast,Speak,,,,,,,,,,,,,,,,,,,,
64,Ellen,Hell,TELL,El'en,Isnhelia,Sellis,,,,,,,,,,,,,,,,,,
65,Appendia,West Indian,India,Ferdinand,Sardinia,Indicated,,,,,,,,,,,,,,,,,,
66,upat,paris,Hyde Park,Park,Dark,"Hyde
Park",Paradise,the Green Park,Parsonage,Parneseus,Paris,Pardon,,,,,,,,,,,,
67,lyre,Medway,Red,Redeemer,Secret,"protfered,—a",Refuge,Recorded,,,,,,,,,,,,,,,,
