cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,Cambridge,Knightsbridge,Judges,Cambridgeshire,S01,,,,,,,,,,,,,,,,,,
1,Portsmouth,"mouth,—oh",Glowiouth,Southern Common,South-sea,Truth,South Pole,,,,,,,,,,,,,,,,
2,Regent,Derwent,Lieges,I.S.,Regan,Geneva,MR,,,,,,,,,,,,,,,,
3,"wildly,—at","in,—a","Answer Wild
Clock",,,,,,,,,,,,,,,,,,,,
4,Kentish,Sopo,Aurentin,Penitentiary,"Kentish
Town","Kentish

'",Kentish Town,,,,,,,,,,,,,,,,
5,Castelcicala,Castelicicala,telcicala,Casielcicala,Eustelicala,Jastelcicala,Castolcicala,Custelcicala,Casteicicala,Castolcicalan,the State of Castelcicala,,,,,,,,,,,,
6,XX,"the Old
Barley",the Old Very,Barley,,,,,,,,,,,,,,,,,,,
7,huge;piece,deceasod,Refuge,,,,,,,,,,,,,,,,,,,,
8,the East Winds,East,"the

 

 

 

   

    

 

 

 

 

  

 

 

 

  
  
 

 

 

   

 

 

Railway east",the East a few weeks ago,the East Indians,,,,,,,,,,,,,,,,,,
9,VERNON,Nevernave,Vernon la,Duvernay,Liberty Vernon,Vernon,Vornon,,,,,,,,,,,,,,,,
10,River,Liverpool,Fever,Imperative,Lived,,,,,,,,,,,,,,,,,,
11,Dawson,Mute,Watson,Parsonage,sont,,,,,,,,,,,,,,,,,,
12,St. Luke's,St.,St. James's,St. Prick,St. Leger,St. Pancras,,,,,,,,,,,,,,,,,
13,Lorizontally,sa0et,Jiaizon,,,,,,,,,,,,,,,,,,,,
14,the West End,the West Strand,Egypt,the West Ideas,West End,the West End of London,The West End,,,,,,,,,,,,,,,,
15,Las,in'a,las,Glasgow,,,,,,,,,,,,,,,,,,,
16,District,Illustrious,Austria,Lis,Sesostris,,,,,,,,,,,,,,,,,,
17,Oxford,the Marquis of Holmesford,Holuesford,Stamford Stroot,Stamford,Recorded,,,,,,,,,,,,,,,,,
18,Quillotines,Ill,Lille,dunghills,Bastille,Ill.,Mill,,,,,,,,,,,,,,,,
19,Rottenborough,Rottenborough Union,Rottenborpugh,Rotterdam,Rotteuborough,Rottenbordugh,,,,,,,,,,,,,,,,,
20,Saint James’s Park,Saint James’s,St. James’s Park,Saint James's,,,,,,,,,,,,,,,,,,,
21,Stephens,queens,Stephen,Stepbens,phenix,El'en,,,,,,,,,,,,,,,,,
22,&c.,SSSsSSSeSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,Masses,Essex,,,,,,,,,,,,,,,,,,,
23,nile,Old Bailey,Vile,Smile-,,,,,,,,,,,,,,,,,,,
24,Adelino,Adelaide,Adeline,Belinda,Madeira,Adolino,,,,,,,,,,,,,,,,,
25,Aldgate,Ramsgate,Hate,Margate,Newgate,Mule,S$.,,,,,,,,,,,,,,,,
26,"inmates,—a","pursuits,—yes",Esq,Ne,,,,,,,,,,,,,,,,,,,
27,MARKHAM,Markhar,Murkhau,Tommy,Markham Place,Rich Markham’s,Markham,Markhain,Married Markham,Rice Markham,Markham Plios,Markharn,Refuge Markham,+ Markham,,,,,,,,,
28,Diana,"Diana,—I",po,Diab,,,,,,,,,,,,,,,,,,,
29,"daughter,—to","monster,—I","her,—she","her,—to","Jupiter,—Leda",Faugh,,,,,,,,,,,,,,,,,
30,Morocco,Giltspur,morocco,Morocco Railway,MOROCCO,,,,,,,,,,,,,,,,,,
31,asia,Asia,loaf:—it,Circassia,Asia Minor,Russia,,,,,,,,,,,,,,,,,
32,Globo Town,Camden Town,Globe Town,Globo,Globe,Glove Town,Short Town,Yeiglod,Somers Town,,,,,,,,,,,,,,
33,"the New
Road",the North Pole,Bay road,Mrs,the New Cut,,,,,,,,,,,,,,,,,,
34,does’t,XXII,bees’-win,il,,,,,,,,,,,,,,,,,,,
35,barat,Kilbarn,Rattlosnake,tara,,,,,,,,,,,,,,,,,,,
36,Englishinen,England for America,England,ENGLAND,Laficur,Old England,,,,,,,,,,,,,,,,,
37,Saint Theodosia,Saint Theodosla,St. Theodosia,’s,,,,,,,,,,,,,,,,,,,
38,Manon,oman,Germany,Bazzano,,,,,,,,,,,,,,,,,,,
39,Banks,nisatbanar San,flank,Millbank,Husband,,,,,,,,,,,,,,,,,,
40,Wooleut,Woolwich,Murmur,Wooloomooloo,,,,,,,,,,,,,,,,,,,
41,conte,Content,Continent,Superintendent,Balcony,,,,,,,,,,,,,,,,,,
42,TuRN,Picture,Lewed,Turn,,,,,,,,,,,,,,,,,,,
43,Quad-,"Qavendish
Square",Quakers,,,,,,,,,,,,,,,,,,,,
44,Jossica,Moss,Tossed,,,,,,,,,,,,,,,,,,,,
45,France,wrang,FRANCE,france,,,,,,,,,,,,,,,,,,,
46,Morbid,Morrow,Morosino,Tremordyns,Morpheus,Morcar,,,,,,,,,,,,,,,,,
47,Cause,Aus,Yes:—in,,,,,,,,,,,,,,,,,,,,
48,yonder grove,Yonder,Prove-,,,,,,,,,,,,,,,,,,,,
49,Ieabelle,Jsabella,Tsabelia,Isabeila,,,,,,,,,,,,,,,,,,,
50,the Isle of Man,British Isles,the Emerald Isle,the Duke of York,,,,,,,,,,,,,,,,,,,
51,the Happy Valley,Valley,Talleyrand,Buckley,Soho,,,,,,,,,,,,,,,,,,
52,Georgia,Georgian,Organ,DUNGEON,,,,,,,,,,,,,,,,,,,
53,Gipsie,"him,—and","theatre,—an",me;’—and,"writing,—and","behind,—and","man,”—and","her,—and","account,’—And","joy,—and","wear,—and",kind;—and,"fault,—an",,,,,,,,,,
54,Cherry,sherry.,"Cherry
Park",,,,,,,,,,,,,,,,,,,,
55,"it,—I","low,—I","you,—if","Pacific,—I","work,—it","sir,—I",,,,,,,,,,,,,,,,,
56,Harborough,Marlborough,Harborough to-day,Cecilia Scarborough,Borough,Harborongh,No:—through,Scarborough,Haroorough,,,,,,,,,,,,,,
57,"Cape
Horn",Cape,Cape Horn,,,,,,,,,,,,,,,,,,,,
58,Jew,Frankfort,fort,Misfortunes,Beaufort,ne,Tilbury Fort,ha'forth,Effort,’—'For,Port,fortin,Fort,,,,,,,,,,
59,US,Palate,Palace,inn,"the Ball Room of Buckingham
Palace",,,,,,,,,,,,,,,,,,
60,Cecilia,Ceciiia,"the

 

 

  

 

 

 

Cecilia","Lady
Cecilia",Cecili,Gecilia,,,,,,,,,,,,,,,,,
61,Rochefoucauld,Wouldn,Teould,,,,,,,,,,,,,,,,,,,,
62,thou,methodist,Hounslow,,,,,,,,,,,,,,,,,,,,
63,side6,belvidere,Derby,Le,Belvidere,,,,,,,,,,,,,,,,,,
64,"devised,—he","you,—not","bed,—not","protfered,—a",,,,,,,,,,,,,,,,,,,
65,Imagine,Legino,was’t,Leg,,,,,,,,,,,,,,,,,,,
66,Street,Flower Street,Bow Street,Smart Street,Curzon Street Chapel,"Piumptre
Street",Friar Street,Regent Street,West Street,King Street,Calthorpe Street,Ida Street,Whitecross Street,"Jersey
Street",Oxford Street,Mecklenburgh Streets,St. John-street,High Street,Whiteoross Street,CATHERINE STREET,"Hamlin
Street",Gracechurch Street,Gerard Street
67,Brummagem,Brussels,Joosely,Sussex,,,,,,,,,,,,,,,,,,,
68,the thick grove,Thick,thick-,,,,,,,,,,,,,,,,,,,,
69,Castle,Cast,Limb,CasrEzcroaza,"Castle
Ghichor",Bustle,,,,,,,,,,,,,,,,,
70,Northampton,Thames,Brompton,Soethampton,Southampton,,,,,,,,,,,,,,,,,,
71,Club,Jects,Id.,NEED,Resur,"the Resurrection
Map",Surrey,"reflections,—or","the Resurrection
Man",,,,,,,,,,,,,,
72,Ellen,Hell,TELL,Camberwell,Isavella,Sellis,,,,,,,,,,,,,,,,,
73,Appendia,West Indian,India,Indicated,,,,,,,,,,,,,,,,,,,
74,paris,Hyde Park,Park,Dark,"Hyde
Park",Clarke,Paris,Pardon,,,,,,,,,,,,,,,
75,Red,Redeemer,,,,,,,,,,,,,,,,,,,,,
76,Honour,Hamourgh,ourée,,,,,,,,,,,,,,,,,,,,
77,euch,Cingani,Cinganl,Say,,,,,,,,,,,,,,,,,,,
78,ELIZA SYDNEY,Standard Sydney,Sydney,Pliza Sydney,Eliza Sydney,,,,,,,,,,,,,,,,,,
79,Tokenhonse,Pakenham,Twickenham,Tottenham,,,,,,,,,,,,,,,,,,,
80,Whittinghs,Wapping,Tinge,Trotting,Hastings,Keeping,,,,,,,,,,,,,,,,,
81,Kingdom,the united kingdom,the United Kingdom,United Kingdom,,,,,,,,,,,,,,,,,,,
82,Wanton,Wigginton,Dr,Pentonville,Levante,,,,,,,,,,,,,,,,,,
83,"danger,—when","it,—when","disease,—which",,,,,,,,,,,,,,,,,,,,
84,Strong Hill,Strong,trois,Byron,qu’il,,,,,,,,,,,,,,,,,,
85,I'Do,tothe Lobster Tavern,The Lobster Tavern,the Lombardy Arms,,,,,,,,,,,,,,,,,,,
86,Emotion,"affectation,—in",Motion,Motion;—and,Li,Mention,Left Emotion,EMOTION,Motion Old Town,,,,,,,,,,,,,,
87,deep wales,Wales,the Prince of Wales,Bird-Cage Walk,,,,,,,,,,,,,,,,,,,
88,Drury Lane,Brick Lane,Brick-lane,La la,"Thick Lane,§",,,,,,,,,,,,,,,,,,
89,Naples,Temple,Holes,Bibles,Hercules Passage,NAPLES,Snoggles,,,,,,,,,,,,,,,,
90,Field Oflicer,Fields,Spitalfields,Field,Sheffield,Titchfield,Field Mar,,,,,,,,,,,,,,,,
91,Mr,I|,Staffordshi,Stafford,Staffordshire,,,,,,,,,,,,,,,,,,
92,Learned Island,"Philip
Island",the South Sea Islands,Philip Island,Island,the British Islands,Norfolk Island,Slaek,"Inscoessible
Islands",,,,,,,,,,,,,,
93,yonder corner,Cornwall,Cornhill,Borne,Corner,,,,,,,,,,,,,,,,,,
94,Holmesiord,Pocket,Stockholm,,,,,,,,,,,,,,,,,,,,
95,Journey Nereuerm Italy,Italy,Capital,crystal,Soap,unsucceafaly,,,,,,,,,,,,,,,,,
