cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0.0,Las,Glasgow,las,,,,,,,,,,,,,,,,,,
1.0,MARKHAM,+ Markham,Markharn,Markhar,Married Markham,Markhain,Markham Plios,Markham,Refuge Markham,Rich Markham’s,Rice Markham,Markham Place,,,,,,,,,
2.0,Giltspur,Gilt-,,,,,,,,,,,,,,,,,,,
3.0,Soethampton,Northampton,Thames,Brompton,Southampton,,,,,,,,,,,,,,,,
4.0,Myriad,Syria,Victoria,,,,,,,,,,,,,,,,,,
5.0,ARLINGTON,Arlington London,Jostling,Wellington,Arlington,Islington,Mount Wellington,Garlick,,,,,,,,,,,,,
6.0,Lower,Lower Union,elysian bower,the Tower Hamlets,,,,,,,,,,,,,,,,,
7.0,barat,tara,Paradise,,,,,,,,,,,,,,,,,,
8.0,handkerchiefs,Orphan,Church,Hands,Yehiete,,,,,,,,,,,,,,,,
9.0,Black,"Deep
black",Blackheath,the Black Eagle,the Black Tower,Black Chamber,Lilac,,,,,,,,,,,,,,
10.0,Imperative,Opera,Bacon Rupert,,,,,,,,,,,,,,,,,,
11.0,GOLden,Golden,"Golden
Lane",Golden Lane,,,,,,,,,,,,,,,,,
12.0,the aforesaid province,Vinciblo,Prove-,Providence,,,,,,,,,,,,,,,,,
13.0,Cambridge,Cambridgeshire,Knightsbridge,,,,,,,,,,,,,,,,,,
14.0,fort,Beaufort,Effort,’—'For,Misfortunes,Tilbury Fort,ha'forth,Fort,Frankfort,fortin,,,,,,,,,,,
15.0,East,the East a few weeks ago,the Emerald Isle,the East Winds,the East Indians,"the

 

 

 

   

    

 

 

 

 

  

 

 

 

  
  
 

 

 

   

 

 

Railway east",,,,,,,,,,,,,,,
16.0,"the Holy Land,§","the Holy
Land",the Holy Land,,,,,,,,,,,,,,,,,,
17.0,Dalston,Stockholm,Palmerston,Grafton,Stout,Brixton,Maidstone,,,,,,,,,,,,,,
18.0,Aldgate,Newgate,New,Ramsgate,Newyate,Newgute,Margate,,,,,,,,,,,,,,
19.0,Manon,Germany,oman,Bazzano,,,,,,,,,,,,,,,,,
20.0,Somers Town,Globo Town,Globe,Glove Town,Short Town,Globe Town,Globo,,,,,,,,,,,,,,
21.0,Sweden,Lewed,dresden,,,,,,,,,,,,,,,,,,
22.0,France,france,FRANCE,,,,,,,,,,,,,,,,,,
23.0,Havannah,Levante,Hannah,,,,,,,,,,,,,,,,,,
24.0,England,ENGLAND,Old England,Englishinen,,,,,,,,,,,,,,,,,
25.0,Wicks,Twickenham,Pocket,Tokenhonse,Pakenham,Tottenham,,,,,,,,,,,,,,,
26.0,SSSsSSSeSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,Essex,Masses,,,,,,,,,,,,,,,,,,
27.0,No:—through,Harborough,Marlborough,Scarborough,Haroorough,Borough,Cecilia Scarborough,Harborough to-day,Harborongh,,,,,,,,,,,,
28.0,Brick Lane,"Thick Lane,§",La la,Lane,Brick-lane,,,,,,,,,,,,,,,,
29.0,Murmur,Murkhau,,,,,,,,,,,,,,,,,,,
30.0,Hare,Harpy,Harriet,Charlotte,,,,,,,,,,,,,,,,,
31.0,norway,Normandy,Norfolk,Medway,,,,,,,,,,,,,,,,,
32.0,rotrievo,Jeemetries,Iwroteto,,,,,,,,,,,,,,,,,,
33.0,langham,Birmingham,Hamlin,wrang,,,,,,,,,,,,,,,,,
34.0,"s0-
city",City,Vanity,splendours city,City-,mighty city,,,,,,,,,,,,,,,
35.0,Westminster,Westminster Abbey,Kidderminster,Benstead,,,,,,,,,,,,,,,,,
36.0,Flairer,Flamma,Lament,flank,Brummagem,,,,,,,,,,,,,,,,
37.0,Yes:—in,"pursuits,—yes",loaf:—it,,,,,,,,,,,,,,,,,,
38.0,Fobruary,Labrador,Febraary,Brazil,Febivary,,,,,,,,,,,,,,,,
39.0,Scrofula,scribabie,CasrEzcroaza,,,,,,,,,,,,,,,,,,
40.0,Babylon,"Lone
don",swan,"wi
dor",One'of,,,,,,,,,,,,,,,,
