cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
0,Ma1tine,cestàpeine,"pas
dérmgæœæecäosedivinequiétätsæmp£ed",Aussitôt,m’étaitinœnnu,l‘a,nart(1,Martine,Augustine,,,,,,,,,,,,,,,,,,
1,Vois,Sois,dix—neuf,ri Deslois,hurle—,reve—,"13

Parfois",—:-‘,Deslois,.-J.‘u,,,,,,,,,,,,,,,,,
2,tournai,cmmn,ourhis,tour—,nour—,grand your,J,nourri—,Pourt‘aﬁt,,,,,,,,,,,,,,,,,,
3,conﬁance,recon—,aœut,annon—,répon—,É,rencon—,Chicon,So—,,,,,,,,,,,,,,,,,,
4,com,jusqu’,horpmos,commu—,Communs,comette,,,,,,,,,,,,,,,,,,,,,
5,bobo,quan—,gran—,—- Voyons,chan—,regar—,blan—,,,,,,,,,,,,,,,,,,,,
6,mademoiselle,W’,puiselle,Es-tu folle,poche;elle,—elle,,,,,,,,,,,,,,,,,,,,,
7,"Marie—
Annee",bæucoup,Marie—,SO MARIE—,onne,,,,,,,,,,,,,,,,,,,,,,
8,traînéæ transparents,traî—,"traî—
nant",æuva,entralna,,,,,,,,,,,,,,,,,,,,,,
9,.:;‘J,Orgueﬁleuse,Elkreùtvæsmä,,,,,,,,,,,,,,,,,,,,,,,,
10,Vierge,Châtaigniers,L’,Hier,vnie,décro—,,,,,,,,,,,,,,,,,,,,,
11,Sainte—Montagne,Tes,Saintes Huiles,Maintenant,a—,laSainte Table,teintes chan—,Sainte-Montagne,‘“-,,,,,,,,,,,,,,,,,,
12,Ahñnﬁpæditpadenœetseœdt‘eæaendiæﬂ,Es-tu malade,fc,largœ,,,,,,,,,,,,,,,,,,,,,,,
13,Désirée-des-Anges,brindülæ,Désirée—des-Anges,Désirée,Désirée—des—Anges,dési—,.—.—.___‘4-4,üyadægædæmæpoæra—,Dosirée—des-Anges,des-Anges,Anges,,,,,,,,,,,,,,,,
14,Prends,.—œ_—=-o—,repren—,rensei—,,,,,,,,,,,,,,,,,,,,,,,
15,i’,créa—,®hwÿeœäxwàmmmduvükdthiæge,,,,,,,,,,,,,,,,,,,,,,,,
16,m’,j’,n—,indiffé—,rir,,,,,,,,,,,,,,,,,,,,,,
17,qu’,Ils’,nam,q]e,trem—,,,,,,,,,,,,,,,,,,,,,,
18,ﬂanœ,Tiens,bien—,Ien',Combien,miens,Dæuwwiouœ,Mlle Maximilienne,,,,,,,,,,,,,,,,,,,
19,Mélanie,La grosse,Lg-h.,Méla-,grosse Mélanie,ﬁnesse,La grosse Mélanie,Méanie,J’,,,,,,,,,,,,,,,,,,
20,Saint-Jean,Saint—Jean,Ie,La Saint-Jean,l’,Saint—Iean,,,,,,,,,,,,,,,,,,,,,
21,approdhæ d‘oilè,appro—,Bel-Œil,appré—,m”.-$‘.wæw-&,mam,Eh,,,,,,,,,,,,,,,,,,,,
22,Marie.—Aimée,Aimée,Marie—Aimée,Sœur Marie-Aimée lavit,,,,,,,,,,,,,,,,,,,,,,,
23,Brabant,Santons,,,,,,,,,,,,,,,,,,,,,,,,,
24,n’,"«,-_-",È:.l,—-ü,,,,,,,,,,,,,,,,,,,,,,,
25,Iesecouai,mägréungﬂnd,Jour,Journée,Jours,Gaboret,,,,,,,,,,,,,,,,,,,,,
26,44 MARIE—CLAIRE,voﬂà,Marie—Claire,24 MARIE—CLAIRE,MARIE—CLAIRE 89,120 MARIE—CLAIRE,Eﬂerua,30 MARIE—CLAIRE,atæsi,"MARIE—CLAIRE

Maintenant",28 MARIE—CLAIRE,36 MARIE—CLAIRE,54 MARIE—CLAIRE,20 MARIE—CLAIRE,106 MARIE—CLAIRE,48 MARIE—CLAIRE,MARIE-CLAIRE,MARIE—CLAIRE,notre Marie-Claire,IO MARIE—CLAIRE,100 MARIE—CLAIRE,Marie—Claim,40 MARIE—CLAIRE,102 MARIE—CLAIRE,Tireli,"MARIE—CLAIRE 99

Pâques",8 MARIE—CLAIRE
27,l.lwl\n.vîtl‘l,Tunesäspeut,Jeune,Jaune,Pauvre,"Mﬂh=,mua—,—-",alluma,,,,,,,,,,,,,,,,,,,,
28,conﬁer,.-—v,puriﬁer,chauﬁer,"…-

w.—.—u—-",funﬁer,,,,,,,,,,,,,,,,,,,,,
29,Elk www,inﬂiger,é101gna,trous—,,,,,,,,,,,,,,,,,,,,,,,
30,ﬁnit,,,,,,,,,,,,,,,,,,,,,,,,,,
31,urai,beau—,i‘eqaë‘rais,._,Iesouﬁraisbeau—,,,,,,,,,,,,,,,,,,,,,,
32,château du Gué Perdu,Gué Perdu,"Gué-
Perdu",Douze,"Gué
Per u.

La petite rivière",Uninsœnt,"Gué
Per u.",,,,,,,,,,,,,,,,,,,,
33,expri—,intri—,,,,,,,,,,,,,,,,,,,,,,,,,
34,Dfaçon,M7jd—:A,lors—,s’,Psadzxyt,mnt,suﬁt,,,,,,,,,,,,,,,,,,,,
