cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
0,Vois,voﬂà,Sois,ri Deslois,Deslois,Voilà,,,,,,,,,,,,,,,,,,,,
1,Quelque,queie,jusqu’,Quelquefois,qu’,Quelquefoîs,ques—,,,,,,,,,,,,,,,,,,,
2,Sainte—Montagne,laSainte Table,Santons,Sainte-Montagne,,,,,,,,,,,,,,,,,,,,,,
3,cmmn,Bﬂcmät,®hwÿeœäxwàmmmduvükdthiæge,mnt,‘“-,,,,,,,,,,,,,,,,,,,,,
4,trou—,labou—,trous—,vou—,Rouge,,,,,,,,,,,,,,,,,,,,,
5,porte n’,n’,,,,,,,,,,,,,,,,,,,,,,,,
6,com,bæucoup,Rome,Combien,commu—,Communs,Cobtœ,comette,,,,,,,,,,,,,,,,,,
7,Tes,Saintes Huiles,ﬁnesse,teintes chan—,,,,,,,,,,,,,,,,,,,,,,
8,Vierge,lingerie,Geneviève,bergüe€,inﬂiger,,,,,,,,,,,,,,,,,,,,,
9,W’,,,,,,,,,,,,,,,,,,,,,,,,,
10,.:;‘J,mademoiselle,puiselle,Elk www,poche;elle,buis,—elle,,,,,,,,,,,,,,,,,,,
11,Orgueﬁleuse,I',leuse,,,,,,,,,,,,,,,,,,,,,,,
12,L’,l’,,,,,,,,,,,,,,,,,,,,,,,,
13,approdhæ d‘oilè,appro—,appré—,jy,.,So—,décro—,,,,,,,,,,,,,,,,,,,
14,manche,la Blanche,Chemineau la Bête,la manche,la terre,blan—,,,,,,,,,,,,,,,,,,,,
15,Désirée-des-Anges,Es-tu malade,Désirée—des-Anges,Désirée,Désirée—des—Anges,Dosirée—des-Anges,des-Anges,Anges,,,,,,,,,,,,,,,,,,
16,Saint-Jean,Saint—Jean,La Saint-Jean,Psadzxyt,Saint—Iean,,,,,,,,,,,,,,,,,,,,,
17,a—,créa—,üyadægædæmæpoæra—,"Mﬂh=,mua—,—-",sépa—,,,,,,,,,,,,,,,,,,,,,
18,conﬁance,conﬁer,Chicon,puriﬁer,funﬁer,,,,,,,,,,,,,,,,,,,,,
19,mum-am 75,"mum-am 75

Le vacher",æuva,vachœ,A,,,,,,,,,,,,,,,,,,,,,
20,Tunesäspeut,dix—neuf,Eugène,Jeune,mägréungﬂnd,Jaune,,,,,,,,,,,,,,,,,,,,
21,É,M7jd—:A,—:-‘,,,,,,,,,,,,,,,,,,,,,,,
22,"«,-_-",i’,I’,,,,,,,,,,,,,,,,,,,,,,,
23,Eﬂerua,rappelez—,jappe,ﬁxer,aper—,ser—,lesfermer,,,,,,,,,,,,,,,,,,,
24,traînéæ transparents,traî—,"traî—
nant",entralna,,,,,,,,,,,,,,,,,,,,,,
25,Ismé-,Ismérie,supérieure,Ismétie,,,,,,,,,,,,,,,,,,,,,,
26,quan—,ﬂanœ,Brabant,gran—,de France,grand your,chan—,n—,Tirande,,,,,,,,,,,,,,,,,
27,heur—,tour—,nour—,noux,nourri—,,,,,,,,,,,,,,,,,,,,,
28,"ñuﬂnlnnil

.‘l",Bel-Œil,s’,Ils’,,,,,,,,,,,,,,,,,,,,,,
29,m’,m’étaitinœnnu,ﬁnit,,,,,,,,,,,,,,,,,,,,,,,
30,.—œ_—=-o—,.—.—.___‘4-4,._,"…-

w.—.—u—-",Eh,._.kn__.,,,,,,,,,,,,,,,,,,,,
31,Mélanie,La grosse,Méla-,grosse Mélanie,La grosse Mélanie,,,,,,,,,,,,,,,,,,,,,
32,Laisse,A demain,Iosentais,urai,Sylvain,E,restais,lais—,aimais,iävais,i‘eqaë‘rais,æsayai,croyais,main—,,,,,,,,,,,,
33,.-—v,.-J.‘u,m”.-$‘.wæw-&,,,,,,,,,,,,,,,,,,,,,,,
34,recon—,peure—,reve—,Prends,rencon—,repren—,Pauvre,Elkreùtvæsmä,repous—,J,rensei—,Tireli,trem—,,,,,,,,,,,,,
35,j’,J’,,,,,,,,,,,,,,,,,,,,,,,,
36,Am&ntiem’,fc,Tiens,Ien',Méanie,Hier,Ie,miens,vnie,q]e,,,,,,,,,,,,,,,,
37,engage—,gagea,agenouülée,,,,,,,,,,,,,,,,,,,,,,,
38,tournai,hurle—,ourhis,Jour,Douze,Journée,Jours,Dæuwwiouœ,Pourt‘aﬁt,,,,,,,,,,,,,,,,,
39,44 MARIE—CLAIRE,Marie—Claire,24 MARIE—CLAIRE,MARIE—CLAIRE 89,120 MARIE—CLAIRE,30 MARIE—CLAIRE,remarquai,"MARIE—CLAIRE

Maintenant",28 MARIE—CLAIRE,36 MARIE—CLAIRE,54 MARIE—CLAIRE,20 MARIE—CLAIRE,106 MARIE—CLAIRE,48 MARIE—CLAIRE,MARIE-CLAIRE,MARIE—CLAIRE,notre Marie-Claire,IO MARIE—CLAIRE,100 MARIE—CLAIRE,Marie—Claim,40 MARIE—CLAIRE,largœ,102 MARIE—CLAIRE,rir,"MARIE—CLAIRE 99

Pâques",8 MARIE—CLAIRE
40,l.lwl\n.vîtl‘l,qu‘au,I,l‘a,,,,,,,,,,,,,,,,,,,,,,
41,arrê—,aœut,"13

Parfois",Paris,appar—,par-,,,,,,,,,,,,,,,,,,,,
42,Dfaçon,annon—,répon—,long—,onne,connais—,.ne,,,,,,,,,,,,,,,,,,,
43,château du Gué Perdu,Gué Perdu,"Gué-
Perdu","Gué
Per u.

La petite rivière","Gué
Per u.",,,,,,,,,,,,,,,,,,,,,
44,Iesecouai,beau—,Iesouﬁraisbeau—,d’,suﬁt,,,,,,,,,,,,,,,,,,,,,
45,"Marie—
Annee",Marie—,SO MARIE—,Marie.—Aimée,Aimée,Marie—Aimée,Sœur Marie-Aimée lavit,,,,,,,,,,,,,,,,,,,
46,Ma1tine,cestàpeine,"pas
dérmgæœæecäosedivinequiétätsæmp£ed",nart(1,Martine,mars—,Augustine,,,,,,,,,,,,,,,,,,,
47,Castille,Es-tu folle,Vülevieille,Villevieüle,Vin,Villevieﬂle,Villevieille,le soleil,Ville-,soleil,Mlle Maximilienne,"vieille
Bibiche",alluma,,,,,,,,,,,,,
48,é101gna,nam,mam,"am 87

fe",,,,,,,,,,,,,,,,,,,,,,
49,È:.l,Sologne,Sologne.ll,,,,,,,,,,,,,,,,,,,,,,,
50,marchais,chmæithcbaæondelîæu,Châtaigniers,Bibiche,chauﬁer,Cache,cherchai,ca chœœ,cher—,,,,,,,,,,,,,,,,,
51,atæsi,Aussitôt,dési—,dimi—,aussi—,,,,,,,,,,,,,,,,,,,,,
52,Ahñnﬁpæditpadenœetseœdt‘eæaendiæﬂ,Maintenant,bien—,"Eﬂeplumüt
douœment—",atten—,eniamber,Enﬁn,enten—,,,,,,,,,,,,,,,,,,
53,brindülæ,expri—,indiffé—,Uninsœnt,intri—,,,,,,,,,,,,,,,,,,,,,
54,Lg-h.,—- Voyons,—-ü,,,,,,,,,,,,,,,,,,,,,,,
55,bobo,horpmos,lors—,regar—,Gaboret,,,,,,,,,,,,,,,,,,,,,
