cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0.0,Hier,Vierge,Châtaigniers,,,,,,,,,,,,,,,,,,,,
1.0,atten—,enten—,,,,,,,,,,,,,,,,,,,,,
2.0,"mum-am 75

Le vacher",vachœ,"am 87

fe",Cache,mum-am 75,,,,,,,,,,,,,,,,,,
3.0,Villevieille,Villevieﬂle,Ville-,Villevieüle,"vieille
Bibiche",Vülevieille,Castille,,,,,,,,,,,,,,,,
4.0,indiffé—,Ahñnﬁpæditpadenœetseœdt‘eæaendiæﬂ,brindülæ,,,,,,,,,,,,,,,,,,,,
5.0,Prends,repren—,,,,,,,,,,,,,,,,,,,,,
6.0,lors—,mars—,,,,,,,,,,,,,,,,,,,,,
7.0,soleil,le soleil,,,,,,,,,,,,,,,,,,,,,
8.0,remarquai,quan—,trem—,,,,,,,,,,,,,,,,,,,,
9.0,par-,appar—,regar—,Paris,,,,,,,,,,,,,,,,,,,
10.0,cherchai,cher—,Bibiche,marchais,,,,,,,,,,,,,,,,,,,
11.0,appro—,approdhæ d‘oilè,appré—,,,,,,,,,,,,,,,,,,,,
12.0,Mélanie,vnie,Méanie,Méla-,,,,,,,,,,,,,,,,,,,
13.0,la Blanche,manche,Chemineau la Bête,la manche,Jaune,blan—,la terre,,,,,,,,,,,,,,,,
14.0,Iesecouai,bæucoup,,,,,,,,,,,,,,,,,,,,,
15.0,aussi—,Aussitôt,,,,,,,,,,,,,,,,,,,,,
16.0,Sologne.ll,,,,,,,,,,,,,,,,,,,,,,
17.0,ser—,aper—,,,,,,,,,,,,,,,,,,,,,
18.0,SO MARIE—,Marie—,"Marie—
Annee",,,,,,,,,,,,,,,,,,,,
19.0,traî—,traînéæ transparents,"traî—
nant",,,,,,,,,,,,,,,,,,,,
20.0,eniamber,bergüe€,,,,,,,,,,,,,,,,,,,,,
21.0,A demain,main—,Maintenant,Sylvain,,,,,,,,,,,,,,,,,,,
22.0,.—.—.___‘4-4,"…-

w.—.—u—-",,,,,,,,,,,,,,,,,,,,,
23.0,onne,dimi—,Mlle Maximilienne,,,,,,,,,,,,,,,,,,,,
24.0,urai,Iesouﬁraisbeau—,beau—,i‘eqaë‘rais,,,,,,,,,,,,,,,,,,,
25.0,Ismétie,Ismérie,Am&ntiem’,Ismé-,,,,,,,,,,,,,,,,,,,
26.0,Elk www,Elkreùtvæsmä,,,,,,,,,,,,,,,,,,,,,
27.0,Tes,teintes chan—,chan—,Saintes Huiles,ca chœœ,,,,,,,,,,,,,,,,,,
28.0,rencon—,répon—,annon—,recon—,,,,,,,,,,,,,,,,,,,
29.0,Sologne,,,,,,,,,,,,,,,,,,,,,,
30.0,Jeune,expri—,intri—,entralna,,,,,,,,,,,,,,,,,,,
31.0,qu’,jusqu’,,,,,,,,,,,,,,,,,,,,,
32.0,Sainte-Montagne,Sainte—Montagne,laSainte Table,,,,,,,,,,,,,,,,,,,,
33.0,"pas
dérmgæœæecäosedivinequiétätsæmp£ed",cestàpeine,Vin,lesfermer,,,,,,,,,,,,,,,,,,,
34.0,Dosirée—des-Anges,Désirée-des-Anges,dési—,Désirée—des-Anges,Désirée—des—Anges,Désirée,des-Anges,Anges,,,,,,,,,,,,,,,
35.0,porte n’,"Gué
Per u.

La petite rivière","Gué
Per u.",,,,,,,,,,,,,,,,,,,,
36.0,agenouülée,Geneviève,noux,,,,,,,,,,,,,,,,,,,,
37.0,puiselle,buis,mademoiselle,poche;elle,—elle,,,,,,,,,,,,,,,,,,
38.0,Combien,bien—,,,,,,,,,,,,,,,,,,,,,
39.0,Es-tu malade,Es-tu folle,,,,,,,,,,,,,,,,,,,,,
40.0,jappe,rappelez—,,,,,,,,,,,,,,,,,,,,,
41.0,Ien',miens,rensei—,Tiens,,,,,,,,,,,,,,,,,,,
42.0,leuse,Orgueﬁleuse,,,,,,,,,,,,,,,,,,,,,
43.0,Rome,comette,com,,,,,,,,,,,,,,,,,,,,
44.0,Saint—Iean,La Saint-Jean,Saint—Jean,Saint-Jean,,,,,,,,,,,,,,,,,,,
45.0,labou—,vou—,Gaboret,,,,,,,,,,,,,,,,,,,,
