cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87
-1,voﬂà,.:;‘J,Castille,bobo,m’,arrê—,cestàpeine,quan—,Tes,Am&ntiem’,chmæithcbaæondelîæu,aœut,Ahñnﬁpæditpadenœetseœdt‘eæaendiæﬂ,"ñuﬂnlnnil

.‘l",W’,Eﬂerua,ﬂanœ,Châtaigniers,"«,-_-",hurle—,Maintenant,É,I',reve—,Brabant,fc,Lg-h.,heur—,atæsi,Rome,"MARIE—CLAIRE

Maintenant",horpmos,æuva,ﬁnesse,Chicon,m’étaitinœnnu,mägréungﬂnd,E,Santons,vachœ,Geneviève,Ie,—- Voyons,üyadægædæmæpoæra—,I,jy,IO MARIE—CLAIRE,Chemineau la Bête,.,chauﬁer,Psadzxyt,Pauvre,onne,ﬁnit,Aimée,n—,Marie—Claim,regar—,d’,suﬁt,Cache,"am 87

fe",la terre,æsayai,A,Uninsœnt,Eh,Cobtœ,Sœur Marie-Aimée lavit,croyais,Dæuwwiouœ,dimi—,‘“-,ca chœœ,largœ,Mlle Maximilienne,J,rensei—,Enﬁn,décro—,Pourt‘aﬁt,Tireli,q]e,rir,"MARIE—CLAIRE 99

Pâques",alluma,ques—,Gaboret
0,44 MARIE—CLAIRE,24 MARIE—CLAIRE,54 MARIE—CLAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36 MARIE—CLAIRE,106 MARIE—CLAIRE,102 MARIE—CLAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30 MARIE—CLAIRE,100 MARIE—CLAIRE,40 MARIE—CLAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,120 MARIE—CLAIRE,20 MARIE—CLAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,28 MARIE—CLAIRE,48 MARIE—CLAIRE,8 MARIE—CLAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Marie—Claire,MARIE—CLAIRE 89,MARIE—CLAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MARIE-CLAIRE,notre Marie-Claire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Marie—
Annee",Marie—,SO MARIE—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Marie.—Aimée,Marie—Aimée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
