cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,Vois,voﬂà,Sois,—- Voyons,Voilà,,,,,,,,,,,,,,,,,,,,
1,l.lwl\n.vîtl‘l,l‘a,,,,,,,,,,,,,,,,,,,,,,,
2,Quelque,queie,Quelquefois,Quelquefoîs,ques—,,,,,,,,,,,,,,,,,,,,
3,Ismé-,Ismérie,Ismétie,,,,,,,,,,,,,,,,,,,,,,
4,Sainte—Montagne,laSainte Table,Santons,Sainte-Montagne,intri—,,,,,,,,,,,,,,,,,,,,
5,44 MARIE—CLAIRE,Marie—Claire,24 MARIE—CLAIRE,MARIE—CLAIRE 89,120 MARIE—CLAIRE,30 MARIE—CLAIRE,"MARIE—CLAIRE

Maintenant",28 MARIE—CLAIRE,36 MARIE—CLAIRE,54 MARIE—CLAIRE,20 MARIE—CLAIRE,106 MARIE—CLAIRE,48 MARIE—CLAIRE,MARIE-CLAIRE,MARIE—CLAIRE,notre Marie-Claire,IO MARIE—CLAIRE,100 MARIE—CLAIRE,Marie—Claim,40 MARIE—CLAIRE,102 MARIE—CLAIRE,Tireli,rir,"MARIE—CLAIRE 99

Pâques",8 MARIE—CLAIRE
6,cmmn,Bﬂcmät,fc,®hwÿeœäxwàmmmduvükdthiæge,mnt,,,,,,,,,,,,,,,,,,,,
7,trou—,labou—,trous—,vou—,Rouge,,,,,,,,,,,,,,,,,,,,
8,Dfaçon,recon—,annon—,répon—,long—,rencon—,Chicon,d’,,,,,,,,,,,,,,,,,
9,porte n’,n’,,,,,,,,,,,,,,,,,,,,,,,
10,com,bæucoup,Rome,Combien,commu—,Communs,Cobtœ,comette,,,,,,,,,,,,,,,,,
11,mademoiselle,puiselle,poche;elle,buis,—elle,,,,,,,,,,,,,,,,,,,,
12,ri Deslois,J’,.,Deslois,,,,,,,,,,,,,,,,,,,,,
13,Orgueﬁleuse,leuse,I,Eh,,,,,,,,,,,,,,,,,,,,,
14,peure—,hurle—,reve—,supérieure,,,,,,,,,,,,,,,,,,,,,
15,traînéæ transparents,traî—,"traî—
nant",,,,,,,,,,,,,,,,,,,,,,
16,"«,-_-",‘“-,,,,,,,,,,,,,,,,,,,,,,,
17,L’,l’,,,,,,,,,,,,,,,,,,,,,,,
18,approdhæ d‘oilè,appro—,rappelez—,jappe,appré—,expri—,So—,décro—,,,,,,,,,,,,,,,,,
