cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,LA,las Ice,Mlacnab,las,las confided,La,,,,,,
1,G.C.IH,K.C.,G.C.B.,,,,,,,,,
2,maine,inn,Mac-,Linen,Spain,joaquin,,,,,,
3,lome,Louisa,MExico,Rome,Lodge,,,,,,,
4,etctera,MD,etctera.,,,,,,,,,
5,france,Iran,France,anl,,,,,,,,
6,ILiad,Iad,india,ia,canada,pityiag,,,,,,
7,California,Martial,al,Royal,"smallpox,-short",PU ALI9HER,Halifax,SOCIAL STrONG,,,,
8,bOston,pAst,St,STig Africa,ste,Austria,,,,,,
9,Bots,Scotland,ATlGUIYG,Scotch,WY,,,,,,,
10,unfortunate6,Foxglove,Oxford,Rockford,seaworld,Bradford,,,,,,
11,lille,Millard,Argyll,Ill,TR0IL01,,,,,,,
12,ANGEROU,ny,Germany,Kidderminster,,,,,,,,
13,DIURI,Lurid,Europe,MR,Bridget Floor,,,,,,,
14,Bless,yet2,Hamlet,Teletext,Tremlettt,,,,,,,
15,Laueaslire,LIRE,havre,LIBYA,lI,,,,,,,
16,Westmnorland,england,England,Highland,ireland,Ilighlandloch,,,,,,
17,Huxley,Huxley-lane,Lean,,,,,,,,,
18,woodbine,Woodcock,hardwood,,,,,,,,,
19,hung,yong,lng,,,,,,,,,
20,Brockley,morocco,Crockley,,,,,,,,,
21,K.L.S.,Golconda,Gol,Cologne,,,,,,,,
22,North,North triton,Great Britain,North bRiton,,,,,,,,
23,Russia,seif,brussels,,,,,,,,,
24,Findens,denr,Venus,denver,,,,,,,,
25,"thatlittle grove monde
--my",London Madeira,Madeira,London,madero,,,,,,,
26,IBeria,Becky,Bering,erie greece,Gahberly 2'',,,,,,,
27,Ohio,HIowsomever,OhIO,,,,,,,,,
28,Turpin,Turkey,Tus,,,,,,,,,
29,Tn,butte,Gazette,Charlotte,,,,,,,,
30,the Deep Valley,Deep Valley MIll,Deep-Valley,Deep Valley MaIl,the dEep Valley,Deep Valley Mill,Deep Valle,"Deep Valley
Mill",Deep Valley,Deep Valley MI1,Deep VAlley,the Deep Valley Mill
31,BnoruERTo,Brotherton,toronto,Mss Brotherton,Gabherly,,,,,,,
32,earth,harare,Great Marlborough,Dearest Mary,Mars,ar moon,St. Mary's,,,,,
33,it1,ITaly,Italy,italy,,,,,,,,
34,Nice,china,Domenichino,,,,,,,,,
35,Dowling,Tugswell,Wellington,up.to,,,,,,,,
36,Happened,XXVII,cHAPTER XXXIII,,,,,,,,,
37,bound korea,Providence,ElOQUENCE,Prentice,florence,Ore.,,,,,,
38,Wakefield,WARREN,Warwick,Elward,,,,,,,,
39,Lancashire,Yorkshire,Derbyshire,lancashire,,,,,,,,
40,MIICIIAEL,ISrAEL,ISRAEL,,,,,,,,,
41,Mirs,Mt,NIrs,MIrs,,,,,,,,
42,park-palin,MIlford Park,Milford,Milford Park,paris,MilFord Park,,,,,,
43,thein,Nathan,the Emerald Isle,Southern Reg,the1,,,,,,,
