cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0.0,Mirs,NIrs,MIrs,,,,,,,,,
1.0,G.C.IH,K.C.,G.C.B.,,,,,,,,,
2.0,Huxley,Huxley-lane,,,,,,,,,,
3.0,IBeria,Bering,Austria,,,,,,,,,
4.0,maine,Linen,Spain,,,,,,,,,
5.0,Findens,india,denr,denver,,,,,,,,
6.0,unfortunate6,"smallpox,-short",Nathan,,,,,,,,,
7.0,Ohio,OhIO,,,,,,,,,,
8.0,lome,HIowsomever,Rome,,,,,,,,,
9.0,etctera,etctera.,,,,,,,,,,
10.0,ILiad,Iad,seaworld,,,,,,,,,
11.0,DIURI,Lurid,,,,,,,,,,
12.0,Foxglove,"thatlittle grove monde
--my",ATlGUIYG,erie greece,ar moon,,,,,,,
13.0,Martial,earth,Mars,,,,,,,,,
14.0,North,North triton,North bRiton,,,,,,,,,
15.0,Scotland,Westmnorland,england,England,Scotch,ireland,,,,,,
16.0,lille,Millard,Ill,,,,,,,,,
17.0,Golconda,Gol,,,,,,,,,,
18.0,Hamlet,Teletext,Tremlettt,,,,,,,,,
19.0,Providence,ElOQUENCE,florence,,,,,,,,,
20.0,woodbine,Woodcock,hardwood,harare,,,,,,,,
21.0,china,Domenichino,,,,,,,,,,
22.0,Brockley,morocco,Crockley,,,,,,,,,
23.0,Lancashire,Laueaslire,LIRE,Yorkshire,Derbyshire,lancashire,,,,,,
24.0,Russia,brussels,,,,,,,,,,
25.0,London Madeira,Madeira,London,madero,,,,,,,,
26.0,Highland,Ilighlandloch,,,,,,,,,,
27.0,butte,Gazette,Charlotte,,,,,,,,,
28.0,Nice,las Ice,Prentice,las,las confided,,,,,,,
29.0,BnoruERTo,Brotherton,Mss Brotherton,,,,,,,,,
30.0,france,Iran,France,,,,,,,,,
31.0,ANGEROU,Great Britain,Great Marlborough,Dearest Mary,St. Mary's,,,,,,,
32.0,WARREN,Warwick,Elward,,,,,,,,,
33.0,park-palin,MIlford Park,Milford,Milford Park,paris,MilFord Park,,,,,,
34.0,Turpin,Turkey,,,,,,,,,,
35.0,ITaly,Italy,italy,,,,,,,,,
36.0,California,PU ALI9HER,Halifax,,,,,,,,,
37.0,Dowling,bOston,Tugswell,Wellington,,,,,,,,
38.0,Lodge,Bridget Floor,,,,,,,,,,
39.0,Happened,cHAPTER XXXIII,,,,,,,,,,
40.0,Germany,ste,Kidderminster,,,,,,,,,
41.0,the Deep Valley,Deep Valley MIll,Deep-Valley,Deep Valley MaIl,the dEep Valley,Deep Valley Mill,Deep Valle,"Deep Valley
Mill",Deep Valley,Deep Valley MI1,Deep VAlley,the Deep Valley Mill
42.0,MIICIIAEL,ISrAEL,ISRAEL,,,,,,,,,
43.0,Oxford,Rockford,Bradford,,,,,,,,,
44.0,yong,toronto,SOCIAL STrONG,,,,,,,,,
45.0,bound korea,Ore.,,,,,,,,,,
46.0,Gahberly 2'',Gabherly,,,,,,,,,,
47.0,thein,the Emerald Isle,Southern Reg,the1,,,,,,,,
