cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
-1,Bots,Happened,unfortunate6,Mac-,Louisa,Deep-Valley,Foxglove,Linen,morocco,MD,MExico,yet2,Europe,Great Britain,MR,TR0IL01,seif,Becky,Tn,Mt,Teletext,Great Marlborough,seaworld,ar moon,Charlotte,WY,Kidderminster,Nathan,Tus,the Deep Valley Mill
0,G.C.IH,K.C.,K.L.S.,G.C.B.,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mirs,NIrs,MIrs,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,etctera,etctera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ISrAEL,ISRAEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Huxley,Huxley-lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"thatlittle grove monde
--my",ATlGUIYG,erie greece,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIURI,Lurid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lodge,Bridget Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MIICIIAEL,XXVII,cHAPTER XXXIII,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ITaly,Italy,italy,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"smallpox,-short",Cologne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Wakefield,Bless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,London Madeira,Madeira,London,madero,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Golconda,Gol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,IBeria,Bering,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,france,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ANGEROU,ny,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,hung,yong,STig Africa,lng,SOCIAL STrONG,Austria,,,,,,,,,,,,,,,,,,,,,,,,
18,Lean,anl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Iran,canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Gahberly 2'',Gabherly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Brockley,Crockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,al,Royal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ohio,OhIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Brotherton,Mss Brotherton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Oxford,Rockford,Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MIlford Park,Milford,Milford Park,MilFord Park,,,,,,,,,,,,,,,,,,,,,,,,,,
27,California,PU ALI9HER,Halifax,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Russia,earth,brussels,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,North,North triton,North bRiton,BnoruERTo,,,,,,,,,,,,,,,,,,,,,,,,,,
30,china,Domenichino,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,lome,HIowsomever,Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,pAst,St,ste,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,bOston,toronto,up.to,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Lancashire,lancashire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Yorkshire,Derbyshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,park-palin,paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Highland,Ilighlandloch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Scotland,Westmnorland,Scotch,ireland,,,,,,,,,,,,,,,,,,,,,,,,,,
39,england,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,butte,Gazette,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Hamlet,Tremlettt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,WARREN,Warwick,Elward,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,LA,las Ice,Mlacnab,las,las confided,La,,,,,,,,,,,,,,,,,,,,,,,,
44,Nice,Prentice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,woodbine,Woodcock,hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Laueaslire,LIRE,the Emerald Isle,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,LIBYA,lI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Dowling,Tugswell,Wellington,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Findens,denr,Venus,denver,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Argyll,havre,harare,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,lille,Millard,Ill,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,the Deep Valley,the dEep Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ILiad,Iad,india,it1,ia,pityiag,,,,,,,,,,,,,,,,,,,,,,,,
54,Providence,ElOQUENCE,florence,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,bound korea,Ore.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Turpin,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,thein,Southern Reg,the1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dearest Mary,St. Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Martial,Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Deep Valle,"Deep Valley
Mill",Deep Valley,Deep VAlley,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Deep Valley MIll,Deep Valley MaIl,Deep Valley Mill,Deep Valley MI1,,,,,,,,,,,,,,,,,,,,,,,,,,
62,inn,joaquin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,maine,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
