cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,A6,armes.a6,,,,,,,,,,,,,,,,
1,camp,cmp,campana,campagae,campague,cambree,"campI
- Pardieul",,,,,,,,,,,
2,bituelle,ellE,"celle-l.
Dona Luz",Caballero,"calle del Rosario,-",Allemagne,nouvellee,grolle,danslaquelle,selle,siflle,EllE,bellel,,,,,
3,avecun sang,vecu,,,,,,,,,,,,,,,,
4,- MIa merel,rancon de ma mere,A minuit,,,,,,,,,,,,,,,
5,malgre,gre,Malgre,,,,,,,,,,,,,,,
6,ca,canp,- Caspita,Ca,renonca,Incas,triarcal,Mezcal,,,,,,,,,,
7,DIt,lexpedition,h,Conditiou,cetle expedition,Pitic,,,,,,,,,,,,
8,sauverail,sauvee.3:8,,,,,,,,,,,,,,,,
9,vA-t'enl Rafael,A,J',Rafael,,,,,,,,,,,,,,
10,A157,TFt,A15,,,,,,,,,,,,,,,
11,extreme,- Remettez,Coutrairement,extremitles,"L'extremite
d'une estrade",trempee,,,,,,,,,,,,
12,Mlais,Anglais,Laisse,palais quil,,,,,,,,,,,,,,
13,i-12,i-,A99,Ai-,,,,,,,,,,,,,,
14,Les Indiens,sion indienne,Indien,Dienu,Indies,L'Indien,Indiennes,bandilts,sienl,Indiens,,,,,,,,
15,t27,et270,t23,,,,,,,,,,,,,,,
16,au-,Jesu-,amesure,JE=,,,,,,,,,,,,,,
17,Gambusinos,Gambusino,gambusinos,,,,,,,,,,,,,,,
18,l'Europe,Europe,Gouveruemeuls de l'Europe,,,,,,,,,,,,,,,
19,Babillard,3r,"le -
billard",Babillard7,Babil-,,,,,,,,,,,,,
20,quelajeune,Dieune,Lejeune,Prie-Dieu,Eux,DieuI,,,,,,,,,,,,
21,Ah1,Ah-,Ooah,aH08,,,,,,,,,,,,,,
22,Societ,CI,crcix,,,,,,,,,,,,,,,
23,l.,Peaux Rouges,"Pe-
rou",Peaux Rouges7,Peaux Rougesetles,Peaux Ronges,,,,,,,,,,,,
24,Mexicains,Lanceros mexicains,Iexicaine,Les Mlexicains,Meicains,gamUusinos mexicains,Mlexicains,Americains,camp des Mlexicains,Americaines,,,,,,,,
25,cene,renes,Fenes,frenesie,,,,,,,,,,,,,,
26,Guadeloupe,ecouta,lout,assezlourd,,,,,,,,,,,,,,
27,Pompadour,accompagnes,- Accompagnerai,,,,,,,,,,,,,,,
28,Russe,Pousse,vousinteressez,poussat,Avez-yous,opposee,,,,,,,,,,,,
29,liennes,Vienne,Iennedy,Tiens,,,,,,,,,,,,,,
30,lentree,Lentreue,l53,entrecoupee de montagnes,I,,,,,,,,,,,,,
31,vages,CGes,I29,Carthage,Va,,,,,,,,,,,,,
32,N(C,Flora meicana,Canadien,Canadisn,Canadienne,Iadiens,Canalien,,,,,,,,,,,
33,"demarche
tentee",nantes,escortee,tentee,Entendre-,Quarante,,,,,,,,,,,,
34,IES ITAPPEURS,TAPPEURS,"quelques386
LES TMAPPEURS",ITAPPEUR9,TAPPEU9,IES TAPPEURS,appuyee,"prairie168
LES TAPPEURS",Seurs,PEUR,ILES TAPPEURS,IAPPEUnS,"dupe,60 tES TAPPEURS DE LAKANSAS","TAPPEURS
- Voici",leurspoignards,IES TAPPEURS DE L'AIKANSAS,,
35,Lendroit,Croit,Linproiisioro,crois7,calecon etroit,,,,,,,,,,,,,
36,Bermudez,Accordez,Cordoue,"accoutumes a bra-
ver",,,,,,,,,,,,,,
37,hesiter,Jupiter,tercushenan,Nhesitez,,,,,,,,,,,,,,
38,Acropolis,metropole,,,,,,,,,,,,,,,,
39,Iuz,Luz,DonaLuz,alluma,,,,,,,,,,,,,,
40,c0ce,c0,c0loyer,,,,,,,,,,,,,,,
41,piralte,Maltre,"autre,3l0",baltre,disparaltre,,,,,,,,,,,,,
42,Providence,La Providence,Prompt,,,,,,,,,,,,,,,
43,regler,regle,ler,colere,,,,,,,,,,,,,,
44,cathedrale de Mexico,Mexico,Mlexico,Mlexi-,,,,,,,,,,,,,,
45,lassassin,Assis,possible7,Assini0oins,Mississipi,,,,,,,,,,,,,
46,i83,m-,J1,,,,,,,,,,,,,,,
47,Etats Barbaresques,Azteques,Bar,,,,,,,,,,,,,,,
48,AMI0,I09,Ami,,,,,,,,,,,,,,,
49,Cordilleres,reveillee,severe,reille,eveillees,feuillee,,,,,,,,,,,,
50,TAPEUS,Lo TAPEUIS,TIAPEUS,TIAPPEUS,,,,,,,,,,,,,,
51,golfe de Cali-,"golfe de Cali-
orient",,,,,,,,,,,,,,,,
