cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,LES,les Incas,stacles,le-,Tousles,LEs,ABBILLEs,Eshis,t.es,Miracle,Quale pcrsonnes,uyes,arreles,les96,Leschasseurs,J',Cordilleres,Est,Familles,,,
1,Quoi7,Voil,Voilh,hravo,lapercevoir,Devois,emouvoir,Ily,vo,,,,,,,,,,,,,
2,-iiiiiii.ii,45 I.,MAUDII,ii siiiioi,yII,,,,,,,,,,,,,,,,,
3,Etats-Unis,Les Etats-Unis,P,Pnis,Etat,Etats,kEtats-Unis,dis-2l,j-,,,,,,,,,,,,,
4,lavie,vie.vI,vie?Je,VI,Vieme,viel,,,,,,,,,,,,,,,,
5,Sierra Madre,Sierra IIadre,- MIa merel,Sierra Madre les Indiens,3r,rancon de ma mere,,,,,,,,,,,,,,,,
6,decrire,retirez,Derrire,ecria,sepulcre,decoloree,,,,,,,,,,,,,,,,
7,I39,Hermosillo,dHermosillo,Sermon,,,,,,,,,,,,,,,,,,
8,-DE,Dej,depit,a-DE,,,,,,,,,,,,,,,,,,
9,Canadien,Flora meicana,Canadisn,ganado,Canalien,Canadienne,Iadiens,,,,,,,,,,,,,,,
10,Indien,joindre.16,Indiens,Indies,sion indienne,L'Indien,Indens,Tiens,Inde,Les Indiens,DieuI,Indiennes,Dienu,,,,,,,,,
11,reunie,reunion,brunie,l'aieul,precieuse,fievre,Pawnies,l.,reunis,Dieune,,,,,,,,,,,,
12,tont,"Porte s.
Pendant ce temps don Ramon",Monte,degont,nantes,mons,montee,conteni,Quarante,,,,,,,,,,,,,
13,vA-t'enl Rafael,Rafael,d6-,,,,,,,,,,,,,,,,,,,
14,rue du Rosaire,grotte du vert de gris,CAYERNE DU YERT DE GRIS,grotte oh lejour,Vert de gris,lagrotte,,,,,,,,,,,,,,,,
15,aeil,Aacleia,Leil,laeil,ILe,Etil,reveillee,"conseil.278
LES",lequilibre,OEil,eveillees,reille,OhIl,,,,,,,,,
16,liennes,frenesie,Iennedy,Fenes,renes,Vienne,chene-liege,IES,,,,,,,,,,,,,,
17,sophiquementle,Mexique,Amerique,Amerique du Sud,guer-,Amerique du Nord,Amérique,exPliquer,l'Afrique,l'Amerique du Sud,Buluque,"A-
merique",Pacifique,Aerique,l'Amerique,l'Amérique,Utique,trigue,,,,
18,blan.s,lance avanl,Yivant,Tte Blanche,Avantde,Elan,Cepenlant,Blancs,avanca,,,,,,,,,,,,,
19,gers,ger,Regences d'Alger,Jer0m,CGes,1Z,ge,,,,,,,,,,,,,,,
20,extremitles,extreme,faitl,"L'extremite
d'une estrade",,,,,,,,,,,,,,,,,,
21,armes.a6,A6,,,,,,,,,,,,,,,,,,,,
22,TIAPEUS,TIAPPEUS,TAPEUS,TAPPEU9,IAPPEUnS,,,,,,,,,,,,,,,,,
23,t38,ge-t38,-Hôte-toi,,,,,,,,,,,,,,,,,,,
24,nelee,melttez,mele,metropole,meles,sang-mele,tele,pele-mele,complele,melis,,,,,,,,,,,,
25,penetra,TRAPPEUIS,trappeutr,ILES TRAPPEUnS,"autre,3l0",bleutre,trappes,TRAPPEIURS,,,,,,,,,,,,,,
26,nenl,NE,jetne,curubine,mornes,cene,mignonne,orne,Donnez,lsa duegne,,,,,,,,,,,,
27,Luz,DonaLuz,Iuz,,,,,,,,,,,,,,,,,,,
28,chambre separee,garon,egaree,Regardez,a77,,,,,,,,,,,,,,,,,
29,---,.--c,--Je,c:.--,,,,,,,,,,,,,,,,,,
30,A23,a22,I29,J1,de226,,,,,,,,,,,,,,,,,
31,t27,t23,et270,TFt,,,,,,,,,,,,,,,,,,
32,- L,"Si
- Lui DIT",I o,,,,,,,,,,,,,,,,,,,
33,t.a10,A15,A157,,,,,,,,,,,,,,,,,,,
34,A99,E,,,,,,,,,,,,,,,,,,,,
35,Guadeloupe,Cordoue,etouffe,nousvoulonsjouir,noux,jouR,lout,vOus,toul,ecouta,,,,,,,,,,,,
36,lexpedition,Pitic,h,cetle expedition,N,DIt,Conditiou,,,,,,,,,,,,,,,
37,Entendre-,trempee,lentree,entrecoupee de montagnes,L0IL.PRENIIRLE,Lentreue,Coutrairement,,,,,,,,,,,,,,,
38,h0êtes,deterine,LaTete,textevenu,bete,anxiete,jaccepte,Iete,ter  cette operation delicate,tentee,Tete,betes,Azteques,- Remettez,- Arretez,srete,inveteree,ciell Etes,tete,Hâtez,"demarche
tentee",surete
39,In-l2,n-8,in-8,In-12,N-,in-8-,in-3,In-1E,,,,,,,,,,,,,,
40,.e-or,porls,borls,iransporter,orlre,,,,,,,,,,,,,,,,,
41,"capitaiue
Aguilar",Aguilar,Rio Gila,luil,Guadalazara,tqui,palais quil,,,,,,,,,,,,,,,
42,interrom-DE LARKANSAS,IAKANSAS5,mortlDE ILARKANSAS,LARKANSAS5,Arkansas,AIKANSAS5,ARKANSAS5,Aransas,LAKAN5AS,oublielDE LARKANSA,LAlIKANSAS5,,,,,,,,,,,
43,pa-DE L'AKANSAS,complele-DE LAHRANSAS,ani-DE L'AlANSAS,pre-DE LAIANSAS,somme ren-DE L'AIIKANSAS,,,,,,,,,,,,,,,,,
44,"Mole
d'Aigle",Aigle,Aiglel,l'Aigle,,,,,,,,,,,,,,,,,,
45,tue1,se196,habituee,juez,petuee,,,,,,,,,,,,,,,,,
46,ter hier,- Guerriers,hiver7,Hier,,,,,,,,,,,,,,,,,,
47,falo,.1n,alors.1il,Alrs,Lorsqe,,,,,,,,,,,,,,,,,
48,Gambusino,gambusinos,Gambusinos,,,,,,,,,,,,,,,,,,,
49,hesiter,Jupiter,Nhesitez,tercushenan,,,,,,,,,,,,,,,,,,
50,Laisse,Mrisait,vOyais,Anglais,gnais,Mlais,puisqae,saint-,sais,sansaimer,venaison,sauverail,MIais,lissades,raisonl936,jaais,jamais1,,,,,
51,bon3,Lon,- Allonsl,-il Donc,S,on118,Mlon,,,,,,,,,,,,,,,
