cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128
-1,Quoi7,lanceros,Chacun,interrom-DE LARKANSAS,"malade7
- Pas moi",0 c.,"Porte s.
Pendant ce temps don Ramon",ecroula,Societ,Bellumeur,Caballero,Moclsens,vOyais,justel,penetra,Opatas,le-,au-,45 I.,escortee,armes.a6,IAKANSAS5,chevel,assezlourd,Allemagne,sarrange,pise,PROtCUE.LE,i-12,.1n,Entendre-,"Mole
d'Aigle",trempee,retirez,piste de la Tete d'Aigle,p e,laboya,"Pe-
rou",mons,Geur,Natosh,"prairie168
LES TAPPEURS",ter  cette operation delicate,c0te du Cerro de la campana,mortlDE ILARKANSAS,Eshis,Etil,epreues,SAUEUR,MAUDII,Canalien,sansaimer,Hoir,severe,l'aieul,A6,Comancnes,echo,"campI
- Pardieul",Revoluuon,"Cer
Loyal",Pompadour,- Allonsl,entrecoupee de montagnes,alluma,rue de l'Abbaye,"conseil.278
LES",arreles,Azteques,luil,BAzANcor,MIais,m-,OEil,Jer0m,L0IL.PRENIIRLE,I o,Sermon,cathedrale de Mexico,Tiens,N-,amesure,chene-liege,piste des jaguars,Bermudez,robert6 de vos membres,Aransas,Buluque,Ceur,"piste d' 
castle",vousinteressez,figurez,Huml,"accoutumes a bra-
ver",piste des Comanches,Pacifique,Cordilleres,Eh,tele,Iete dAigle,grolte de la riviere,LAKAN5AS,oublielDE LARKANSA,DIt,PEUR,decoloree,-il Donc,colie,Lo TAPEUIS,emouvoir,traluit du banois,"quelques386
LES TMAPPEURS",tercushenan,ITAPPEUR9,parole168,Helasl,Ily,piste de la,Dienu,melis,Ceur Ioyal,be-,Tete d'Aigle etle Ceur,Avez-yous,Mole,Iadiens,Mlcoires,"rendaientsongeuse
i190",Linproiisioro
0,A,a375,J1,3r,D,J',1Z,N,l53,S,I,TFt,d6-,j-,a77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I39,7I,A99,E,h,P,N(C,i83,I29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,se196,l35,l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,c:::=,c=::-,z::::-,trc::r,z::::z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Guaymas,t0t  Guaymas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,LÀ T0,t0t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,La Providence,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hoyiu,Ilisoia e la Hoyiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"-
-",fr,"..-
-",lsa duegne,TTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
