cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,Grand,Gratid,Gra-,brandia,Grandioso,Grande,,,,,,,,,,,,
1,LA FAUTE,fauteuil,,,,,,,,,,,,,,,,
2,Havanesa,Desavergonhada,chocalhava,Casa Havanesa,,,,,,,,,,,,,,
3,IStO,Mist-,Vista-,Custou,,,,,,,,,,,,,,
4,Misericórei,Concórdia,rua da Misericórdia,sos da Misericórdia,Misericór-,"rua
da Misericórdia",depósito da Misericórdia,"rua da
Misericórdia",Misericórdia,"rua da Miseri-
córdia",,,,,,,,
5,Rosina-,Ensina,China,Rossio,rua Rosina,gerina,,,,,,,,,,,,
6,Morais,Moral,Moravam,mausoléu do Morais,Cabrais,,,,,,,,,,,,,
7,Gertrudes,Í,Decerto,Pudera,Gertrudinhas,,,,,,,,,,,,,
8,Quer,Queres,— Quem,Quereis,Queria,Ergueu-,— Quebrou,réa,Quere-me,Quero,trinque,,,,,,,
9,Ponte,Ponto,Ponho,Contemplar,Defronte,Ponte Nova,,,,,,,,,,,,
10,saia branca,Saias,pilar branco,,,,,,,,,,,,,,,
11,Perdão,Perdoa,Perderam-me,Perdoe-me,Percebera,,,,,,,,,,,,,
12,pos-,Posso,Aos-,Vagos-,Campos,tlin dos copos,Raposo,Campos Elíseios,,,,,,,,,,
13,Abalou,Pombal,Heliogabalo,,,,,,,,,,,,,,,
14,Sol,Brísol,Solidão,vol-,Absolver,,,,,,,,,,,,,
15,CRIME DO PADRE AMARÓ,,,,,,,,,,,,,,,,,
16,"CRIME DO PADRE AMARO

Aldeia",,,,,,,,,,,,,,,,,
17,Silvério,bom Silvério,silvas,,,,,,,,,,,,,,,
18,Sátiro,Apro-,Juro,RO,Proveça,párocio,Roda,prodígi,matrona,Coroa,rouba,Europa,,,,,,
19,Tamanho,"tam-
bém",Amanhã,,,,,,,,,,,,,,,
20,Ai,Demais,Maio,Baixa,Maia,Saiba,bom paio,,,,,,,,,,,
21,"CRIME DO PADRE AMARO

grafo","CRIME DO PADRE AMARO

grande",,,,,,,,,,,,,,,,
22,Doença,Licença,Endoenças,,,,,,,,,,,,,,,
23,Sintra,Introibo,Sinto,Entra,,,,,,,,,,,,,,
24,Alcobaça,serra de Alcobaça,"Brito de
Alcobaça",baça,,,,,,,,,,,,,,
25,tos,Egipto,Minutos,Gastos,Togo,Cos,Tossicou,,,,,,,,,,,
26,Diosísia,Dioísia,Dioísia...,,,,,,,,,,,,,,,
27,Inimigo,fatima,Im,Animais,Vim,Berlim,Olimpo,Sim,dir-lim,,,,,,,,,
28,Lisboa de Amaro Vieira,Lisboa,Boa,Lisboa...,estrada de Lisboa,,,,,,,,,,,,,
29,Civilização,Imitação,Relação,Civilização...,,,,,,,,,,,,,,
30,Vossemecê,Vossa,Nossa,Vocês,i,,,,,,,,,,,,,
31,Ir,Vira,Tirado,elvira,Tira-mo,,,,,,,,,,,,,
32,Ásia,"cosia de
luneta",sia,Simpatia,nísia,nsia,,,,,,,,,,,,
33,Mártires,Pires,Pompa Espiritual,Flores,Buénos-Aires,,,,,,,,,,,,,
34,Senhora Mãe dos Homens,"Nossa
Senhora das Dores","Nossa Senhora
das Dores",Nossa Senhora das Dores,Senhora das Dores,"Nossa Senhora das
Sete Chagas","casa da
senhora marquesa de Alegres",Senhora do Rosário,,,,,,,,,,
35,Senhora da Encarnação,Senão,Senhora da Incarnação,Encarnação,Senhora da Alegria,São da Encar-,,,,,,,,,,,,
36,Perfeito,Jeito,Peixoto,,,,,,,,,,,,,,,
37,Arvore da Ciên-,"Arvore da Ciên-
cia",,,,,,,,,,,,,,,,
38,rel Azevedo,Credo,acre,hóstia redonda,Arredo,Reden-,cara redonda,,,,,,,,,,,
39,Vamo-nos,Amor,Morta,Difamou,Famosa,Moço,Amodorrado,Mor-,Amorável,,,,,,,,,
40,Recolheu,Olha,Batalha,Encolhia,Olhe,Olharé,Canalha,,,,,,,,,,,
41,cova da enxerga,cova de Amélia,enxerga,,,,,,,,,,,,,,,
42,"Dar
Filha",Milhares,Filho,"Dar
Filha da mentira",,,,,,,,,,,,,,
43,"CRIME DO PADRE AMARGO
de Agosto",,,,,,,,,,,,,,,,,
44,Viaência,Paciência,Viuência,Prudência,Providência,"Viaên-
cia",,,,,,,,,,,,
45,"CRIME DO PADRE AMARO

snr",,,,,,,,,,,,,,,,,
46,Corre,Correia,corujas,rua do Correio,"L'ABÉ
MORRER",cor=,Correu,sorri,Brito Correia,Corja,,,,,,,,
47,Damasco,Nadamas,Acudam,S. Pascoal Bailão,,,,,,,,,,,,,,
48,Estigmas de S. Francisco,S. Francisco,MINAS DE SALOMÃO,,,,,,,,,,,,,,,
49,OLÍME DO PADRE AMARO,"CRIME DO PADRE AMARO

boulevard da Bastilha",CRIME4 DO PADRE AMARO,CRIME DO PAdRE AMARO,CRINA DO PADRE AMARO,"CRIME DO PADRE AMARO

radiante",4O,"CRIME DO PADRE AMARO

da Maia",CRIME DO PADRÉ AMARO,CRIME DO PADRE ALVARO,"CRIME DO PADRE AMARO
cortininhas de cassa","CRIME DO PADRE AMARO

penitência","CRIME DO PADRE AMARO
Saia","CRiME DO PADRE AMARO

— Prudência",CRIME DO PADRE AXARO,CRIME DO PADRE ANARO,,
50,S. Janeiro,Janeiro,S. Maneira,Maneira,"casa da
S. Maneira!",S. Maneiras,Amêazinhaga da S. Maneira,,,,,,,,,,,
51,Talento!,Violento,Trento,spleen,Madalena,,,,,,,,,,,,,
52,"rua
da",rua das Sousas,Córrego das Tristes,rua dos Sousas,rua da,Poço das Bentas,"rua dos
Sousas","rua das
Sousas",,,,,,,,,,
53,PADRE,Madrid,Deus-Padre,Padre,Padre-Nossos,Madre-Abadessa,,,,,,,,,,,,
54,sacristães,sacristão,Crisótomo,Corpus-Christi,,,,,,,,,,,,,,
55,Ó Dias,Dias,Índias,índia,Índia,,,,,,,,,,,,,
56,valado,tre Valadares,Valadares,Populares,Eá,,,,,,,,,,,,,
57,Natário,Naário,Natária,Natá-,,,,,,,,,,,,,,
58,Esguelha,Esguelhas,,,,,,,,,,,,,,,,
59,Polónia,Pol-,insónia,Babilónia,Ih,Santa Apolónia,,,,,,,,,,,,
60,Versalhes,Universo,Universo-,,,,,,,,,,,,,,,
61,Figueira,Queira,estrada da Figueira,Trigueira,,,,,,,,,,,,,,
62,altares,Salte,Jerusalém,Salta,Salomã,,,,,,,,,,,,,
63,Suspenda,Anda-me,Mandara,Anda,anda,Outra-Banda,,,,,,,,,,,,
64,Saavedra,"pedra do
paço",Paço,,,,,,,,,,,,,,,
65,Petroleiros,Oh,Pinheiros,Pinheiro,pinheiros baixos,Pinheiro deu-as,,,,,,,,,,,,
66,Paraiso,Parado,paraiso,para-,,,,,,,,,,,,,,
67,Bois,"Bois

ois",Dois,Coisa,,,,,,,,,,,,,,
68,Laudo,Mola,LA,Epítola,lampeão,Lambão,Chalaça,latão,Temo-la,Porúlar,,,,,,,,
69,Podia,Achava-o,Odiava-o,,,,,,,,,,,,,,,
70,Mata,MA,mana,Manon,Mau,Matámo-lo,maluco,Manias,,,,,,,,,,
71,Arcada,Arco,Arco...,anasarca,Circo,,,,,,,,,,,,,
72,Amparo,Amparozinho,ombrozinhos,,,,,,,,,,,,,,,
73,Gonçalves,Salve-Rainha,Salve-Rainhas,"Coroação da
Rainha Vitória",,,,,,,,,,,,,,
74,Lem-,Delecluze,"lem-

bra-te",Devem-no,,,,,,,,,,,,,,
75,Exultante Domino,Domingos,S. Domingos,Dominara,Abominava,,,,,,,,,,,,,
76,Arranja-se-lhe,Bufa-lhe,Ia-lhe,Perguntava-lhe,Coma-lhe,bulialhe,Dá-lhe,,,,,,,,,,,
77,Jnspector,Recados,Pecado,,,,,,,,,,,,,,,
78,quintal,Minta,Quieta,Aquilo,,,,,,,,,,,,,,
79,"CRIME DO PADRE AMARO

uras",,,,,,,,,,,,,,,,,
80,Viatico,bric-à-brac,Ricas,Rico,Cânticos,Ricoça,"Rico-
nheceu",,,,,,,,,,,
81,Purgatório,Ofício,Rio,mercúrio,Calvário,Ofertório,Eugênio,Varios,Breviário,Osório,,,,,,,,
82,Boas-noites,pas-,"pas-
seio",Cas-,"pas-
ava",,,,,,,,,,,,,
83,Covilhã,Malhão,Hã,lhão,Vão,Hão-de,,,,,,,,,,,,
84,Sul,Quorum,suor,,,,,,,,,,,,,,,
85,Praça às Ave-Marias,Praça às Ave-Marias...,,,,,,,,,,,,,,,,
86,de--,Vêde-o,Pede-os,,,,,,,,,,,,,,,
87,Calcada,Cala-te,Cali,calumnia,Cala-,"Sala-
nás","rua dos Cala-
faces n.º 53",Calafates,,,,,,,,,,
88,"CRIME DO PADRE AMARO

tam",,,,,,,,,,,,,,,,,
89,"CRIME DO PADRE AMARO

Godinho","CRIME DO PADRE AMARO

a Gastos e","CRIME DO PADRE AMARO

E","CRIME DO PADRE AMARO

o Estótico","CRIME DO PADRE AMARO

negra",,,,,,,,,,,,,
90,Valeu,alegre,"Vista-
-Alegre",Alegres,,,,,,,,,,,,,,
91,Pesadelos,Descido,Tesa,Teles,Tolices,Pieguices,Ti ã Es,Burgueses,Es,Nantes,Teresas,Guedes,Jesocupada,Nunes,Escócia,Abades,Lethes,Espanha
92,ocrimedopad,alecrim,CRIME DO PAPEL AMARO,CRIME DO PAPEL,Papel,"CRIME DO PAPEL AMARO

Natário",CRIME DO,,,,,,,,,,,
93,"CRIME DO PADRE AMARO

mudeando",CRIME DO PADRE “AMARO,"CRIME DO PADRE AMARO

gar",CRiME DO PADRE AMARO,"CRIME DO PADRE AMARO

párico","CRIME DO PADRE AMARO

de murmuração!","CRIME DO PADRE AMARO

Desprendeu-se","CRIME DO PADRE AMARO

da serra!","CRIME DO PADRE AMARO

de fósforos",,,,,,,,,
94,Gostas,Gostava,Voltava,Repastava,Costurava,Instava,,,,,,,,,,,,
95,Menino,Inten-,Repente-,S. Vicente,NPIcaniEntEs,Positivamente,Ámen,Gente-,Mente,Sol do Poente,Casamento,mexe-te,"Pimen-
tel de",Pimentas da Poeira,Cármens,Sarmento,Instintivamente,
96,Via-o,Via-Clara,Devia-a,Via-Claras,alta claraóia,,,,,,,,,,,,,
