cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42
-1,Haliburton,Sanctuary,"now,-",Streuton,Marked,Apt.,Pompeii,Mardol,Richmond,scagliola,Rotterdam,Bkulking,Ispahnn,s--;a--,AWHILE,Sspin,Serpentine,Curzon,Cocxrox,"AIfred-
p.",Ill,&s.,The Inland Sea,penetralia,"Dunleath
OLD",FoLLowED,CoRBovLD,Vignettes,Perchanea,Iinker,Beatitudes,I6s,Eastcheap,Achilles,Pottleton,Get Married,Podrida,the Chaplain ages,said4,scaly sea-monster,wi,Venice,nearest kinsman
0,I.C.,vI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oak Opening,Oak Openings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,M. O.-,.-l,M.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rome,ROME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cristofano,Cristofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ivor,vol,Oxford,Vol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Packcts,Packet,Pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Queen
Elizabeth's",Queechy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Colour,Colours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Lamplight,night1,campagna,Tokay,Rookwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Portrait,WN Port,TIE YAUXRALL-hAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Whitefriars,Whitehall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bohemian Libraries,ANTIQUARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Routledge,lI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Italy,it1,Fitful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Beaumont,Rougemont,Rlougemont,lougemont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Barns,Temple-bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,sC,Boscobel,Belvoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Nottingham,not7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mosses,Masses,Tasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Mississippi,Circassia,sir7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Steel Plates,Steel,derisie lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Perth,Kenilworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Orleans,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Thorneyeroft,Thou,Author,Loftus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Alabama,Calabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,flagon,Flapdragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Inn,Inn-lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Inn Fields,Wakefield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Lyndhurst,Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Millbank,Iiillbank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,laurel,Dauris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,LA,Las,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MIidhipman Easy,Manon,anon,oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Vale,GaLlERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,KoNEIM,KoIIEIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Blenheim,KRoNHEIM,Byron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Ovingdean Range,Abingdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Kensington,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,LL,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLmmmmm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,il,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,name1,me1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,America,Hermetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pictures,Regent,Canterbury,Beehunter,Finsbury,DR,Turk,Drury,Midlothian,"century,-a",Lothbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,maturity1,City1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,that7,Thames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,R0DIE0GE'3,St. Peter,ST,"St.
George's",St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Leicestershire,Westminster,West,Zoroaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Godolphin,china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,iNto,Wintry,Mackintoshes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Chaucer,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,France,Chance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Sea,Old Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,St. James's,"Saint
James's-square",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Faint,Saint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,River,Antverp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,IO,ARIOL,Io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,dwarf-,Cowardly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Southwark,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sandan,Satan,Satin,Swan,Santa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,England,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Paradise,ARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Paris,PARIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Charing,Charles,n Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,New Myers,New Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Hare,Farquhar,hard1I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,hidden1,Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,strayed1,Strand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,MaRs,Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Newton,Paston,PA8TON,Grafton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,London Stone,LONDON,Brandon,Old London,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Hyde Park,Park,HYDE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Park-street,King-street,New Fish-street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
