cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Sandan,Sanctuary,Santa,Midlothian,Strand,Ovingdean Range,Scotland,England,The Inland Sea,Swan,Antverp,Satan
1,ROME,Cocxrox,Rookwood,Rome,,,,,,,,
2,Colour,Colours,Loftus,Lothbury,,,,,,,,
3,KRoNHEIM,Byron,I6s,KoIIEIM,KoNEIM,Blenheim,,,,,,
4,nearest kinsman,Westminster,West,Zoroaster,scaly sea-monster,Leicestershire,,,,,,
5,DR,Podrida,Drury,,,,,,,,,
6,World,the Chaplain ages,Vale,Charles,Hare,n Charles,Achilles,Temple-bar,Farquhar,Charing,Orleans,
7,that7,Perth,South,Thou,Southwark,Routledge,Io,Author,,,,
8,LL,GaLlERY,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLmmmmm,FoLLowED,Whitehall,Ill,TIE YAUXRALL-hAD,,,,,
9,Iiillbank,Pompeii,Millbank,Iinker,,,,,,,,
10,Sspin,Inn,Inn Fields,china,Nottingham,Inn-lane,,,,,,
11,Streuton,Haliburton,Eastcheap,Pottleton,Paston,Grafton,Newton,Tokay,PA8TON,Washington,,
12,maturity1,Turk,Pictures,Watts,Beatitudes,City1,,,,,,
13,Faint,"Saint
James's-square",Mackintoshes,Saint,Serpentine,Satin,"AIfred-
p.",iNto,said4,,,
14,Italy,it1,Fitful,s--;a--,,,,,,,,
15,WN Port,penetralia,Portrait,strayed1,,,,,,,,
16,Kenilworth,Old Bailey,il,IL,AWHILE,,,,,,,
17,Mardol,Mars,Whitefriars,Barns,MaRs,dwarf-,ARAM,Get Married,Marked,,,
18,.-l,IO,M.A.,M. O.-,,,,,,,,
19,Las,Alabama,flagon,scagliola,Flapdragon,Calabria,LA,laurel,derisie lang,,,
20,Finsbury,Wintry,Canterbury,"century,-a",wi,,,,,,,
21,Hermetic,River,America,Rotterdam,,,,,,,,
22,Cristofano,Cristofana,,,,,,,,,,
23,Rougemont,Beaumont,Regent,R0DIE0GE'3,Rlougemont,lougemont,&s.,,,,,
24,Circassia,sir7,Mississippi,,,,,,,,,
25,Venice,Kensington,Oak Opening,Oak Openings,,,,,,,,
26,hard1I,Garden,Cowardly,Oxford,hidden1,,,,,,,
27,"Queen
Elizabeth's",Queechy,Beehunter,Wakefield,Steel,Steel Plates,,,,,,
28,Richmond,LONDON,Old London,London,Curzon,Abingdon,Brandon,London Stone,,,,
29,HYDE PARK,Hyde Park,Dauris,Bohemian Libraries,Park,PARIS,ANTIQUARIES,Paradise,ARIOL,Paris,Ispahnn,
30,anon,"now,-",Manon,oman,MIidhipman Easy,not7,,,,,,
31,Thames,me1,name1,campagna,,,,,,,,
32,New Fish-street,Bkulking,King-street,Park-street,,,,,,,,
33,Mosses,Tasso,Sea,Masses,,,,,,,,
34,Ivor,Vol,"Dunleath
OLD",vol,Godolphin,,,,,,,
35,Belvoir,CoRBovLD,sC,Boscobel,,,,,,,,
36,Packcts,Packet,Pocket,,,,,,,,,
37,night1,lI,Lamplight,,,,,,,,,
38,St. James's,"St.
George's",ST,Lyndhurst,St. Peter,Apt.,St.,,,,,
39,Perchanea,Chaucer,France,Chamber,Chance,,,,,,,
40,I.C.,Vignettes,vI.,,,,,,,,,
41,Thorneyeroft,New Type,New Myers,,,,,,,,,
