cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0.0,Paradise,ARAM,,,,,
1.0,Nottingham,not7,,,,,
2.0,Mosses,Masses,,,,,
3.0,Oak Opening,Oak Openings,,,,,
4.0,Cristofano,Cristofana,,,,,
5.0,MIidhipman Easy,oman,Eastcheap,,,,
6.0,Sandan,England,Inn-lane,Scotland,The Inland Sea,derisie lang,
7.0,flagon,,,,,,
8.0,Inn,Inn Fields,Wakefield,,,,
9.0,Portrait,WN Port,penetralia,,,,
10.0,Ovingdean Range,Abingdon,,,,,
11.0,Canterbury,Beehunter,Rotterdam,,,,
12.0,Pictures,laurel,Dauris,,,,
13.0,Lamplight,night1,campagna,,,,
14.0,Thorneyeroft,Thou,Author,Loftus,,,
15.0,Manon,anon,,,,,
16.0,Bohemian Libraries,ANTIQUARIES,,,,,
17.0,Leicestershire,Westminster,West,Zoroaster,nearest kinsman,,
18.0,New Myers,New Type,,,,,
19.0,Flapdragon,,,,,,
20.0,"Queen
Elizabeth's",Queechy,,,,,
21.0,Marked,MaRs,Mars,Get Married,,,
22.0,maturity1,City1,,,,,
23.0,Kensington,Washington,,,,,
24.0,Alabama,Calabria,,,,,
25.0,America,name1,me1,,,,
26.0,Barns,Temple-bar,,,,,
27.0,Satan,Satin,,,,,
28.0,Routledge,dwarf-,Southwark,South,,,
29.0,Charles,n Charles,,,,,
30.0,Haliburton,Streuton,Newton,Paston,PA8TON,Grafton,Pottleton
31.0,Sanctuary,France,Chance,Perchanea,,,
32.0,Packcts,Packet,Pocket,,,,
33.0,River,Serpentine,Antverp,Santa,,,
34.0,Millbank,Ill,Iiillbank,,,,
35.0,Perth,Kenilworth,World,Venice,,,
36.0,Boscobel,Belvoir,,,,,
37.0,Chaucer,Chamber,the Chaplain ages,,,,
38.0,Richmond,London Stone,LONDON,Old London,London,,
39.0,Orleans,Old Bailey,"Dunleath
OLD",Beatitudes,,,
40.0,R0DIE0GE'3,St. Peter,"St.
George's",St.,,,
41.0,Vignettes,Steel Plates,Steel,,,,
42.0,Rome,ROME,,,,,
43.0,ARIOL,Paris,PARIS,,,,
44.0,Mississippi,Tasso,Circassia,,,,
45.0,iNto,Wintry,Mackintoshes,,,,
46.0,KoNEIM,KoIIEIM,,,,,
47.0,Colour,Colours,Lyndhurst,,,,
48.0,vol,"Saint
James's-square",Faint,Saint,said4,,
49.0,Charing,Hare,Vol,Farquhar,hard1I,,
50.0,strayed1,Brandon,Strand,,,,
51.0,Bkulking,Park-street,King-street,New Fish-street,,,
52.0,that7,St. James's,Thames,,,,
53.0,Mardol,hidden1,Garden,Cowardly,,,
54.0,Blenheim,KRoNHEIM,Byron,,,,
55.0,Regent,Turk,Drury,"century,-a",,,
56.0,Godolphin,Achilles,china,,,,
57.0,Sea,scagliola,Italy,scaly sea-monster,,,
58.0,Beaumont,Rougemont,Rlougemont,lougemont,,,
59.0,Hyde Park,Park,HYDE PARK,,,,
60.0,AWHILE,TIE YAUXRALL-hAD,GaLlERY,Whitefriars,Whitehall,,
61.0,Finsbury,Midlothian,Lothbury,,,,
