cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,World,Kenilworth,WN Port,CoRBovLD,Oxford,Orleans,,,
1,KRoNHEIM,Byron,KoIIEIM,KoNEIM,Blenheim,,,,
2,nearest kinsman,Westminster,Beehunter,West,Zoroaster,scaly sea-monster,Leicestershire,Rotterdam,
3,DR,Podrida,Drury,,,,,,
4,the Chaplain ages,Vale,Charles,Hare,n Charles,Achilles,Farquhar,Charing,
5,that7,Perth,South,Thou,Southwark,Routledge,Author,,
6,LL,GaLlERY,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLmmmmm,FoLLowED,Whitehall,Ill,s--;a--,TIE YAUXRALL-hAD,
7,flagon,Flapdragon,,,,,,,
8,I.C.,vI.,,,,,,,
9,Iiillbank,Pompeii,Millbank,Iinker,,,,,
10,"Queen
Elizabeth's",Queechy,,,,,,,
11,HYDE PARK,Hyde Park,Park,,,,,,
12,Mardol,Mars,Whitefriars,Barns,MaRs,dwarf-,ARAM,Get Married,Marked
13,Streuton,Haliburton,Eastcheap,Pottleton,Paston,Grafton,Newton,Tokay,PA8TON
14,Sandan,penetralia,Strand,Portrait,Ovingdean Range,strayed1,,,
15,Faint,Sspin,"Saint
James's-square",Mackintoshes,Saint,Wintry,"AIfred-
p.",iNto,said4
16,Italy,it1,Fitful,wi,City1,,,,
17,maturity1,Turk,Pictures,Loftus,"century,-a",,,,
18,Inn,Wakefield,Inn Fields,,,,,,
19,sC,Scotland,England,Boscobel,The Inland Sea,Io,,,
20,.-l,M.A.,M. O.-,,,,,,
21,Las,Alabama,scagliola,Calabria,LA,laurel,&s.,Inn-lane,
22,Cristofano,Cristofana,,,,,,,
23,Satin,Watts,Nottingham,Beatitudes,Satan,,,,
24,Rougemont,Beaumont,Regent,R0DIE0GE'3,Rlougemont,lougemont,,,
25,Circassia,sir7,Mississippi,,,,,,
26,Venice,IO,Oak Opening,Oak Openings,,,,,
27,Colour,Colours,Lyndhurst,,,,,,
28,hard1I,Garden,Cowardly,hidden1,,,,,
29,Steel,Steel Plates,Vignettes,,,,,,
30,Richmond,LONDON,Old London,London,Curzon,Abingdon,Brandon,London Stone,
31,anon,"now,-",Manon,oman,MIidhipman Easy,Swan,not7,,
32,Thames,me1,America,name1,campagna,,,,
33,New Fish-street,Bkulking,King-street,Park-street,,,,,
34,Mosses,Tasso,Sea,Masses,,,,,
35,Kensington,china,Washington,Godolphin,,,,,
36,Belvoir,Ivor,Vol,"Dunleath
OLD",vol,,,,
37,Packcts,Packet,Pocket,,,,,,
38,Old Bailey,il,I6s,IL,AWHILE,,,,
39,night1,Temple-bar,lI,Lamplight,,,,,
40,Dauris,Bohemian Libraries,PARIS,ANTIQUARIES,Paradise,ARIOL,derisie lang,Paris,Ispahnn
41,St. James's,"St.
George's",ST,St. Peter,Apt.,St.,,,
42,Sanctuary,Perchanea,Chaucer,France,Chamber,Chance,,,
43,Santa,River,Serpentine,Antverp,,,,,
44,ROME,Cocxrox,Hermetic,Rookwood,Rome,,,,
45,Midlothian,Finsbury,Canterbury,Lothbury,,,,,
46,Thorneyeroft,New Type,New Myers,,,,,,
