cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Thorneyeroft,Thou,Curzon,wi,Author,,,,,
1,Colour,flagon,River,Colours,"AIfred-
p.",,,,,
2,HYDE PARK,Hyde Park,Park,Loftus,,,,,,
3,KRoNHEIM,Italy,Wakefield,ARAM,KoIIEIM,Io,KoNEIM,Blenheim,,
4,Vale,DR,Eastcheap,,,,,,,
5,that7,Kenilworth,WN Port,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLmmmmm,Portrait,,,,,
6,South,Southwark,laurel,Routledge,Vignettes,,,,,
7,scagliola,Byron,Midlothian,Barns,not7,,,,,
8,Sandan,Sanctuary,Santa,Queechy,Calabria,LA,ANTIQUARIES,Antverp,,
9,Rougemont,Beaumont,Rlougemont,me1,il,lougemont,hidden1,,,
10,World,ST,Pompeii,s--;a--,IL,,,,,
11,FoLLowED,Strand,France,strayed1,,,,,,
12,Old Bailey,"Dunleath
OLD",,,,,,,,
13,ROME,Faint,"Saint
James's-square",Saint,night1,said4,,,,
14,the Chaplain ages,Perchanea,it1,Chaucer,Chamber,Chance,,,,
15,Alabama,Tokay,Vol,,,,,,,
16,maturity1,Turk,Pictures,"century,-a",Lamplight,Rome,,,,
17,GaLlERY,Whitehall,TIE YAUXRALL-hAD,AWHILE,Ispahnn,,,,,
18,Charles,n Charles,Beatitudes,Charing,Orleans,,,,,
19,Ivor,Inn,Inn Fields,Inn-lane,,,,,,
20,Regent,Sspin,Serpentine,Satin,Nottingham,,,,,
21,Mars,Whitefriars,MaRs,Get Married,Marked,City1,,,,
22,Las,Podrida,Mackintoshes,Wintry,iNto,,,,,
23,St. James's,Belvoir,Thames,M. O.-,America,name1,,,,
24,Rookwood,Mosses,anon,Dauris,Cristofano,Cristofana,lI,derisie lang,,
25,Streuton,Haliburton,Pottleton,Paston,Grafton,Kensington,Newton,PA8TON,Washington,Satan
26,Venice,penetralia,Ovingdean Range,Oak Opening,Abingdon,Oak Openings,,,,
27,Steel,Steel Plates,Watts,,,,,,,
28,Richmond,LONDON,Old London,London,Brandon,London Stone,,,,
29,"St.
George's",Beehunter,St. Peter,Oxford,Rotterdam,St.,,,,
30,Iiillbank,.-l,Ill,Achilles,Millbank,,,,,
31,"Queen
Elizabeth's",R0DIE0GE'3,Mardol,Garden,Cowardly,dwarf-,Boscobel,,,
32,CoRBovLD,china,Godolphin,Pocket,,,,,,
33,Perth,Hermetic,sC,Fitful,Lyndhurst,campagna,Mississippi,,,
34,Westminster,West,Zoroaster,scaly sea-monster,Leicestershire,,,,,
35,nearest kinsman,Manon,oman,MIidhipman Easy,&s.,,,,,
36,New Fish-street,Bkulking,King-street,Park-street,,,,,,
37,Hare,hard1I,Farquhar,Swan,,,,,,
38,Tasso,Circassia,Masses,,,,,,,
39,LL,"now,-",M.A.,vol,,,,,,
40,Scotland,Sea,England,The Inland Sea,,,,,,
41,sir7,Iinker,Packcts,Packet,,,,,,
42,Temple-bar,New Type,New Myers,,,,,,,
43,Cocxrox,I.C.,IO,Apt.,,,,,,
44,Bohemian Libraries,PARIS,Paradise,ARIOL,Paris,,,,,
45,I6s,vI.,,,,,,,,
46,Flapdragon,Finsbury,Canterbury,Drury,Lothbury,,,,,
