cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,wi,west wind,,,,,,,
1,WUCHERING HEIGHTS,"Wuthering

Heights",Hercules,he'd,Butts,"Wuthering
Heights",WUTHERING HEIGHTS,Wuthering Heights,Heights
2,He’ll,Ill,Villa,You’ll,Lilies,IL,,,
3,London,Slough,Lockwood,Continent,Christendom,LONDON,,,
4,America,Gimmerton,Desert,sum~-,the Chapel of Glimmer-,,,,
5,Handle,"CAVENDISH S.

1847",England,"the
glan",hisland,Atlantic,,,
6,i’m,I’]l,,,,,,,
7,Satan,Titan,T.G.,,,,,,
8,Penistone Crags,Earrshaw,Harvest,Harmony,Sharpen,Harden,,,
9,france,France,,,,,,,
10,Niver,Phenix,Liverpool,,,,,,
11,Mr,,,,,,,,
12,Black Art,North,Earth,Yorkshire,fort,,,,
13,mun’n’t,n’t,on’t,,,,,,
14,Thrusheross Range,Miss.,Thrusheross Orange,us,Thrushcross Orange,Thrushcross park,Thrushcross,Thrushcross Range,
15,China,Linley,Whindale,,,,,,
16,the Orange:,"the Range
Park",Range,Orange,,,,,
17,Heathcliffs,Hearken,Heathcliff,,,,,,
18,Backhouses,« Sea,Sea,,,,,,
