cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,He’ll,Ill,You’ll,Lilies,sum~-,IL,Villa,,
1,England,hisland,Christendom,"CAVENDISH S.

1847","the
glan",Handle,,,
2,Heathcliff,the Chapel of Glimmer-,Heathcliffs,,,,,,
3,on’t,n’t,mun’n’t,,,,,,
4,he'd,"Wuthering

Heights",Heights,"Wuthering
Heights",WUTHERING HEIGHTS,Butts,Wuthering Heights,Hercules,WUCHERING HEIGHTS
5,Desert,Sea,« Sea,Backhouses,,,,,
6,the Orange:,Orange,"the Range
Park",Range,,,,,
7,Thrusheross Orange,Thrusheross Range,Thrushcross,Thrushcross Orange,Miss.,Thrushcross Range,Thrushcross park,us,
8,fort,North,Black Art,Earth,Yorkshire,,,,
9,Lockwood,Slough,LONDON,Gimmerton,London,,,,
10,i’m,I’]l,,,,,,,
11,America,Liverpool,Phenix,Niver,,,,,
12,france,France,,,,,,,
13,Linley,Mr,Whindale,China,,,,,
14,west wind,wi,,,,,,,
15,Harvest,Hearken,Earrshaw,T.G.,Harmony,Harden,Penistone Crags,Sharpen,
16,Continent,Titan,Satan,Atlantic,,,,,
