cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
-1,wi,us,America,Butts,Backhouses,Mr,T.G.,sum~-,Hearken,Yorkshire
0,i’m,I’]l,,,,,,,,
1,Heathcliffs,Heathcliff,,,,,,,,
2,Slough,Lockwood,,,,,,,,
3,« Sea,Sea,,,,,,,,
4,Niver,Liverpool,,,,,,,,
5,London,LONDON,,,,,,,,
6,mun’n’t,n’t,on’t,,,,,,,
7,france,France,,,,,,,,
8,Miss.,"CAVENDISH S.

1847",Christendom,,,,,,,
9,Thrusheross Range,Thrusheross Orange,Thrushcross Orange,Thrushcross park,Thrushcross,Thrushcross Range,,,,
10,the Orange:,"the Range
Park",Range,Orange,,,,,,
11,WUCHERING HEIGHTS,"Wuthering

Heights","Wuthering
Heights",WUTHERING HEIGHTS,Wuthering Heights,Heights,,,,
12,Gimmerton,the Chapel of Glimmer-,,,,,,,,
13,Hercules,Penistone Crags,He’ll,he'd,You’ll,Phenix,Desert,,,
14,Continent,Atlantic,,,,,,,,
15,Satan,Titan,,,,,,,,
16,Handle,England,"the
glan",hisland,,,,,,
17,Ill,Villa,IL,,,,,,,
18,China,Linley,west wind,Black Art,Whindale,Lilies,,,,
19,Earrshaw,Harvest,Harmony,Sharpen,Harden,,,,,
20,North,Earth,fort,,,,,,,
