cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Ill,i’m,You’ll,,,,,,
1,fort,Sea,n’t,on’t,mun’n’t,,,,
2,Thrushcross park,Thrushcross Range,Lockwood,Thrushcross Orange,IL,Thrusheross Range,Thrushcross,I’]l,Thrusheross Orange
3,Continent,North,Titan,Heathcliffs,Niver,,,,
4,China,He’ll,Phenix,sum~-,,,,,
5,france,west wind,France,Lilies,Yorkshire,,,,
6,America,he'd,Liverpool,Gimmerton,the Chapel of Glimmer-,,,,
7,London,Christendom,LONDON,« Sea,wi,Backhouses,,,
8,Whindale,T.G.,,,,,,,
9,Villa,Heathcliff,Black Art,Mr,Miss.,,,,
10,Slough,"CAVENDISH S.

1847",Satan,,,,,,
11,Penistone Crags,Butts,,,,,,,
12,Earth,Earrshaw,Hearken,,,,,,
13,Harvest,us,Sharpen,Harmony,Harden,,,,
14,"the Range
Park",Range,the Orange:,Orange,,,,,
15,"the
glan",Linley,Atlantic,Desert,England,Handle,hisland,,
16,WUTHERING HEIGHTS,Hercules,"Wuthering

Heights",Heights,WUCHERING HEIGHTS,Wuthering Heights,"Wuthering
Heights",,
