cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,Africa,Bay,America,Jamaica,,,,,
1.0,Cambridge,Camberwell,Knightsbridge,Sambo,,,,,
2.0,Rebeco,Bagshot,Rebecca,Quebec,,,,,
3.0,St. Kitt’s,St. Vincent’s,St.,St. Acheul,St. Kitts,St. Mary’s,,,
4.0,Roehampton,Southampton Row,Swamptown,Rochampton,Southampton,Brompton,Southampton Gaol,,
5.0,Brazil,Brava,Bramah,,,,,,
6.0,Faro,Kangaroo,Baronet,,,,,,
7.0,"ha,—there","Emmy’s,—their",Phere,,,,,,
8.0,Easter,East,S. Hieas,,,,,,
9.0,villa,Ill,Medulla,,,,,,
10.0,inn-land-,Flanders,Holland,Newfoundland,Switzerland,Scotland,Shetland,,
11.0,Arcadia,Piccadilly,archeologian,,,,,,
12.0,Pompeii,pomatum,Pompadour,,,,,,
13.0,Grosvenor,Rosa,Asvel,Venus,,,,,
14.0,Butler,Palermo,motley,Butes,,,,,
15.0,Prague,paragon,Demagogue,,,,,,
16.0,cali,Calumny,Dalilah,cali ocean,,,,,
17.0,St. George’s,"St.
George’s",St. George’s Hospital,,,,,,
18.0,Culais,Anglais,Monplaisir,,,,,,
19.0,Billingsgate,Harrogate,Ramsgate,Pharaoh,Margate,,,,
20.0,Fuddleston,Manton,Buxton,Alton,Stilton,Osbaldiston,Bricuton,mouton,
21.0,St. Helena,Jena,Saint Helena,,,,,,
22.0,Hampshire,HAMPSHIRE,Buckinghamshire,,,,,,
23.0,Kingdom,Abingdon,pekin,,,,,,
24.0,Orleans,Egalité Orleans,New Orleans,,,,,,
25.0,Hornby,Hornsey,Horn,Holborn,,,,,
26.0,Oxford,Bedford,Brentford,Sandford,,,,,
27.0,Provence,Providence,,,,,,,
28.0,Desert,Diesen,Servt,,,,,,
29.0,BRIGHTON,Brighton,,,,,,,
30.0,Ireland,the Peerage of Ireland,Except Ireland,most_melan-,,,,,
