cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118
-1,Fuddleston,Yellowjack,Portsmouth,Corydon,Camberwell,"Boulevard de
Gand",Kalydor,inn-land-,PP,the Latin Grammar,Talleyrand,Carmarthenshire,Wales,Flanders,Clytemnestra,Macmurdo,Holland,"compliments,—if",Naples,Dresden,Cognac,Esq,curacao,Bramah,Sugar,the Pincian Hill,Christchurch,Don Juan,Hart Street,Loyola,Spain,Newfoundland,West,Ricketts,sajd,the Valley of Diamonds,Hollyock,the Straight Waistcoat,Dumdam,Marengo,Pharaoh,handkerchiefs,Medulla,Kangaroo,Bagshot,Rowson,Machiavellian,Sands,Wittgenstein,the dark sea,"West End Hotels,—nevertheless",Truth,Leeds,ne&t,"the French Chargé d’ Affaires, M de Macabau",Ballinasloe,Turkey,Neapolitan,Saint Martin’s Lane,St. Vincent’s,Geography,UK,Bethesda Place,Ealing,Egil,Switzerland,the St. Leger,Alderney,golden auburn,Cecilia,Cornhill,be—.”—He,St. Acheul,Bicétre,Quashyboos,pekin,Brompton,Strasburg,motley,"avec sa
femme",Grays Inn,Nob,Burschen,Golconda,Germany,Richelieu,Schlippenschloppen,Ramchunder,India,Liverpool,the Aurelius Garden,Greek Street,archeologian,Vanity,Jamaica,Portansherry,Saint Kitts,Iphigenia,quarters.—And,Surrey,Philoméle,protégée,most_melan-,Sambo,Finchley,Willia,the Russian Order of Saint Nicholas,Inn of mornings,Nassau,Debrett,Casgandra,Puppets,Bonaparty,the Magic Flute,Muswell Hill,Toeplitz,Cheltenham,Armada,St. Mary’s
0,ZZ,Tn,JT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,XX,&c.,C.B.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P.S.,M.P.,M.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Borodino,R.A.,Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Miss,kiss,&.,&.—Miss,Miss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Troy,Rio Janeiro,Peggy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Music,Udolpho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Batavier,Nineveh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Eagles,l’aigle,twenty eagles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
