cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,Russia,Music,Australasia,Asia,Prussia,the Russian Order of Saint Nicholas,,,,,,,,,,,,
1,Smithfield,Moorfields,Fitzjurld,,,,,,,,,,,,,,,
2,Strumpff,Trumpet,Truth,Madame Strumpff,Pump,,,,,,,,,,,,,
3,Rawdon,Rawdon Crawley,Crawley,CRAWLEY,Rawaon,,,,,,,,,,,,,
4,Belgravia,Amelia,Dumdam,Cecilia,Machiavellian,Camelot,Dearest Amelia,Goliah,Cornelia,,,,,,,,,
5,Clapham,Clapp,PP,Club,,,,,,,,,,,,,,
6,La,Loyola,LA,Black Bess,la,Lacken,playa,Culais,Lausanne,Medulla,,,,,,,,
7,the Niagara cataract,the Latin Grammar,Prague,Pharaoh,the Arabian Nights,Trafalgar,curacao,Caradori,,,,,,,,,,
8,Bois de Boulogne,"Bois de
Boulogne",Boulogne,Louis,Boulogue,Bois,Cognac,"Boulevard de
Gand",,,,,,,,,,
9,"West End Hotels,—nevertheless",West End,twenty eagles,the West End,West,West End Swell,,,,,,,,,,,,
10,Blooms-,Thomson,Methodist,Ems,Soho,thou,,,,,,,,,,,,
11,Opera,Peerage,Kerahedy,Persia,Europe,Demerara,Peterwaradin,Peer,,,,,,,,,,
12,Holland,girl””—and,Ireland,Rio Janeiro,Shetland,Flanders,"care,—and",Regan,Switzerland,most_melan-,Scotland,Hsquire,Except Ireland,the Peerage of Ireland,,,,
13,Brienne,Cannes,Britannia,Sultan,Rule Britannia,Titania,britska,Britain,Brittany,Vittoria,Neapolitan,Vanity,,,,,,
14,Banbury,Albany,"bub""a",Edinburgh,Highbury Barn,Canterbury,Crackenbury,Mudbury,,,,,,,,,,
15,the Red Book,the City,"the City, Sir",White Hermitage,~It,City,us City,,,,,,,,,,,
16,Tours,NURSE,Pompadour,Mrs,Houri,,,,,,,,,,,,,
17,Stilton,Alton,Manton,Osbaldiston,Albion,Buxton,Fuddleston,,,,,,,,,,,
18,M.P.,XX,M.D.,P.S.,,,,,,,,,,,,,,
19,Ringwood,Charing,Longwood,Kingdom,&.,,,,,,,,,,,,,
20,Bedad,Bedford,Brentford,Sandford,Beddoes,Oxford,,,,,,,,,,,,
21,Old England,Anglais,England,Long Island,Bigland,Begleitung,,,,,,,,,,,,
22,Bart,Bagshot,Gayd,Bay,the Bay,Bombay,R.A.,Elba,,,,,,,,,,
23,Zwieback,Brunswick,CHISWICK,Chiswick,Harwich,Dulwich,History,Christchurch,zkich,,,,,,,,,
24,Higham,handkerchiefs,Thames St.,Turnham,Chatham,Thames,Hants,Feltham,Fulham,"ha,—there",Chaffers,Brougham,wham,CHATHAM,Cheltenham,,,
25,Saint Helena,sajd,Mount Saint John,Saint Jean,Saint Martin’s Lane,Saint Jams,,,,,,,,,,,,
26,Dublin,Binkie,inn,Inn,Injee,Nineveh,Spain,pekin,Inn of mornings,inn-land-,Grays Inn,,,,,,,
27,"St.
George’s",Geography,St. George’s,St. George’s Hospital,the St. Leger,,,,,,,,,,,,,
28,&.—Miss,Miss,Nassau,kiss,Miss.,,,,,,,,,,,,,
29,Wellington,Toeplitz,Wellingtons,Islington,,,,,,,,,,,,,,
30,Salamanca,France,Lance,the Atlantic Ocean,,,,,,,,,,,,,,
31,St. Helena,H.H.,S. Hieas,the H. H.,the Black Hole,the Hyde Park,,,,,,,,,,,,
32,Saint Kitts,St. Kitts,St. Kitt’s,Cutts,St.,,,,,,,,,,,,,
33,Bierstadt,Jady,Tadyship,Iphigenia,Grady,Ladyship,,,,,,,,,,,,
34,Minden,Baden,golden auburn,Judenstadt,Wiesbaden,Dresden,Wildbad,"Baden
Baden",,,,,,,,,,
35,Bruges,BRUSSELS,Sussex,Mt Brussels Becky,Brussels,,,,,,,,,,,,,
36,Monsieur Isidor,Monseigneur,Isidor,Monsieur,Monplaisir,monsignori,,,,,,,,,,,,
37,Helvellyn,Belgium,Richelieu,Asvel,,,,,,,,,,,,,,
38,Hall,Versailles,Billingsgate,Stillbrook,Cornhill,Squills,Piccadilly,villa,Ill,Muswell Hill,Willia,Gillespie,"Stillbrook, Becky",Denmark Hill,,,,
39,Ricketts,Jamaica,Cambridge,Camberwell,Cashmere,America,Metternich,Africa,Jericho,,,,,,,,,
40,St.James’s Park,Parc,Bonaparty,Hyde Park,Park,Japan,the dark sea,Lowparp-Srreer,Pare,Turkey,paragon,"Park
Lane",,,,,,
41,WATERLOO,Waterloo,Jupiter,Bayswater,Exeter,,,,,,,,,,,,,
42,Rebecca,Quebec,Debrett,Regulus,Rector,Rebeco,Becky,,,,,,,,,,,
43,New York,York,Cork,,,,,,,,,,,,,,,
44,"compliments,—if",Bantings,Continent,Regent,Magnificent,Maintenon,Flint,,,,,,,,,,,
45,ye Dob,Dob,Udolpho,Nob,Hobbs,Macmurdo,Kalydor,Dobbin,,,,,,,,,,
46,South-,Roehampton,Brompton,Southampton Row,Southampton,Southampton Gaol,Rochampton,"Lady
Southdown",mouton,the South Sea,,,,,,,,
47,Swamp Town,swan,Swamptown,"Swamp Town
Gazette",,,,,,,,,,,,,,
48,the Cannibal Islands,Coventry Island,Coventry,"Coventry
Island",,,,,,,,,,,,,,
49,Morocco,morocco,Roc,,,,,,,,,,,,,,,
50,Devonshire,Buckinghamshire,HAMPSHIRE,Empire,Hampshire,,,,,,,,,,,,,
51,Armada,Mars,Egeria,Maria,Cribb,Austria,Bulgaria,Siberia,Whitefriars,archeologian,,,,,,,,
52,Gravesend,Pineries,Diesen,Vienna,Sediey,,,,,,,,,,,,,
53,Noir,Finchley,chino,china,China,Maraschino,Borodino,,,,,,,,,,,
54,Paris,Moorish,Parisot,¢ris¢e,,,,,,,,,,,,,,
