cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,CAPE,Chapels,Peggy,Cape,Tape,Cape Town,Capri,Japan,,,,,,
1,London,London City,Golconda,Corydon,Babylon,LONDON,Polonia,Yonder,Richmond,Don Juan,"dong la
roo",Wimbledon,Ravdonn,Londonderry
2,Hall,Omphale,Mall,Ballinasloe,Talleyrand,,,,,,,,,
3,St. George’s,Geography,St. George’s Hospital,R.A.,Notgeung,"St.
George’s",&.,the St. Leger,,,,,,
4,the Hyde Park,Park,Parc,Lowparp-Srreer,"Park
Lane",Bonaparty,paragon,H.H.,St.James’s Park,Pare,Hyde Park,,,
5,Strumpff,Trumpet,Madame Strumpff,Truth,Pump,,,,,,,,,
6,Mango,Demagogue,Manton,Cracksman,Marengo,Angouléme,Spiggot,Germany,Jingo,Kangaroo,,,,
7,York,the Duke of York,Cork,Turkey,New York,,,,,,,,,
8,Butler,Palermo,"bub""a",Wya24,Butes,motley,,,,,,,,
9,Great Gaunt Street,white great~,Great Gaunt,Gaunt,Gaunt-square,Great Gaunt-,New Gaunt,Great Britain,,,,,,
10,Idon’t,XX,n’t,,,,,,,,,,,
11,"Swamp Town
Gazette",Swamptown,Swamp Town,Gazette,swan,,,,,,,,,
12,Mrs,Tours,NURSE,Burschen,,,,,,,,,,
13,Mudbury,Banbury,Edinburgh,Highbury Barn,Canterbury,,,,,,,,,
14,Buckinghamshire,HAMPSHIRE,Hampshire,Devonshire,,,,,,,,,,
15,Canada,Cannes,Esq,Rio Janeiro,Lausanne,,,,,,,,,
16,Tn,Flint,Saint Jean,Mount Saint John,Saint Martin’s Lane,Maintenon,Saint Helena,Spain,Saint Jams,,,,,
17,St. Helena,St. Kitts,St.,St. Kitt’s,Saint Kitts,,,,,,,,,
18,Peerage,Kerahedy,Peer,White Hermitage,the Peerage of Ireland,Opera,Prague,,,,,,,
19,Rebeco,Quebec,Rebecca,Debrett,,,,,,,,,,
20,Coventry,Coventry Island,"Coventry
Island",the Cannibal Islands,Long Island,,,,,,,,,
21,Bayswater,Waterloo,Jupiter,WATERLOO,Blooms-,WA,,,,,,,,
22,Leicester,Finchley,Winchester,Rochester,,,,,,,,,,
23,Lance,France,the Atlantic Ocean,Salamanca,,,,,,,,,,
24,"Bois de
Boulogne",Cognac,"Boulevard de
Gand",Boulogne,Boulogue,Louis,Bois de Boulogne,Cologne,,,,,,
25,be—.”—He,theim,Blenheim,"Emmy’s,—their",,,,,,,,,,
26,Moscow,Cowes,OW,Glowry,Bowls,know-,Rowson,O’Dowd,,,,,,
27,Leeds,Threadneedle,Threadneedle Street,,,,,,,,,,,
28,East,Nassau,Asvel,Easter,S. Hieas,Red Seas,,,,,,,,
29,Boney,Goneril,Baronet,Alderney,Spooney,ne&t,,,,,,,,
