cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32
0,Toscane,Mostaganem,Cancane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Madeleine,Inde,Magdelena,la Madeleine,Delmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Corse,perse,Corbeil,tricorne,corset,Corrège,A,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cygne de la Croix,rue de la Ferme et de la rue Tronchet,rue Transnonain,statue de la Liberté,hôtel de la rue Tronchet,pont de la Concorde,Arc de triomphe un cheval mort,pont de la Boucherie,rue de la Paix,Art et de la Nature !,porte de l'Alhambra,de l',bêtise de la Ligne,damas de laine brune,seuil de la lorette,Arc de triomphe,rue Tronchet,rue de la Ferme,rue de la Roquette,rue de la Harpe,colonne de Juillet,,,,,,,,,,,,
4,Sauvagesse,Femme-Sauvage,Osage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,boulevard Poissonnière,Poissonnière,Bonsoir,rue Paradis-Poissonnière,faubourg Poissonnière,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,place de la Bastille,place de la Madeleine,Las,Fables de Lachambeaudie,place de Vanneroy,tic-tac de la pendule,place de la Concorde,la Bastille,place Gaillon,place de la Bourse,,,,,,,,,,,,,,,,,,,,,,,
7,madras,Heudras,Madrid,Mazas,Prado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Zacharioe,Charivari,carbonaro,Paris,Variétés,Lovarias,Varaud,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Gardes,Garçon,Regardez,regardez,Gare,Niagara,Garde-Meubles,Desde,lourdes,Poissarde,Garde-Meuble,,,,,,,,,,,,,,,,,,,,,,
10,brune,brigand,Hongrie,Brie,Burrieu,Parisien,Bravo,Epicerie,Algérie,Mieux,Négrier,Pénurie,,,,,,,,,,,,,,,,,,,,,
11,République !,notre République,République,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Choiseul,Gauloises,l'Oise,Gaulois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Somme,Rome,Hippodrome,Corromps,sirop,Bohême,La somme,Comment,Roméo,Melun,,,,,,,,,,,,,,,,,,,,,,,
14,du Nord,du Havre,Havrais,gare du Havre,au Havre,le Havre,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Blackstone,Fumichon,Creton,Ton,Révélation,Livon,Conservatoire,wagon,Odéon,Antony,Dijon,,,,,,,,,,,,,,,,,,,,,,
16,hôtel de Nantes,Hôtel de Ville,boulevard de l'Hôpital,Le Vicaire,musée de Versailles,hôtel du Commerce,Te rappelles,Hôtel de ville,,,,,,,,,,,,,,,,,,,,,,,,,
17,rue de Valois,Préfecture de police,rue de Bréda,rue Joubert,rue de,rue de Choiseul,rue de l'Empereur,rue Soufflot,rue Duphot,rue de Rivoli,rue Jacob,rue de Richelieu,rue de Marbeuf,rue Drouot,tambour de basque,rue Descartes,M. de Cisy,rue de l'Arcade,rue de Provence,rue d'Anjou,rue des Martyrs,collège de Sens,rue de Chabrol,rue du Bac,rue de Laval,Chambre des députés,rue de Fleurus,de Suède,Vénus de Milo,rue Dauphine,Annuaire de Gotha,rue d',rue Rumford
18,bal des Tuileries,dôme des Tuileries,Tuileries,jardin des Tuileries,Chambre des passages des philosophes,ferme de Presles,Deslauriers,Hespérides,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bordelais,Bordelaise,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Levez,Avez,Venez,Savez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Archevêque,Marché-aux-Chevaux,Marché,Beaux-Arts,Marc-aux-Fées,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,XIIe arrondissement,arrondissement de la Fortelle,– A,XIIe,Rose Bron,XIe arrondissement,Délassements,Girondins,,,,,,,,,,,,,,,,,,,,,,,,,
23,Lesurques,Moulin-Rouge,Bourges,Gorge-au-Loup,Bourgeoise,dégorgea,Peaux-Rouges,Bourse,gorge-de-pigeon,Boutron,de Bourges,Luxembourg,,,,,,,,,,,,,,,,,,,,,
24,Cher,Long-Rocher,Changarnier,Rochefort,Boucher,Pêcherie,Herbigny,Chevalier,,,,,,,,,,,,,,,,,,,,,,,,,
25,Art,partez,Parlote,Appartements meublés,Sortez,Partez,Partout,Parthénon,Charte,,,,,,,,,,,,,,,,,,,,,,,,
26,L'Olympe,Olympe Regimbart,l'Olympe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Châtillon,Postillon,Apollonie,Postillon russe,postillon,Gaillon,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Buzançais,Misérable,Saint-François,Français,Française,François,Comédie-Française,Théâtre Français,,,,,,,,,,,,,,,,,,,,,,,,,
29,Suisse,Rossini,vessie,Assise,Gymnase,Masselin,Embrasse-le !,Venise,Impossible,Assis,Suissesse,la Pâtisserie,Brasseur,,,,,,,,,,,,,,,,,,,,
30,La Maréchale,la Maréchale,Maréchaux,Maréchale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Etrigny,Empoigne,Ligne,Soignez,pâlir,cygne,Religion,Lélia,Savigny,ligne du Nord,mignonne,lip-fraoli,,,,,,,,,,,,,,,,,,,,,
32,buis,Frères-Siamois,la Croix-Rousse,Trois-Rois,Croix des-Petits-Champs et du Bouloi,Sois,Trois-Maries,Trocadéro,,,,,,,,,,,,,,,,,,,,,,,,,
33,Chambrion,Chambord,Chambres,Champ de Mars,Cham,MM. Chambolle,Champs-Elysées,champagne,Ambigu,Forchambeaux,Change,Champ-de-Mars,Champagne,Béchamel,Chaillot,,,,,,,,,,,,,,,,,,
34,alluma,Allemande,Normandes,Allemagne,Allemand,Hollande,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bréda,Bréa,Bray,Réalisme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Renaissance,Havanais,Conférence,sais,la Renaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Constantinople,Institut,Pitié,Injustice,Institutes,Inquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Palais Royal,Palais,théâtre du Palais-Royal,Alpes,Palais-Royal,Palais-Royal !,rue Royale,Palazot,,,,,,,,,,,,,,,,,,,,,,,,,
39,Lyon,Hussonnet,Yonne,Frisonne,Sorbonne,Vanneroy,baïonnettes,Trône,,,,,,,,,,,,,,,,,,,,,,,,,
40,Dupont,pont d'Arcole,pont de Charenton,Japon,Ponts,Panthéon,pont d'Iéna,pont Royal,Poncif,Rond-Point,,,,,,,,,,,,,,,,,,,,,,,
41,languir,Blanqui,Languedoc,orang-outang,Guirlande,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Ledoux,Arnoux,Voulez,Pidoux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,la Seine,La Seine,hein,Seine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Bobino,théâtre Bobino,théâtre du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,le Pays,Paraguay,Pays,Aulnays,Ruysdaël,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Andalouse,L'Andalouse,Andalouses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,boulevard des Capucines,Jardin des Plantes,boulevards des Gobelins,Jardin des plantes,Yankees,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Tournelle,Tournez,Letourneur,Fleurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Berlin,Baslin,Liberté,Bertinaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Autorité,Cité,Unité,du truité,Cisy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Grammont,Montebello,Montagne,Lola Montés,monta,Fontainebleau,Aspremont,Lacédémone,Montcharron,Montez,Piémont,la Daumont,Montataire,Otant,,,,,,,,,,,,,,,,,,,
52,bois de Boulogne,Pologne,la Pologne,bouleversa,Boulogne,Loulou,Bourgogne,,,,,,,,,,,,,,,,,,,,,,,,,,
53,quai Voltaire,quai d'Orsay,Orsay,parlote d'Orsay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Rendez,Présentez,Carpentras,Entrez,Rentrons,Prenez-,nuestra patria cuenta numerosos,Enivrez,Comprenez,nôtre,,,,,,,,,,,,,,,,,,,,,,,
55,Polonaise,Bourbonnais,Béarnais,Connais,Polonais,Connaissant,Lamennais,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Barcelone,Londres,Désubalternisation,Salut,Salons,Sanson,Grand Salon,Salon,caleçon,Anglo-Saxonnes,Ablon,,,,,,,,,,,,,,,,,,,,,,
57,revolución,Irez,Restez,Suriret,Retirez,Hydre,retirez,Direction,l'Empire,Foire,Reynolds,heroicos mártires,,,,,,,,,,,,,,,,,,,,,
58,Dulaure,Eure,l'Europe,Suresne,Docteur,Procédure,langoureux,guipure,serrure,Précepteur,,,,,,,,,,,,,,,,,,,,,,,
59,Poitiers,escholiers,Thiers,Philosophie,Canonniers,Pierrot,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Norvins,ganse,Orléans,galerie d'Orléans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Ecosse,Ecossais,Colosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,rue Paradis,Rue Paradis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Armes,Ormes,Desolmes,place d'Armes,Palerme,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Orientaux,Richelieu,Autrichien,Autrichiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Grange-Batelière,Liban,Bacchante,Considérant,Barante,Quarante,Barbès,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Prusse,Gueuse,Vénus,Russes,Presse,Muséum,Russie,,,,,,,,,,,,,,,,,,,,,,,,,,
67,L'Espagnol,Espagnolet,l'Espagne,d'Espagne,Espagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Châtelet,Châlons,châle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Clerc,Percepteur,Cerfs,Siècle,Cercle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,pont Neuf,A Elbeuf,Pont-Neuf,le Pont-Neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Louvre,dôme du Louvre,collections du Louvre,Au Louvre,Pouvoir,au Louvre,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Peuh,Naples,Temple,Peuple,Occupez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Sénécal,notre Sénécal,porte Sénécal,continua Sénécal,notre Sénécal !,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Régence,Provençaux,Provence,La Providence,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Moyens,Le Citoyen,Benedicite,le Citoyen,Voyez,Citoyen,Moyen Age,Troyes,Citoyens,,,,,,,,,,,,,,,,,,,,,,,,
76,Almanach du Commerce,Carrousel,place du Marché,seuil du boudoir,place du Carrousel,Place du Carrousel,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Turque,Turc,Magistrature,Turcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,hôtel Lambert,fosse de M. Dambreuse,hôtel Dambreuse,Hôtel-Dieu,Dambreuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Cléry,Odry,Oudry,Dunod,Ivry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Balandard,Laval,Larsillois,Lara,Allard,Balaruc,Pardon,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Flacourt,Pompadour,Sourdun,Véfour,Coup,Cour,– Oui,Ecoutez,coucou,Cousin,Nonancourt,,,,,,,,,,,,,,,,,,,,,,
82,Vésuve,Auvergnat,Dagneaux,Gouvernement,Auvergne,Bugneaux,Auger,,,,,,,,,,,,,,,,,,,,,,,,,,
83,chapelle Saint-Saturnin,chapelle Saint-Nicolas,porte Saint-Denis,rue Saint-Dominique,rue Saint-Honoré,rue Saint-Victor,boulevard Saint-Denis,rue Saint-Denis,rue Saint-Jacques,rue des Francs-Bourgeois-Saint-Michel,de Saint-Denis,rue Saint-Hyacinthe,île Saint-Louis,,,,,,,,,,,,,,,,,,,,
84,rue Fromanteau,Fromanteau,rue Rambuteau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,rue Lafayette,Bouttevilain,Mettez,Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,esprit-de-vin,Notre-Dame,Caverne-des-Brigands,Notre-Dame-des-Victoires,rue Notre-Dame-des-Victoires,pierre de Notre-Dame,Notre-Dame de Lorette,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Démocratie,Magnifique,Démocratie pacifique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,rue Saint-Martin,porte Maillot,Cinq-Mars,rue Caumartin,Porte-Saint-Martin,porte Saint-Martin,faubourg Saint-Martin,Martinon,théâtre de la Porte-Saint-Martin,,,,,,,,,,,,,,,,,,,,,,,,
89,Meudon,Pharamond,Morgue,mornes,bonds,Mondor,Rudorff,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Nogentais,Nogent-sur-Seine,Vraiment,Nogent,Genève,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,As-tu cent,As-tu,Es-tu,Y es-tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Père-Lachaise,Angleterre,Législative,Anglais,Anglaise,Laisse,Irlandais,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Sainte-Chapelle,Sainte-Pélagie,pâlissante,nankin,Sainte-Geneviève,Rosanette,Sainte-Anne,Sainte-Alliance,Saint-Antoine,rue Sainte-Anne,,,,,,,,,,,,,,,,,,,,,,,
94,Angelmarre,Mably,Mormans,damas,Panoramas,Grands Lamas,Maman,Salamanque,Summa,,,,,,,,,,,,,,,,,,,,,,,,
95,quai Saint-Bernard,Saint-Gervais,Saint-Valéry,Saint-Marceau,Saint-Jacques,Saint-Cloud,Saint-Honoré,Saint-Paul,Comaing,Saint-Germain,Mont-Saint-Michel,Saint-Roch,Saint-Louis,Saintonge,Villeneuve-Saint-Georges,Saint-Ferdinand,Saint-Thomas,,,,,,,,,,,,,,,,
96,états-majors,Celuta,Mouffetard,hasta,Etretat,Etat,Catau,Atala,,,,,,,,,,,,,,,,,,,,,,,,,
97,cachemire,Sèvres,La Fougère,turbotière,Vêpres,Ministre,Laromiguière,Premières,,,,,,,,,,,,,,,,,,,,,,,,,
98,Filly,Chailly,Chantilly,Andilly,Tibi,Billy,Morelly,Neuilly,Milliet,,,,,,,,,,,,,,,,,,,,,,,,
99,Arrêtez,Arrêté,Prêtés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Malebranche,punch,manche,la manche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Rubens,l'Aube,conseil général de l'Aube,Aube,Beauté,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,La terre,port de Montereau,Ville-de-Montereau,Saumon,Longjumeau,Montereau,Moreau,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Esséniens,Amiens,Vénitienne,Montpensier,Fouvens,Sens,Tiens,Deviens,,,,,,,,,,,,,,,,,,,,,,,,,
104,Ohé,Hébés,rue Coq-Héron,Véronèse,Coq-Héron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Vatnaz,Mlle Marthe,Nogent Mlle Vatnaz,Mlle Vatnaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
