cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
0,Connais,Havanais,sais,Lamennais,Bourbonnais,Connaissant,Béarnais,,,,,,,,,,,,,,,,,,,,,,
1,Laisse,Suisse,Suissesse,buis,la Pâtisserie,,,,,,,,,,,,,,,,,,,,,,,,
2,Percepteur,Précepteur,Auteuil,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Arrêté,Prêtés,Arrêtez,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cour,Ecoutez,Coup,Nonancourt,Flacourt,Pompadour,lourdes,Cousin,Sourdun,Véfour,coucou,,,,,,,,,,,,,,,,,,
5,Château-d'Eau,Beauté,Château,le Château-d'Eau,Châtelet,,,,,,,,,,,,,,,,,,,,,,,,
6,jura,murmura,curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Somme,La somme,Comment,Summa,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jardin des plantes,Jardin des Plantes,Picardie,,,,,,,,,,,,,,,,,,,,,,,,,,
9,hôtel des Affaires Etrangères,Où es,Affaires-Etrangères,Petites Affiches,,,,,,,,,,,,,,,,,,,,,,,,,
10,Gauloises,Gaulois,Choiseul,l'Oise,,,,,,,,,,,,,,,,,,,,,,,,,
11,Peuh,Peuple,Naples,Temple,Occupez,,,,,,,,,,,,,,,,,,,,,,,,
12,Orientaux,Brie,Burrieu,Pénurie,Négrier,Epicerie,brune,Hongrie,Mieux,Algérie,Art industriel,,,,,,,,,,,,,,,,,,
13,notre République,République,République !,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Palais-Royal,théâtre du Palais-Royal,Palais Royal,Palais-Royal !,rue Royale,Palazot,Palais,Laval,,,,,,,,,,,,,,,,,,,,,
15,du Nord,Dunod,Norvins,ligne du Nord,,,,,,,,,,,,,,,,,,,,,,,,,
16,pont d'Iéna,pont d'Arcole,Iéna,pont de Charenton,,,,,,,,,,,,,,,,,,,,,,,,,
17,Docteur,Eure,Suresne,Procédure,serrure,Magistrature,l'Europe,Dulaure,langoureux,Fleurs,guipure,,,,,,,,,,,,,,,,,,
18,Odéon,Ton,Livon,Creton,wagon,Meudon,Antony,Dijon,Blackstone,,,,,,,,,,,,,,,,,,,,
19,parlote d'Orsay,quai d'Orsay,Orsay,Parlote,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pidoux,Arnoux,Ledoux,,,,,,,,,,,,,,,,,,,,,,,,,,
