cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156,elem_157,elem_158,elem_159,elem_160,elem_161,elem_162,elem_163,elem_164,elem_165,elem_166,elem_167,elem_168,elem_169,elem_170,elem_171,elem_172
-1,Laisse,Restez,Vésuve,tambour de basque,Orientaux,Dittmer,Benedicite,appendus,Chapeau,Rochefort,Croix des-Petits-Champs et du Bouloi,Procédure,Montcharron,l'Empire,Style,Fables de Lachambeaudie,Norvins,Samedi,Bouquet-du-Roi,Livon,Art et de la Nature !,tic-tac de la pendule,rue Tronchet,Forchambeaux,Surville,Champs-Elysées,la Croix-Rousse,Montreuil-Nantua,Philosophie,Morgue,porte Maillot,Sèvres,Larsillois,Inquisition,rue de l'Empereur,Pardon,Saint-Ferdinand,Anjou,Chantilly,Don Juan de Molière,Père-Lachaise,Vincennes,rue Dauphine,wagon,Pellerin,Californie,Milliet,pâlir,Fumichon,Le Vicaire,Conservatoire,Où es,rue Drouot,Muséum,Bertinaux,Reynolds,Sanson,Magnifique,Gueuse,Mlle,Dumersan,Saint-Thomas,Las,Bac,bourriquet,Vive,Bourse,Bouttevilain,Comines,Frères-Siamois,caleçon,heroicos mártires,Comaing,Pompadour,A,colonne de Juillet,Liberté,Montpensier,Américains,Laromiguière,Annuaire de Gotha,rue de Marbeuf,alluma,Ruysdaël,de l',cygne,Poncif,Long-Rocher,Saint-Antoine,Magistrature,MM. Chambolle,quai Voltaire,la Pâtisserie,Présentez,Palazot,ferme de Presles,rue Saint-Victor,Appartements meublés,Vaudeville,rue de l'Arcade,Cléry,rue Duphot,quai Saint-Bernard,hein,Pitié,Inde,Venise,rue de Rivoli,Carpentras,rue de la Roquette,Lélia,Pierrot,Parthénon,rue Rambuteau,Apollonie,rue Transnonain,Longjumeau,Bobino,Délassements,Lacédémone,Genève,Corbeil,Saint-Marceau,Bacchante,Occupez,Epicerie,Dijon,La Fougère,Mostaganem,Vit,rue Rumford,Auteuil,Loulou,pâlissante,Palerme,rue Bellefond,Grange-Batelière,l'Oise,sirop,seuil de la lorette,Cygne de la Croix,Premières,hôtel Lambert,nuestra patria cuenta numerosos,Osage,rue de Valois,lip-fraoli,Villeneuve-Saint-Georges,porte de l'Alhambra,Préfecture de police,Fleurs,Saintonge,Lorraine,Bonsoir,états-majors,pont de Charenton,rue du Bac,Villenauxe,Saint-Valéry,Hôtel-Dieu,Pouvoir,turbotière,Hauteville,Savoyard,Leloir,Aspremont,A Elbeuf,Saint-Roch,Fontainebleau,Petites Affiches,Art industriel,Alpes,seuil du boudoir
0,Hébés,Ohé,Bohême,Tibi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Institut,Institutes,Injustice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jura,murmura,curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Chapitre 6 
Son","Chapitre 6 
Ruiné",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,– A,– Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,esprit-de-vin,Religion,Gymnase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Rossini,Impossible,Ambigu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,hasta,Barcelone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,jugeât,Auger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
