cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0,Ecole Militaire,Ecoles,quai Voltaire,Le Vicaire,,,,,,,,,,,,,,,,,
1,fiacre,Creton,nacre,Creil,,,,,,,,,,,,,,,,,
2,Atala,Catau,,,,,,,,,,,,,,,,,,,
3,Foire,Pouvoir,Leloir,Conservatoire,l'Empire,,,,,,,,,,,,,,,,
4,Affaires-Etrangères,La Fougère,Frères-Siamois,hôtel des Affaires Etrangères,,,,,,,,,,,,,,,,,
5,Peuple,Naples,Temple,,,,,,,,,,,,,,,,,,
6,Esséniens,Amiens,Deviens,Sens,Rubens,Muséum,Fouvens,Tiens,,,,,,,,,,,,,
7,Brasseur,Embrasse-le !,Masselin,Cisy,,,,,,,,,,,,,,,,,
8,Chambre des passages des philosophes,Chambre des députés,Fables de Lachambeaudie,Chambres,porte de l'Alhambra,,,,,,,,,,,,,,,,
9,Saint-Cloud,Saint-Gervais,île Saint-Louis,Saint-Valéry,Saint-Ferdinand,sais,Saint-Roch,Saint-Paul,Saint-Louis,Saint-François,Laval,quai Saint-Bernard,Saint-Thomas,Saint-Jacques,Saint-Germain,Mont-Saint-Michel,Villeneuve-Saint-Georges,Saintonge,Saint-Honoré,Saint-Antoine,
10,Yonne,colonne de Juillet,baïonnettes,Anglo-Saxonnes,Sorbonne,Frisonne,Hussonnet,mignonne,,,,,,,,,,,,,
11,Bourgogne,Luxembourg,Bourse,Bourgeoise,tambour de basque,de Bourges,Bourges,,,,,,,,,,,,,,
12,hôtel du Commerce,Hôtel de Ville,Hôtel-Dieu,Hôtel de ville,hôtel de Nantes,,,,,,,,,,,,,,,,
13,Change,Angelmarre,Grange-Batelière,Bacchante,Changarnier,,,,,,,,,,,,,,,,
14,Gorge-au-Loup,dégorgea,gorge-de-pigeon,,,,,,,,,,,,,,,,,,
15,le Pont-Neuf,Pont-Neuf,pont Neuf,Vit,A Elbeuf,,,,,,,,,,,,,,,,
