cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0.0,du Nord,Norvins,ligne du Nord,,,,,,,,,,,,,,,,,,,,
1.0,Toscane,Mostaganem,Cancane,,,,,,,,,,,,,,,,,,,,
2.0,souffla,Mouffetard,rue Soufflot,,,,,,,,,,,,,,,,,,,,
3.0,rue Saint-Martin,Saint-Marceau,rue Caumartin,Porte-Saint-Martin,porte Saint-Martin,faubourg Saint-Martin,Martinon,théâtre de la Porte-Saint-Martin,,,,,,,,,,,,,,,
4.0,Suisse,buis,Laisse,Suissesse,la Pâtisserie,,,,,,,,,,,,,,,,,,
5.0,Celles,Halles,Pellerin,rue Bellefond,Fortelle,Bellevue,Te rappelles,Bagatelle,,,,,,,,,,,,,,,
6.0,bal des Tuileries,dôme des Tuileries,Tuileries,jardin des Tuileries,,,,,,,,,,,,,,,,,,,
7.0,rue de la Ferme et de la rue Tronchet,hôtel de la rue Tronchet,pont de la Concorde,pont de la Boucherie,Art et de la Nature !,rue Tronchet,rue de la Ferme,,,,,,,,,,,,,,,,
8.0,Somme,La somme,Comment,,,,,,,,,,,,,,,,,,,,
9.0,brigand,ganse,Caverne-des-Brigands,,,,,,,,,,,,,,,,,,,,
10.0,boulevard Poissonnière,Poissonnière,turbotière,rue Paradis-Poissonnière,faubourg Poissonnière,,,,,,,,,,,,,,,,,,
11.0,Chinois,Bains-Chinois,la Chine,Chine,,,,,,,,,,,,,,,,,,,
12.0,Pradier,Comédie,Prado,,,,,,,,,,,,,,,,,,,,
13.0,Hongrie,Fumichon,Négrier,,,,,,,,,,,,,,,,,,,,
14.0,place de la Bastille,hasta,tambour de basque,place de Vanneroy,place de la Concorde,la Bastille,place de la Bourse,,,,,,,,,,,,,,,,
15.0,madras,Heudras,Madrid,,,,,,,,,,,,,,,,,,,,
16.0,Zacharioe,Charivari,Variétés,Lovarias,,,,,,,,,,,,,,,,,,,
17.0,Celuta,Barcelone,Salut,Melun,,,,,,,,,,,,,,,,,,,
18.0,La terre,Angleterre,,,,,,,,,,,,,,,,,,,,,
19.0,Dupont,Japon,Ponts,pont Royal,Poncif,,,,,,,,,,,,,,,,,,
20.0,Démocratie,Démocratie pacifique,Lacédémone,,,,,,,,,,,,,,,,,,,,
21.0,Brie,Burrieu,Epicerie,Algérie,Art industriel,Pénurie,,,,,,,,,,,,,,,,,
22.0,Choiseul,Gauloises,l'Oise,Gaulois,,,,,,,,,,,,,,,,,,,
23.0,Rome,Hippodrome,Roméo,,,,,,,,,,,,,,,,,,,,
24.0,Rossini,Ministre,Impossible,,,,,,,,,,,,,,,,,,,,
25.0,du Havre,Havrais,gare du Havre,au Havre,le Havre,,,,,,,,,,,,,,,,,,
