cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0.0,Byron,Lazaroni,Throne,Barony,,,,,,
1.0,the United States,the United Provinces,Hippocrates,the United Kingdom,Estates,,,,,
2.0,Rigby,Rigbys,,,,,,,,
3.0,BOoK VIII,brook,,,,,,,,
4.0,Mademoisele,Mademoiselle Flora,,,,,,,,
5.0,here3,Heroes,here2,Jeremiads,,,,,,
6.0,spain,Spain,,,,,,,,
7.0,Castle,Caucasus,East,Newcastle,,,,,,
8.0,Hades,Desert,Nebuchadnezzar,,,,,,,
9.0,woodland,Highland,midland,Monkey Island,Tamerlane,Chudleigh,Scotland,Languedoc,the Holy Land,Poland
10.0,Hanover,Hansard,Sovereigns,,,,,,,
11.0,Monte,Leontius,Richmond,,,,,,,
12.0,Westminster,West India,West,Weston,,,,,,
13.0,Providence,Maidenhead,Adelaide,Blenheim,Headingley,,,,,
14.0,Phenix,Venice,Munich,,,,,,,
15.0,the green district,Ministry,Austria,the green mountains,,,,,,
16.0,Leicestershire,Manchesters,Duchess,Manchester,,,,,,
17.0,Trillion,Phillippics,Oppidan,"Salt
Hill",Philip,,,,,
18.0,Thou,Althorp,,,,,,,,
19.0,Temple,Principle,Naples,,,,,,,
20.0,Roxalana,Granada,Panama,Jamaica,Lepanto,,,,,
21.0,Rebels,Belgium,,,,,,,,
22.0,Madrid,madrid,Cambridge,,,,,,,
23.0,Mill,Milbanks,MILLBANK,Milbank,Millbank,,,,,
24.0,Ravenna,Yunnan,Vienna,,,,,,,
25.0,Seine,Holbein,Palestine,,,,,,,
26.0,Moffatt,Grand Cairo,Strand Coffee-,Strand,,,,,,
27.0,the Persian Empire,Persia,Taper,Opera,,,,,,
28.0,America,Nilotic Africa,Africa,,,,,,,
29.0,Luxembourg,Journals,Burnet,Melbourne,,,,,,
30.0,Mauritania,Albania,Albany,,,,,,,
31.0,Lucretia,Venetian Republic,the Republic of Paris,the Venetian Republic,,,,,,
32.0,Cottage,Gazette,Loretta,adore2,,,,,,
33.0,Windsor,"Windsor
Park",Windsor rang,,,,,,,
34.0,Infirmary,St. Paul,St. Mary's,St.,Marquess,,,,,
35.0,Naples Sidonia,Embassy,iSidonia,Sidonia,Monsieur Sidonia's,Medina Sidonia,Monsieur Sidonia,,,
36.0,Paria,Paris,paris,,,,,,,
37.0,Bacchantes,Canterbury,Strachan,Boccaccio,,,,,,
38.0,INjury Sydney,Sydney,,,,,,,,
39.0,Lancaster,Study,Studcaster,,,,,,,
40.0,Athens,Thebes,Hebrews,,,,,,,
41.0,Coningsby,Coningsbyl,Coningsby ta,Learning,,,,,,
42.0,Western Sharps,Western Europe,Europe,,,,,,,
43.0,"the San
Benito",San Benito,Benito,,,,,,,
44.0,St. Petersburg,"St.
Petersburg",Edinburgh,Augsburg,,,,,,
45.0,London,Clarendon,Kildare,,,,,,,
46.0,Berlin,Watertown,Plateau,Waterloo,,,,,,
47.0,M. Ville-,dishabille,Ill,Seville,Villebeeque,Ville,Willesden,,,
48.0,Saxon,Saxony,,,,,,,,
49.0,Helingsley,Wesleyans,Wellesley,Wellington,Hellingsby,Hellingsley,Iellingsley,,,
50.0,Toledo,Wimbledon,Macedon,,,,,,,
51.0,Nemesis,St. James,St. James's,St. James',,,,,,
52.0,Palmerston,Wotton,Brighton,Eaton,Melton,Shabbyton,,,,
53.0,confiscated Ireland,Westmoreland,Ireland,ireland,,,,,,
54.0,Oxford,Brazil,Dartford,Bradford,Forum,,,,,
55.0,Italy,Monmouth,South,Southern Italy,Inferno,,,,,
56.0,Charta,Sparta,,,,,,,,
57.0,Carlton Gardens,CARDIFF,Lisbon,Carlist,,,,,,
58.0,the British Isles,Peninsula,the Spanish Peninsula,,,,,,,
59.0,Magog,Aragon,,,,,,,,
60.0,Frenchwomen,Frenchmen,,,,,,,,
61.0,Alps,Neapolitan,Walpole,,,,,,,
62.0,the County Chronicle,midland county,the County of -,,,,,,,
63.0,Mlle,Colleges,Aegean,Regent,,,,,,
64.0,Sussex,Teesdale,Jerusalem,Rossendale,absent2,,,,,
65.0,Louis Qua-,Baltic,Aquatic,Torquamada,,,,,,
66.0,Penelope,Barnes,Babylon,Barcelona,,,,,,
67.0,Irish Secretaryship,Friendship,Ladyship,,,,,,,
68.0,Victoria,Field,"Orient-
tal",Oriel,,,,,,
69.0,Hall,Whites,invite2,white bait,Whitehall,,,,,
70.0,Hindostan,Sinai,China,Ferdinand,,,,,,
71.0,Marlborough,Bilborough,Borough,Slough,,,,,,
72.0,Ermengarde,Derby,Aldermen,,,,,,,
73.0,Birmingham,tin2,Potts,Everingham,Nottingham,,,,,
74.0,england,England,ENgland,,,,,,,
75.0,St. John,St. John's,,,,,,,,
76.0,Rome,Mahomet,De Lome,,,,,,,
77.0,Realm,realy,,,,,,,,
78.0,Lawgiver,Liverpool,,,,,,,,
79.0,Milan,Nile,Mile,,,,,,,
80.0,Hel,Mediterranean,Shelter,,,,,,,
81.0,Earwig,Froissart,Carthage,earth,,,,,,
82.0,Rivoli,the Oil de Beuf,"the Run
Rivoli",,,,,,,
83.0,France,Frankfort,france,,,,,,,
84.0,Northamptonshire,Tamworth,the Northern Sea,Wilkie,North,,,,,
85.0,Lucca,Culloden,Lucullus,,,,,,,
86.0,Prussia,Russia,,,,,,,,
87.0,the Prince Colonna,Madame B. de R-d,Colonna,Madame Colonna,,,,,,
88.0,Berkshire,Hertfordshire,Lancashire,Yorkshire,,,,,,
89.0,Valparaiso,Cadiz,Paradise,,,,,,,
90.0,Trautsmandorff,Manhood,Germany,Anon,Benumanoir,,,,,
91.0,Lyndhurst,Isthmus,Christchurch,,,,,,,
92.0,Greece,,,,,,,,,
93.0,greece,,,,,,,,,
94.0,Park,the Lock Pool,Hyde Park Place,the Upper Park,the Lower Park,,,,,
95.0,Street,Arlington Street,Downing Street,,,,,,,
96.0,Moorish kingdom,The Kingdom of France,King,KIng,Kingdom,,,,,
97.0,Nuneham,Thames,Amersham,Durham,,,,,,
98.0,NEW GENERAII0N.,St. Gene-,Geneva,St. Genevieve,,,,,,
99.0,the Moslem Arabs,tnnbibia,Arabia,,,,,,,
