cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Studcaster,East,Study,Isthmus,Lancaster,,,,,,,,,
1,Russia,Embassy,Austria,Persia,Prussia,Jerusalem,Sussex,us,Si,,,,,
2,Regent,absent2,Egypt,"Orient-
tal",Aegean,,,,,,,,,
3,Irish Secretaryship,Berkshire,Hertfordshire,Leicestershire,Yorkshire,,,,,,,,,
4,Hellingsley,Iellingsley,Wellington,Hellingsby,Headingley,Helingsley,,,,,,,,
5,Magog,madrid,Madrid,Maidenhead,Lima,DR,Mauritania,,,,,,,
6,Phillippics,Philip,Oppidan,,,,,,,,,,,
7,Coningsby,Coningsby ta,Coningsbyl,,,,,,,,,,,
8,Plateau,La,Languedoc,Ladyship,Lazaroni,Roxalana,Lawgiver,,,,,,,
9,Pah1,paris,Carlist,Paradise,Pavia,Paria,Park,Valparaiso,Froissart,Paris,the British Isles,,,
10,Sidonia,Monsieur Sidonia's,Medina Sidonia,Naples Sidonia,Monsieur Sidonia,iSidonia,,,,,,,,
11,Lancashire,Westmoreland,Ireland,confiscated Ireland,ireland,,,,,,,,,
12,the Persian Empire,the Venetian Republic,Blenheim,the Republic of Paris,Venetian Republic,tibet,,,,,,,,
13,Mademoisele,Mademoiselle Flora,Temple,Adelaide,,,,,,,,,,
14,spain,Spain,Sinai,Spinoza,,,,,,,,,,
15,Kingdom,tin2,King,inn,KIng,China,Learning,Infirmary,Moorish kingdom,Holbein,Seine,,,
16,Sparta,Hansard,Charta,Nebuchadnezzar,Carthage,Christchurch,,,,,,,,
17,CARDIFF,Cadiz,Carlton Gardens,suffix,,,,,,,,,,
18,Shabbyton,Barcelona,Macedon,London,Wimbledon,Anon,Eaton,Richmond,Babylon,Byron,Monte,Leontius,Clarendon,Lisbon
19,Opera,Penelope,Europe,Eu,Western Europe,,,,,,,,,
20,Granada,Pagan,Panama,Lepanto,Yunnan,Manhood,,,,,,,,
21,France,france,The Kingdom of France,Frankfort,,,,,,,,,,
22,Louis Qua-,Aquatic,Baltic,,,,,,,,,,,
23,the green mountains,Greece,greece,,,,,,,,,,,
24,Italy,Alps,realy,Realm,,,,,,,,,,
25,Sydney,"L 2
22",INjury Sydney,,,,,,,,,,,
26,Pitt,Moffatt,Potts,Cottage,Wotton,,,,,,,,,
27,Field,Hel,Belgium,Ely,Melton,Rebels,Oriel,Israel,el,,,,,
28,Earwig,wi,Sedgwick,Wilkie,,,,,,,,,,
29,Venice,Benumanoir,"the San
Benito",Benito,"to0,000",Phenix,San Benito,,,,,,,
30,Frenchmen,Friendship,Ravenna,Frenchwomen,,,,,,,,,,
31,Troy,Mahomet,Rome,brook,De Lome,,,,,,,,,
32,Hanover,Everingham,Birmingham,Inferno,Nottingham,,,,,,,,,
33,Duchess,Bacchantes,Manchesters,Manchester,Germany,Marquess,,,,,,,,
34,Heroes,here3,Shelter,Hebrews,Jeremiads,here2,adore2,Sovereigns,,,,,,
35,St. Gene-,St. Genevieve,Geneva,NEW GENERAII0N.,Vienna,,,,,,,,,
36,St. James's,St. James',St. James,,,,,,,,,,,
37,Southern Italy,Monmouth,South,Thou,,,,,,,,,,
38,Tamworth,earth,Althorp,North,the Northern Sea,Northamptonshire,,,,,,,,
39,Nuneham,Durham,Hades,Thebes,Thames,Amersham,Nemesis,,,,,,,
40,Hyde Park Place,the Oil de Beuf,the Lower Park,the Lock Pool,the Upper Park,,,,,,,,,
41,Principle,invite2,Providence,the United Provinces,the United States,the United Kingdom,,,,,,,,
42,Windsor rang,Windsor,"Windsor
Park",,,,,,,,,,,
43,Torquamada,Madame B. de R-d,the Prince Colonna,Madame Colonna,Colonna,,,,,,,,,
44,Rigbys,Rigby,Brighton,,,,,,,,,,,
45,Milbanks,MILLBANK,Milan,Milbank,Albany,Albania,Millbank,,,,,,,
46,Liverpool,"the Run
Rivoli",Rivoli,Nuovos,,,,,,,,,,
47,Burnet,Journals,Melbourne,Luxembourg,Barnes,,,,,,,,,
48,Ferdinand,Ministry,Hindostan,Grand Cairo,Strand,Strachan,Lyndhurst,Strand Coffee-,Mediterranean,Trautsmandorff,,,,
49,Hippocrates,Whitehall,white bait,Whites,,,,,,,,,,
50,Estates,Esq,Palestine,Westminster,West,Western Sharps,West India,Weston,,,,,,
51,Aragon,the Moslem Arabs,Arabia,tnnbibia,,,,,,,,,,
52,Colleges,Wesleyans,Argyle,Chudleigh,Toledo,Teesdale,Naples,Wellesley,,,,,,
53,Ermengarde,Culloden,Desert,Rossendale,Palmerston,Aldermen,Derby,,,,,,,
54,"Salt
Hill",Hall,Mill,Kildare,Ill,Brazil,Trillion,,,,,,,
55,Jamaica,Cambridge,Victoria,Nilotic Africa,Africa,Tamerlane,MR,America,Mexico,,,,,
56,Slough,Bilborough,Borough,Marlborough,,,,,,,,,,
57,Taper,Canterbury,"St.
Petersburg",Augsburg,St. Petersburg,Edinburgh,Gazette,,,,,,,
58,Lucretia,Boccaccio,Club,Lucca,capt-,Lucullus,Caucasus,,,,,,,
59,Watertown,Waterloo,Berlin,,,,,,,,,,,
60,woodland,Walpole,midland,ENgland,Scotland,the Holy Land,Highland,England,england,Neapolitan,Monkey Island,Poland,,
61,Dartford,Bradford,Forum,Oxford,,,,,,,,,,
62,Arlington Street,Loretta,Downing Street,the green district,Street,,,,,,,,,
63,St. Paul,St. John's,St. John,St. Mary's,St.,,,,,,,,,
64,Munich,Throne,midland county,the County of -,the County Chronicle,,,,,,,,,
65,Nile,Willesden,Villebeeque,dishabille,M. Ville-,Seville,Mlle,BOoK VIII,Ville,Mile,,,,
66,Saxon,Barony,Saxony,,,,,,,,,,,
67,Jew,Castle,Newcastle,,,,,,,,,,,
68,Athens,Peninsula,the Spanish Peninsula,,,,,,,,,,,
