cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Studcaster,East,Study,Lancaster,,,,,,,
1,the green mountains,Athens,the green district,,,,,,,,
2,Saxon,Saxony,,,,,,,,,
3,Regent,absent2,Egypt,"Orient-
tal",Aegean,,,,,,
4,Walpole,Alps,Toledo,,,,,,,,
5,Lancashire,Berkshire,Yorkshire,,,,,,,,
6,Hellingsley,Iellingsley,Wellesley,Hellingsby,Headingley,Helingsley,,,,,
7,madrid,Cambridge,Madrid,DR,,,,,,,
8,Ermengarde,CARDIFF,Carlton Gardens,Aldermen,Derby,,,,,,
9,"Salt
Hill",Phillippics,Philip,Trillion,Oppidan,,,,,,
10,Coningsby,Coningsby ta,Learning,"L 2
22",Coningsbyl,,,,,,
11,Arlington Street,Carlist,Downing Street,Wellington,Street,Berlin,,,,,
12,Pah1,paris,Paradise,Paria,Park,Valparaiso,Paris,,,,
13,Duchess,Manchesters,Leicestershire,Manchester,Germany,Manhood,,,,,
14,woodland,La,midland,Scotland,the Holy Land,Highland,midland county,,,,
15,Sidonia,Monsieur Sidonia's,Medina Sidonia,Naples Sidonia,Monsieur Sidonia,iSidonia,,,,,
16,Westmoreland,Ireland,confiscated Ireland,ireland,Monkey Island,Poland,,,,,
17,Hall,Whitehall,invite2,white bait,Whites,,,,,,
18,ENgland,Languedoc,England,england,,,,,,,
19,the Venetian Republic,the Republic of Paris,Venetian Republic,,,,,,,,
20,Mademoisele,Mademoiselle Flora,Hades,,,,,,,,
21,spain,Spain,Spinoza,,,,,,,,
22,Taper,the Persian Empire,Persia,Si,,,,,,,
23,Dartford,Hertfordshire,Bradford,Kildare,Forum,Oxford,,,,,
24,Sparta,Bacchantes,Charta,Nebuchadnezzar,Carthage,Froissart,,,,,
25,Macedon,London,Wimbledon,Richmond,Babylon,Monte,Clarendon,Lisbon,,,
26,Opera,Penelope,Europe,Eu,Western Europe,,,,,,
27,Russia,Prussia,,,,,,,,,
28,Irish Secretaryship,Ladyship,Friendship,,,,,,,,
29,Hansard,Hanover,Anon,Sovereigns,Lawgiver,,,,,,
30,Magog,Pagan,Panama,Lepanto,Lima,Roxalana,,,,,
31,Loretta,Gazette,,,,,,,,,
32,Granada,France,france,The Kingdom of France,Frankfort,Mediterranean,,,,,
33,Louis Qua-,Aquatic,Baltic,,,,,,,,
34,Greece,greece,,,,,,,,,
35,Italy,realy,Realm,,,,,,,,
36,Sydney,INjury Sydney,,,,,,,,,
37,Field,Hel,Belgium,Ely,Melton,Shelter,Rebels,Oriel,Israel,el,
38,Earwig,wi,Sedgwick,Wilkie,,,,,,,
39,Venice,Benumanoir,Pitt,"the San
Benito",Benito,Phenix,tibet,San Benito,,,
40,Culloden,Maidenhead,Blenheim,Providence,Adelaide,,,,,,
41,Troy,Mahomet,Rome,De Lome,Mexico,,,,,,
42,brook,BOoK VIII,,,,,,,,,
43,Kingdom,King,inn,KIng,Moorish kingdom,,,,,,
44,Ferdinand,Hindostan,China,Sinai,Christchurch,,,,,,
45,Rossendale,Teesdale,,,,,,,,,
46,Heroes,here3,Hebrews,Jeremiads,here2,adore2,,,,,
47,St. Gene-,St. Genevieve,Geneva,NEW GENERAII0N.,,,,,,,
48,St. James's,St. James',St. James,Nemesis,,,,,,,
49,Jamaica,Victoria,Nilotic Africa,Africa,America,,,,,,
50,Southern Italy,Monmouth,South,Thou,,,,,,,
51,Tamworth,earth,Althorp,North,the Northern Sea,Northamptonshire,,,,,
52,Hyde Park Place,the Oil de Beuf,the Lower Park,the Lock Pool,the Upper Park,,,,,,
53,Windsor rang,Windsor,"Windsor
Park",,,,,,,,
54,Torquamada,Madame B. de R-d,the Prince Colonna,Madame Colonna,Colonna,,,,,,
55,Estates,Hippocrates,Thebes,the United Provinces,the United States,the United Kingdom,,,,,
56,Rigbys,Rigby,Brighton,,,,,,,,
57,Liverpool,"the Run
Rivoli",Rivoli,Neapolitan,Nuovos,,,,,,
58,Infirmary,Inferno,Marquess,suffix,,,,,,,
59,Burnet,Journals,Melbourne,Luxembourg,,,,,,,
60,Ministry,Grand Cairo,Strand,Strachan,Lyndhurst,Strand Coffee-,Trautsmandorff,,,,
61,Embassy,Barcelona,Lazaroni,Byron,Barony,Barnes,,,,,
62,Wesleyans,Esq,Palestine,Westminster,West,Western Sharps,West India,Weston,,,
63,Albany,Mauritania,Albania,,,,,,,,
64,Aragon,the Moslem Arabs,Arabia,tnnbibia,,,,,,,
65,Shabbyton,Moffatt,Eaton,Potts,Cottage,"to0,000",Wotton,,,,
66,Plateau,Desert,Watertown,Waterloo,,,,,,,
67,Slough,Bilborough,Borough,Marlborough,,,,,,,
68,St. Paul,Canterbury,"St.
Petersburg",Augsburg,St. Petersburg,Edinburgh,,,,,
69,Lucretia,Cadiz,Boccaccio,Club,Lucca,capt-,Lucullus,Caucasus,,,
70,Holbein,Seine,,,,,,,,,
71,Austria,Jerusalem,Leontius,Sussex,Isthmus,us,,,,,
72,Milbanks,MILLBANK,Mill,Milbank,Millbank,,,,,,
73,Nuneham,Durham,Tamerlane,Thames,Palmerston,Amersham,,,,,
74,Principle,Naples,Temple,,,,,,,,
75,St. John's,St. John,St. Mary's,St.,,,,,,,
76,Munich,Throne,the County of -,the County Chronicle,,,,,,,
77,tin2,Everingham,Birmingham,Nottingham,,,,,,,
78,Colleges,Willesden,Pavia,Villebeeque,dishabille,M. Ville-,MR,Ill,Seville,Mlle,Ville
79,Frenchmen,Frenchwomen,,,,,,,,,
80,Jew,Castle,Newcastle,,,,,,,,
81,Yunnan,Ravenna,Vienna,,,,,,,,
82,Nile,Argyle,Chudleigh,Milan,Brazil,Mile,,,,,
83,Peninsula,the Spanish Peninsula,the British Isles,,,,,,,,
