cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
-1,u mn,L0ND0N.,Natiag,nnsey IIIsIoss,Greenwood,Parsy,Abrala,whisperslin,DN,ZZ,Iim,nly.,ese 2G6,Vsu,Hnshand,Cnaerss,neak candil,Iew,CI,tn,Fahionhle,R3,Manonl,ny,China,l slo,Naone
0,Vei1,I1l,I1t:5,,,,,,,,,,,,,,,,,,,,,,,,
1,Cherry Bounes,herts,Noemher,Itherino,mithfeld,Bouaoir,,,,,,,,,,,,,,,,,,,,,
2,Tidkint,Holmsfaord,,,,,,,,,,,,,,,,,,,,,,,,,
3,"appesr,--we",Dapper,,,,,,,,,,,,,,,,,,,,,,,,,
4,breakiag,breakiag t ay,,,,,,,,,,,,,,,,,,,,,,,,,
5,sc,Corpso,Discory,,,,,,,,,,,,,,,,,,,,,,,,
6,Ilsurrrtion Mlau,tiouur,,,,,,,,,,,,,,,,,,,,,,,,,
7,Alrealy,Caataleiealn,referece,hulrel,Demnire,,,,,,,,,,,,,,,,,,,,,,
8,sont,Woadenton,Yoa,,,,,,,,,,,,,,,,,,,,,,,,
9,Waoodcuton,Woodcut onpge9,Woodcuton,,,,,,,,,,,,,,,,,,,,,,,,
10,Need,Eeet,,,,,,,,,,,,,,,,,,,,,,,,,
11,Mliss,BlIs,,,,,,,,,,,,,,,,,,,,,,,,,
12,Arlingta,inrali ta araken,,,,,,,,,,,,,,,,,,,,,,,,,
13,Woolcut,Woolcuton,,,,,,,,,,,,,,,,,,,,,,,,,
14,Woolnt,Wooleut,,,,,,,,,,,,,,,,,,,,,,,,,
15,Flele,ledo,,,,,,,,,,,,,,,,,,,,,,,,,
16,Wutet,Leter,,,,,,,,,,,,,,,,,,,,,,,,,
17,CXII.-Viola,VI.-hIrs,,,,,,,,,,,,,,,,,,,,,,,,,
18,Mlarkham,Markham,,,,,,,,,,,,,,,,,,,,,,,,,
19,Las,walla,Raamn,de la,Did'as,la,Raanaworth Iall,,,,,,,,,,,,,,,,,,,,
20,wrham,wham,,,,,,,,,,,,,,,,,,,,,,,,,
21,whcJ,whiceh,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ltl Vernon,Vernon,,,,,,,,,,,,,,,,,,,,,,,,,
23,il,IilI,"CYLIII,-MaLIl Feellngs",,,,,,,,,,,,,,,,,,,,,,,,
24,mothsr,Wilmot,,,,,,,,,,,,,,,,,,,,,,,,,
25,mo,moro,roteor,,,,,,,,,,,,,,,,,,,,,,,,
26,Crima,Marian,,,,,,,,,,,,,,,,,,,,,,,,,
27,Iasi,Iast,,,,,,,,,,,,,,,,,,,,,,,,,
28,Lydia,ia,ST,,,,,,,,,,,,,,,,,,,,,,,,
29,an4d,anl,,,,,,,,,,,,,,,,,,,,,,,,,
30,SANTA,Abrantanl,SANTA CRU2,,,,,,,,,,,,,,,,,,,,,,,,
