cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,Woolnt,Woolcut,Wooleut,whiceh,Iew,Fahionhle,Woolcuton,China
1,sc,Vei1,Dapper,CI,ny,,,
2,walla,CXII.-Viola,whisperslin,I1l,Wutet,Naone,,
3,Flele,Ilsurrrtion Mlau,Raamn,Cnaerss,Leter,,,
4,Las,il,ledo,DN,nly.,ese 2G6,tn,
5,Abrala,Mlarkham,Markham,wrham,Raanaworth Iall,wham,,
6,Arlingta,Holmsfaord,Iasi,tiouur,ST,,,
7,referece,whcJ,Wilmot,mithfeld,hulrel,Yoa,,
8,IilI,"CYLIII,-MaLIl Feellngs",ZZ,Need,Marian,R3,roteor,
9,"appesr,--we",I1t:5,,,,,,
10,L0ND0N.,sont,Vsu,Bouaoir,,,,
11,Tidkint,Corpso,Iim,Did'as,Crima,an4d,inrali ta araken,
12,Greenwood,Lydia,Waoodcuton,Woadenton,Woodcut onpge9,Woodcuton,,
13,Cherry Bounes,mo,Mliss,herts,BlIs,Noemher,Itherino,
14,SANTA,la,Abrantanl,SANTA CRU2,Demnire,,,
15,breakiag,Natiag,Alrealy,Hnshand,breakiag t ay,neak candil,,
16,mothsr,Iast,de la,Ltl Vernon,Vernon,Manonl,,
17,u mn,anl,,,,,,
18,nnsey IIIsIoss,Caataleiealn,Parsy,Discory,moro,l slo,,
19,VI.-hIrs,ia,Eeet,,,,,
