cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0,breakiag,Natiag,breakiag t ay,neak candil,,,
1,nnsey IIIsIoss,il,IilI,"CYLIII,-MaLIl Feellngs",Iim,,
2,Cherry Bounes,Yoa,Bouaoir,,,,
3,Ilsurrrtion Mlau,tiouur,Vsu,CI,Fahionhle,,
4,Alrealy,Caataleiealn,referece,hulrel,,,
5,mothsr,mo,Wilmot,moro,,,
6,Arlingta,VI.-hIrs,whisperslin,whcJ,whiceh,Cnaerss,China
7,u mn,Raamn,DN,Raanaworth Iall,tn,Demnire,inrali ta araken
8,Parsy,Mlarkham,Markham,wrham,Crima,Marian,wham
9,Vei1,I1l,I1t:5,,,,
10,Iasi,Lydia,Iast,ia,Did'as,ST,
11,sc,Holmsfaord,Corpso,Discory,,,
12,ZZ,,,,,,
13,Woolnt,L0ND0N.,Woolcut,Wooleut,Woolcuton,,
14,"appesr,--we",ese 2G6,Dapper,,,,
15,Ltl Vernon,Vernon,l slo,,,,
16,Tidkint,sont,SANTA,Abrantanl,SANTA CRU2,R3,
17,ledo,Need,Eeet,Naone,,,
18,Mliss,BlIs,,,,,
19,Greenwood,Waoodcuton,Woadenton,Woodcut onpge9,Woodcuton,,
20,Las,walla,Abrala,CXII.-Viola,de la,la,
21,herts,Noemher,Itherino,mithfeld,Iew,,
22,ny,,,,,,
23,nly.,Hnshand,an4d,Manonl,anl,,
24,Flele,Wutet,Leter,roteor,,,
