cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
-1,offer1,Bud,Slough,wEARING HEIGHTS,paris,Hearken,America,MIGHT8,Phenix,coins.-,nOTHING HEIGHTS,Yorkshire,WVuthering Height,retrievasl
0,Lockwood,Loekwood,,,,,,,,,,,,
1,L LONDON,London,,,,,,,,,,,,
2,IlIareton,HIareton,,,,,,,,,,,,
3,As'll,You'll,,,,,,,,,,,,
4,Gimmerton,Girton,Gimmerton 7,the Chapel of Glimmer-,,,,,,,,,,
5,france,France,,,,,,,,,,,,
6,Sea,RUPERT8,Desert,up't,,,,,,,,,,
7,assistaut,Miss.,,,,,,,,,,,,
8,FOoT,idiot1,IT1,,,,,,,,,,,
9,that7,IN1THAT,,,,,,,,,,,,
10,champion1,N1,,,,,,,,,,,,
11,hush1,us,,,,,,,,,,,,
12,Penistone Crags,Hishonest,,,,,,,,,,,,
13,Titan,oman,Satan,,,,,,,,,,,
14,"the Range
Park",Orange,Range,the Orange:,,,,,,,,,,
15,NO EL,EL,TEll,MutE,,,,,,,,,,
16,ThIrusheross Range,Thruehcross Range,Thrusheross Range,Thrushcross Range,Thrushecross Range,Trushoeross Range,Thrusheross Orange,,,,,,,
17,Thrushcross park,Thrushcross,,,,,,,,,,,,
18,Continent,Seventy Time,,,,,,,,,,,,
19,him1,wi,,,,,,,,,,,,
20,Liverpool,IlIowever,,,,,,,,,,,,
21,Ieathelif,Heathelif,Hentheliff,Ieatheli,IIeathieliff,,,,,,,,,
22,la,Villa,hy hills,Ill,IlL,,,,,,,,,
23,Atlantic,LAtin,,,,,,,,,,,,
24,BEING9,III:2Is,wuriEIIING,,,,,,,,,,,
25,Heathcliff,Ieathclil,,,,,,,,,,,,
26,Hetheclif,Hetlcliff,,,,,,,,,,,,
27,China,west wind,Linley,Whindale,,,,,,,,,,
28,"the
glan",Handle,England,,,,,,,,,,,
29,ILIEIGIT8,TEIGIITS,EEIGIIT9,IIEIGIITS,,,,,,,,,,
30,Lilies,LiE,,,,,,,,,,,,
31,end1,Christendom,,,,,,,,,,,,
32,Harvest,Harden,Earnshav,Sharpen,,,,,,,,,,
33,North,Earth,fort,,,,,,,,,,,
34,Hercules,Thereon,Herecules,,,,,,,,,,,
35,END HEIGHTS,uTTERLY HEIGHTS,Heights,CTIIERIG HEIGHTS,HEIGHT6,WEIGHT9,HEIGHTS,HEights,,,,,,
36,WVuthering,"WVuthering
DElights",,,,,,,,,,,,
37,"WUthering
Heights","Wuthering
Heights",,,,,,,,,,,,
38,wtrTEERING HEIGHTS,wuTuERING HEIGHTS,,,,,,,,,,,,
39,Wuthering HEights,WUthering Heights,Wuthering HEIghts,Wuthering Heights,,,,,,,,,,
40,Wuthering Height,WYuthering HEights,,,,,,,,,,,,
