cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,China,Handle,MutE,Whindale,,,,,,,,,,,,
1,Thrushcross park,champion1,Linley,hush1,paris,Thrushcross Range,Thrushcross,,,,,,,,,
2,As'll,EL,us,up't,,,,,,,,,,,,
3,la,Hercules,Thereon,fort,Herecules,TEll,,,,,,,,,,
4,Ieathelif,Heathelif,Titan,Phenix,Hentheliff,Ieatheli,Ieathclil,IIeathieliff,,,,,,,,
5,FOoT,NO EL,III:2Is,N1,You'll,oman,Yorkshire,Hishonest,,,,,,,,
6,North,Earth,Hearken,Earnshav,Loekwood,Satan,,,,,,,,,,
7,ThIrusheross Range,Thruehcross Range,Thrusheross Range,Thrushecross Range,Trushoeross Range,Thrusheross Orange,,,,,,,,,,
8,Harvest,IN1THAT,Harden,Sharpen,Miss.,,,,,,,,,,,
9,WVuthering,Wuthering HEights,offer1,"WUthering
Heights",Wuthering Height,wEARING HEIGHTS,WYuthering HEights,WUthering Heights,wtrTEERING HEIGHTS,wuTuERING HEIGHTS,Wuthering HEIghts,Wuthering Heights,nOTHING HEIGHTS,"WVuthering
DElights",WVuthering Height,"Wuthering
Heights"
10,Hetheclif,Liverpool,Heathcliff,Lockwood,Hetlcliff,wi,,,,,,,,,,
11,idiot1,TEIGIITS,EEIGIIT9,IIEIGIITS,,,,,,,,,,,,
12,west wind,Sea,,,,,,,,,,,,,,
13,Gimmerton,Girton,America,Gimmerton 7,the Chapel of Glimmer-,,,,,,,,,,,
14,RUPERT8,Desert,,,,,,,,,,,,,,
15,assistaut,end1,L LONDON,London,Christendom,,,,,,,,,,,
16,france,France,,,,,,,,,,,,,,
17,"the
glan",IT1,Atlantic,England,,,,,,,,,,,,
18,BEING9,wuriEIIING,,,,,,,,,,,,,,
19,Villa,hy hills,Ill,IlL,,,,,,,,,,,,
20,that7,Penistone Crags,IlIareton,HIareton,retrievasl,,,,,,,,,,,
21,ILIEIGIT8,Slough,IlIowever,Lilies,LiE,,,,,,,,,,,
22,END HEIGHTS,him1,uTTERLY HEIGHTS,Heights,CTIIERIG HEIGHTS,MIGHT8,HEIGHT6,WEIGHT9,HEIGHTS,HEights,,,,,,
23,"the Range
Park",Bud,Orange,Range,the Orange:,,,,,,,,,,,
24,coins.-,LAtin,,,,,,,,,,,,,,
25,Continent,Seventy Time,,,,,,,,,,,,,,
