cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110
-1,China,WVuthering,"the
glan",that7,Thrushcross park,champion1,west wind,ILIEIGIT8,Linley,As'll,offer1,END HEIGHTS,Harvest,hush1,la,FOoT,Villa,North,him1,BEING9,"the Range
Park",uTTERLY HEIGHTS,Hetheclif,Hercules,Bud,assistaut,Liverpool,IN1THAT,Penistone Crags,Thereon,NO EL,Slough,Heathcliff,wEARING HEIGHTS,idiot1,III:2Is,ThIrusheross Range,Heathelif,Handle,Earth,IT1,IlIowever,IlIareton,Thruehcross Range,paris,EL,Thrusheross Range,TEIGIITS,Harden,Hearken,Orange,wtrTEERING HEIGHTS,wuTuERING HEIGHTS,end1,CTIIERIG HEIGHTS,Girton,hy hills,N1,Hetlcliff,EEIGIIT9,America,fort,MIGHT8,Sea,Earnshav,HEIGHT6,Atlantic,us,You'll,Sharpen,Herecules,Continent,Thrushcross Range,RUPERT8,Titan,TEll,Phenix,Christendom,WEIGHT9,oman,Hentheliff,Desert,coins.-,MutE,Range,Thrushecross Range,IIEIGIITS,England,Whindale,nOTHING HEIGHTS,wuriEIIING,the Chapel of Glimmer-,HIareton,Lilies,Trushoeross Range,"WVuthering
DElights",Yorkshire,Ieathclil,Hishonest,the Orange:,wi,LiE,Thrushcross,IIeathieliff,LAtin,Miss.,retrievasl,Satan,Thrusheross Orange,Seventy Time,up't
0,france,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Wuthering HEights,Wuthering Height,WYuthering HEights,WUthering Heights,Wuthering HEIghts,Wuthering Heights,WVuthering Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"WUthering
Heights","Wuthering
Heights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gimmerton,Gimmerton 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ieathelif,Ieatheli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Lockwood,Loekwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Heights,HEIGHTS,HEights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,L LONDON,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ill,IlL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
