cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0.0,Ieathelif,Ieatheli,IIeathieliff,Heathelif,Ieathclil,Hentheliff,,,,,,,,,
1.0,Lockwood,Loekwood,,,,,,,,,,,,,
2.0,that7,IN1THAT,,,,,,,,,,,,,
3.0,England,"the
glan",You'll,Handle,Yorkshire,,,,,,,,,,
4.0,Continent,LAtin,Atlantic,Seventy Time,,,,,,,,,,,
5.0,HIareton,IlIareton,,,,,,,,,,,,,
6.0,Herecules,Thereon,Hercules,,,,,,,,,,,,
7.0,end1,Christendom,assistaut,paris,,,,,,,,,,,
8.0,LiE,ILIEIGIT8,Lilies,,,,,,,,,,,,
9.0,America,the Chapel of Glimmer-,Gimmerton,Girton,Gimmerton 7,,,,,,,,,,
10.0,Thrusheross Orange,Thrushcross,Thruehcross Range,Thrushcross Range,Thrusheross Range,Trushoeross Range,Thrushecross Range,hush1,Thrushcross park,ThIrusheross Range,,,,,
11.0,france,France,,,,,,,,,,,,,
12.0,IlIowever,Liverpool,,,,,,,,,,,,,
13.0,Hetheclif,Hetlcliff,Heathcliff,,,,,,,,,,,,
14.0,Whindale,champion1,west wind,China,,,,,,,,,,,
15.0,uTTERLY HEIGHTS,WEIGHT9,HEights,HEIGHT6,END HEIGHTS,MIGHT8,Heights,HEIGHTS,CTIIERIG HEIGHTS,,,,,,
16.0,IlL,Villa,Ill,hy hills,,,,,,,,,,,
17.0,Titan,Satan,,,,,,,,,,,,,
18.0,III:2Is,BEING9,retrievasl,wuriEIIING,,,,,,,,,,,
19.0,North,fort,,,,,,,,,,,,,
20.0,L LONDON,London,,,,,,,,,,,,,
21.0,RUPERT8,Desert,,,,,,,,,,,,,
22.0,"Wuthering
Heights",nOTHING HEIGHTS,WVuthering Height,Wuthering HEIghts,Wuthering Heights,Wuthering Height,wuTuERING HEIGHTS,WVuthering,"WVuthering
DElights",WUthering Heights,WYuthering HEights,Wuthering HEights,wtrTEERING HEIGHTS,"WUthering
Heights",wEARING HEIGHTS
23.0,the Orange:,Orange,As'll,"the Range
Park",Range,,,,,,,,,,
24.0,Harvest,Sharpen,Harden,,,,,,,,,,,,
25.0,Phenix,Hishonest,Penistone Crags,,,,,,,,,,,,
26.0,Hearken,Earnshav,Earth,,,,,,,,,,,,
27.0,IIEIGIITS,TEIGIITS,EEIGIIT9,,,,,,,,,,,,
