cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,Lockwood,Loekwood,,,,,,,,,,,,,,
1,England,end1,Christendom,"the
glan",la,Handle,,,,,,,,,,
2,HIareton,retrievasl,IlIareton,Yorkshire,,,,,,,,,,,,
3,RUPERT8,up't,Desert,offer1,,,,,,,,,,,,
4,Herecules,Thereon,Hercules,,,,,,,,,,,,,
5,Linley,LiE,Lilies,IlIowever,Liverpool,Ieathclil,,,,,,,,,,
6,America,Gimmerton,Girton,Gimmerton 7,,,,,,,,,,,,
7,EL,TEll,NO EL,,,,,,,,,,,,,
8,Thrusheross Orange,Thrushcross,Thruehcross Range,Thrushcross Range,us,Thrusheross Range,Trushoeross Range,Thrushecross Range,hush1,Thrushcross park,ThIrusheross Range,,,,,
9,assistaut,MutE,Miss.,,,,,,,,,,,,,
10,North,fort,Earth,,,,,,,,,,,,,
11,that7,N1,IN1THAT,champion1,,,,,,,,,,,,
12,ILIEIGIT8,III:2Is,IIEIGIITS,wuriEIIING,TEIGIITS,EEIGIIT9,,,,,,,,,,
13,Bud,france,France,,,,,,,,,,,,,
14,uTTERLY HEIGHTS,WEIGHT9,HEights,HEIGHT6,END HEIGHTS,MIGHT8,Heights,Slough,HEIGHTS,CTIIERIG HEIGHTS,,,,,,
15,Harvest,Earnshav,Sharpen,paris,Harden,Penistone Crags,,,,,,,,,,
16,Continent,LAtin,Titan,Satan,Atlantic,Seventy Time,,,,,,,,,,
17,IlL,Villa,Ill,You'll,As'll,hy hills,,,,,,,,,,
18,IT1,idiot1,FOoT,,,,,,,,,,,,,
19,"Wuthering
Heights",nOTHING HEIGHTS,WVuthering Height,Wuthering HEIghts,Wuthering Heights,BEING9,Wuthering Height,wuTuERING HEIGHTS,WVuthering,"WVuthering
DElights",WUthering Heights,WYuthering HEights,Wuthering HEights,wtrTEERING HEIGHTS,"WUthering
Heights",wEARING HEIGHTS
20,Ieathelif,Ieatheli,Hearken,the Chapel of Glimmer-,Hetheclif,Sea,IIeathieliff,Phenix,Hetlcliff,Heathcliff,Heathelif,Hentheliff,,,,
21,Hishonest,L LONDON,London,,,,,,,,,,,,,
22,the Orange:,oman,Orange,"the Range
Park",Range,,,,,,,,,,,
23,west wind,wi,,,,,,,,,,,,,,
24,Whindale,coins.-,him1,China,,,,,,,,,,,,
