cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
-1,Thrusheross Orange,America,ILIEIGIT8,Thruehcross Range,Bud,N1,nOTHING HEIGHTS,Sea,Thrushcross Range,Phenix,wuTuERING HEIGHTS,coins.-,retrievasl,Hishonest,Trushoeross Range,MIGHT8,Slough,him1,Thrushecross Range,wtrTEERING HEIGHTS,CTIIERIG HEIGHTS,paris,Penistone Crags,offer1,champion1,FOoT,wEARING HEIGHTS,wi,Yorkshire
0,Thrusheross Range,ThIrusheross Range,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Thrushcross,Thrushcross park,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,the Orange:,Orange,"the Range
Park",Range,,,,,,,,,,,,,,,,,,,,,,,,,
3,us,hush1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,England,"the
glan",Handle,,,,,,,,,,,,,,,,,,,,,,,,,,
5,end1,Christendom,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,uTTERLY HEIGHTS,WEIGHT9,HEights,HEIGHT6,END HEIGHTS,Heights,HEIGHTS,,,,,,,,,,,,,,,,,,,,,,
7,WVuthering Height,Wuthering HEIghts,Wuthering Heights,Wuthering Height,WUthering Heights,WYuthering HEights,Wuthering HEights,,,,,,,,,,,,,,,,,,,,,,
8,"Wuthering
Heights","WUthering
Heights",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WVuthering,"WVuthering
DElights",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Herecules,Thereon,Hercules,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Linley,Whindale,west wind,China,,,,,,,,,,,,,,,,,,,,,,,,,
12,Harvest,Earnshav,Sharpen,Harden,,,,,,,,,,,,,,,,,,,,,,,,,
13,Hearken,North,fort,Earth,,,,,,,,,,,,,,,,,,,,,,,,,
14,LiE,Lilies,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,IIEIGIITS,TEIGIITS,EEIGIIT9,,,,,,,,,,,,,,,,,,,,,,,,,,
16,III:2Is,BEING9,wuriEIIING,,,,,,,,,,,,,,,,,,,,,,,,,,
17,IlIowever,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ieathelif,Ieatheli,IIeathieliff,Heathelif,Hentheliff,,,,,,,,,,,,,,,,,,,,,,,,
19,Heathcliff,Ieathclil,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Hetheclif,Hetlcliff,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,LAtin,IlL,la,Villa,Atlantic,Ill,hy hills,,,,,,,,,,,,,,,,,,,,,,
22,Continent,Seventy Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,EL,TEll,MutE,NO EL,,,,,,,,,,,,,,,,,,,,,,,,,
24,Titan,Satan,oman,,,,,,,,,,,,,,,,,,,,,,,,,,
25,IT1,idiot1,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,that7,IN1THAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,assistaut,Miss.,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,the Chapel of Glimmer-,Gimmerton,Girton,Gimmerton 7,,,,,,,,,,,,,,,,,,,,,,,,,
29,france,France,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,RUPERT8,up't,Desert,,,,,,,,,,,,,,,,,,,,,,,,,,
31,You'll,As'll,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,HIareton,IlIareton,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,L LONDON,London,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Lockwood,Loekwood,,,,,,,,,,,,,,,,,,,,,,,,,,,
