cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,Ieathelif,Ieatheli,Sea,IIeathieliff,Heathelif,Hentheliff,,,,,,,,,,,
1,Lockwood,Loekwood,FOoT,,,,,,,,,,,,,,
2,England,"the
glan",la,Handle,,,,,,,,,,,,,
3,Continent,LAtin,coins.-,Atlantic,Seventy Time,,,,,,,,,,,,
4,HIareton,retrievasl,IlIareton,Yorkshire,,,,,,,,,,,,,
5,IT1,Titan,Satan,idiot1,oman,,,,,,,,,,,,
6,Herecules,Thereon,Hercules,,,,,,,,,,,,,,
7,end1,Christendom,assistaut,MutE,Miss.,paris,,,,,,,,,,,
8,Linley,LiE,Lilies,IlIowever,Liverpool,,,,,,,,,,,,
9,America,the Chapel of Glimmer-,RUPERT8,Gimmerton,Girton,Desert,offer1,Gimmerton 7,,,,,,,,,
10,Bud,EL,TEll,NO EL,,,,,,,,,,,,,
11,Thrusheross Orange,Thrushcross,Thruehcross Range,Thrushcross Range,Thrusheross Range,Trushoeross Range,Thrushecross Range,Thrushcross park,ThIrusheross Range,,,,,,,,
12,france,France,,,,,,,,,,,,,,,
13,"Wuthering
Heights",nOTHING HEIGHTS,WVuthering Height,Wuthering HEIghts,Wuthering Heights,BEING9,Wuthering Height,Phenix,wuTuERING HEIGHTS,WVuthering,"WVuthering
DElights",WUthering Heights,WYuthering HEights,Wuthering HEights,wtrTEERING HEIGHTS,"WUthering
Heights",wEARING HEIGHTS
14,North,fort,up't,Earth,,,,,,,,,,,,,
15,IlL,Villa,Ill,You'll,As'll,hy hills,,,,,,,,,,,
16,that7,N1,IN1THAT,,,,,,,,,,,,,,
17,ILIEIGIT8,III:2Is,IIEIGIITS,wuriEIIING,TEIGIITS,EEIGIIT9,,,,,,,,,,,
18,us,hush1,,,,,,,,,,,,,,,
19,Harvest,Earnshav,Sharpen,Harden,Penistone Crags,,,,,,,,,,,,
20,Hearken,Hetheclif,Hetlcliff,Heathcliff,Ieathclil,,,,,,,,,,,,
21,uTTERLY HEIGHTS,WEIGHT9,HEights,HEIGHT6,END HEIGHTS,MIGHT8,Heights,HEIGHTS,CTIIERIG HEIGHTS,,,,,,,,
22,the Orange:,Orange,"the Range
Park",Range,,,,,,,,,,,,,
23,L LONDON,Slough,London,champion1,,,,,,,,,,,,,
24,Hishonest,west wind,wi,,,,,,,,,,,,,,
25,Whindale,him1,China,,,,,,,,,,,,,,
