cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30
0,luvas de casimira,casimiro,NLLYehas anedotas de frades,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,la s6,V. S,s6,"Ola Bela sociedade
Galgou",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Vamo-nos,Amo,Amor,Estamos,AMBI,Famosa,Hipopotamol,cxclamotl,Vamos,,,,,,,,,,,,,,,,,,,,,,
3,Imagine,imaginagcao,Imaginei,Imaginara,Imaginava,Imaginas,Imaginem,imaginaco da rapariga,,,,,,,,,,,,,,,,,,,,,,,
4,Rosina-,Ensina,"sinei-
ros",rua Rosina,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,vieira,Lisboa de Amaro Vieira,VIEIRA,Vira,praia da Vieira,Vieira,,,,,,,,,,,,,,,,,,,,,,,,,
6,Morais,Moral,A6,Cabrais,E,,,,,,,,,,,,,,,,,,,,,,,,,,
7,terra,Terra-Nova,serra,Terras,Irral,Terra,aterrado,Inglaterra,,,,,,,,,,,,,,,,,,,,,,,
8,Gratid,ingratid,"tipo6-
grafo",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,lha,Milhares,Batalha,bacalhau2,Bastilha,velha,Migalhas,Ajoelhado,Ha,Canalha,,,,,,,,,,,,,,,,,,,,,
10,a-,Gra-,Vista-,Ha-de,E2NEA-,A-,Pa-,,,,,,,,,,,,,,,,,,,,,,,,
11,Ponte,monte Olimpol,Ponho,Defronte,Ponte Nova,Contemplal,,,,,,,,,,,,,,,,,,,,,,,,,
12,pe,Pego,"PE.e2
g",Pensei,Pede-os,PE,Pega,,,,,,,,,,,,,,,,,,,,,,,,
13,pos-,Posso,Aos-,Vagos-,Campos,Raposo,,,,,,,,,,,,,,,,,,,,,,,,,
14,Acordara,Recordava,cordagens,Cordova,Engordara,Taborda,,,,,,,,,,,,,,,,,,,,,,,,,
15,Necessitava,necessita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,do Norte,Norte,rua do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Gosta,PosTAS E PAR1,Gostas,Gostava,Foste,,,,,,,,,,,,,,,,,,,,,,,,,,
18,C6rrego das Tristes,Associago das Servas,Associago,Povo das Bentas,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Abalou,Heliogabalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sol,absolvicao,Nol,solu-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fumava,Costumava,"porta do
Fumava",Acumulava,D,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Pareceu-,Receru-,Recu-,Parece-me,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Goncalves,snr.- Goncalves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Desalento
QUando Amaro",Desalento,"frasc
do Violento",Quando Amaro,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,petroleo,S. Jeronimo,Apro-,Juro,RO,Prometo,Roda,roxO,Eu u2ro0,rorbida,Espero,Medroso,Coroa,Europa,,,,,,,,,,,,,,,,,
26,A4O,4O,a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Queres,Quereis,Hereticus,Teresas,QUeres,Quere-me,,,,,,,,,,,,,,,,,,,,,,,,,
28,S. Janeiro,Janeiro,Vimeiro,O7 de Janeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Not6,Not6d,Imnonotonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sala,sala.- Mas,Jerusal,Sala-,Falar0d,Salario,,,,,,,,,,,,,,,,,,,,,,,,,
31,EM1,Bem,Tambem,Belem,S. Bem,Nem,,,,,,,,,,,,,,,,,,,,,,,,,
32,fE,Fel,Fe,Felizes,Fechou,fe,cafe,,,,,,,,,,,,,,,,,,,,,,,,
33,praga,Praga,braga,Fraga,vidraga da reparticao,Nagaioi,,,,,,,,,,,,,,,,,,,,,,,,,
34,bocejo,Voce,boceiando,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"baui de
lata",Ta,Mata,matrona,Mataram-me,Matam-lo,Satanaz,beatas ramada,,,,,,,,,,,,,,,,,,,,,,,
36,Pano,Ciganos,S. Gorislano,Manon,Panorama,"Pano-
rama",Espanha,,,,,,,,,,,,,,,,,,,,,,,,
37,subaltern,"Eternidade dos
LouVoICS",Eterna,consternaeao,"Eterna
Dor",banco da taberna,PolLeLinterno,,,,,,,,,,,,,,,,,,,,,,,,
38,cre,Cre,acre,Creio,acre ca,Creio la nisso',,,,,,,,,,,,,,,,,,,,,,,,,
